9N0279,AXP,AMER EXPRESS INC,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-22,2.105,2.105,2.136,2.110,1006.000,213000.000
1981-06-23,2.110,2.105,2.157,2.141,2057.000,438000.000
1981-06-24,2.141,2.115,2.152,2.131,2712.000,579000.000
1981-06-25,2.131,2.079,2.141,2.084,1324.000,279000.000
1981-06-26,2.084,2.032,2.089,2.037,2550.000,525000.000
1981-06-29,2.058,2.032,2.068,2.058,1528.000,313000.000
1981-06-30,2.058,2.037,2.079,2.042,1813.000,373000.000
1981-07-01,2.042,2.026,2.063,2.053,3373.000,690000.000
1981-07-02,2.053,1.995,2.079,1.995,1485.000,302000.000
1981-07-06,1.984,1.910,1.984,1.931,3202.000,623000.000
1981-07-07,1.931,1.926,1.947,1.942,2005.000,388000.000
1981-07-08,1.942,1.921,1.952,1.942,6711.000,1300000.000
1981-07-09,1.942,1.915,1.942,1.936,982.000,189000.000
1981-07-10,1.936,1.915,1.942,1.936,982.000,189000.000
1981-07-13,1.936,1.900,1.936,1.905,1436.000,275000.000
1981-07-14,1.905,1.831,1.915,1.894,2397.000,449000.000
1981-07-15,1.894,1.889,1.931,1.900,2102.000,402000.000
1981-07-16,1.900,1.847,1.910,1.900,1562.000,293000.000
1981-07-17,1.900,1.884,1.905,1.894,1064.000,202000.000
1981-07-20,1.889,1.821,1.889,1.836,1610.000,299000.000
1981-07-21,1.836,1.826,1.873,1.868,1265.000,234000.000
1981-07-22,1.868,1.831,1.889,1.831,1035.000,193000.000
1981-07-23,1.831,1.826,1.857,1.852,2301.000,424000.000
1981-07-24,1.852,1.852,1.889,1.889,2014.000,377000.000
1981-07-27,1.889,1.889,1.921,1.921,1520.000,290000.000
1981-07-28,1.921,1.884,1.921,1.905,1543.000,294000.000
1981-07-29,1.905,1.868,1.905,1.873,796.000,150000.000
1981-07-30,1.873,1.863,1.910,1.905,1628.000,307000.000
1981-07-31,1.931,1.931,1.974,1.958,1485.000,290000.000
1981-08-03,1.963,1.963,1.995,1.968,2807.000,555000.000
1981-08-04,1.968,1.931,1.968,1.952,996.000,194000.000
1981-08-05,1.952,1.926,1.958,1.942,947.000,184000.000
1981-08-06,1.942,1.926,1.952,1.926,465.000,90000.000
1981-08-07,1.926,1.915,1.947,1.947,592.000,114000.000
1981-08-10,1.947,1.921,1.958,1.952,989.000,192000.000
1981-08-11,1.952,1.936,2.021,2.021,5170.000,1023000.000
1981-08-12,2.021,1.984,2.021,1.984,1505.000,301000.000
1981-08-13,1.984,1.947,1.989,1.958,1197.000,236000.000
1981-08-14,1.958,1.926,1.958,1.931,1021.000,198000.000
1981-08-17,1.921,1.878,1.921,1.900,839.000,159000.000
1981-08-18,1.900,1.868,1.900,1.894,875.000,165000.000
1981-08-19,1.894,1.884,1.900,1.900,404.000,76000.000
1981-08-20,1.900,1.889,1.915,1.910,1680.000,320000.000
1981-08-21,1.900,1.863,1.900,1.889,1191.000,224000.000
1981-08-24,1.884,1.821,1.884,1.836,1444.000,267000.000
1981-08-25,1.836,1.799,1.842,1.842,2054.000,374000.000
1981-08-26,1.842,1.821,1.842,1.836,1321.000,242000.000
1981-08-27,1.836,1.815,1.857,1.831,1133.000,208000.000
1981-08-28,1.831,1.826,1.868,1.852,859.000,159000.000
1981-08-31,1.852,1.757,1.857,1.773,2960.000,535000.000
1981-09-01,1.773,1.757,1.815,1.815,1581.000,282000.000
1981-09-02,1.815,1.794,1.815,1.810,2973.000,537000.000
1981-09-03,1.810,1.731,1.821,1.747,2335.000,415000.000
1981-09-04,1.725,1.678,1.725,1.699,1314.000,224000.000
1981-09-08,1.699,1.678,1.710,1.694,2291.000,388000.000
1981-09-09,1.694,1.683,1.747,1.741,828.000,142000.000
1981-09-10,1.747,1.747,1.794,1.783,2094.000,371000.000
1981-09-11,1.783,1.768,1.821,1.821,1362.000,244000.000
1981-09-14,1.821,1.773,1.821,1.799,1367.000,246000.000
1981-09-15,1.799,1.778,1.815,1.789,1620.000,291000.000
1981-09-16,1.789,1.773,1.799,1.799,1147.000,205000.000
1981-09-17,1.799,1.731,1.805,1.741,4127.000,730000.000
1981-09-18,1.741,1.720,1.768,1.731,1225.000,214000.000
1981-09-21,1.731,1.689,1.747,1.747,2290.000,393000.000
1981-09-22,1.747,1.725,1.752,1.741,2470.000,429000.000
1981-09-23,1.720,1.657,1.720,1.689,3678.000,621000.000
1981-09-24,1.689,1.667,1.710,1.689,1132.000,191000.000
1981-09-25,1.667,1.615,1.667,1.641,2244.000,368000.000
1981-09-28,1.641,1.583,1.710,1.710,2878.000,474000.000
1981-09-29,1.710,1.704,1.752,1.731,3956.000,684000.000
1981-09-30,1.731,1.704,1.752,1.741,2472.000,427000.000
1981-10-01,1.741,1.731,1.794,1.789,1335.000,235000.000
1981-10-02,1.789,1.762,1.799,1.773,2556.000,455000.000
1981-10-05,1.794,1.789,1.837,1.837,3120.000,566000.000
1981-10-06,1.837,1.810,1.880,1.842,1112.000,205000.000
1981-10-07,1.853,1.853,1.928,1.923,1748.000,330000.000
1981-10-08,1.923,1.917,2.013,1.960,3315.000,651000.000
1981-10-09,1.960,1.896,1.971,1.923,2363.000,457000.000
1981-10-12,1.923,1.896,1.933,1.912,1245.000,238000.000
1981-10-13,1.912,1.896,1.917,1.896,625.000,119000.000
1981-10-14,1.896,1.880,1.896,1.880,821.000,155000.000
1981-10-15,1.880,1.874,1.906,1.906,689.000,130000.000
1981-10-16,1.906,1.901,1.917,1.912,1302.000,249000.000
1981-10-19,1.912,1.885,1.912,1.885,1192.000,226000.000
1981-10-20,1.885,1.848,1.901,1.858,2167.000,406000.000
1981-10-21,1.858,1.842,1.869,1.853,1567.000,291000.000
1981-10-22,1.853,1.800,1.853,1.810,866.000,158000.000
1981-10-23,1.805,1.768,1.805,1.773,668.000,119000.000
1981-10-26,1.773,1.730,1.784,1.778,1408.000,247000.000
1981-10-27,1.794,1.794,1.869,1.853,931.000,171000.000
1981-10-28,1.853,1.848,1.896,1.858,1497.000,280000.000
1981-10-29,1.858,1.853,1.890,1.874,722.000,135000.000
1981-10-30,1.874,1.874,1.933,1.933,2021.000,385000.000
1981-11-02,1.954,1.954,1.992,1.992,1849.000,365000.000
1981-11-03,1.992,1.960,1.992,1.976,1564.000,309000.000
1981-11-04,1.976,1.971,1.997,1.992,746.000,148000.000
1981-11-05,1.992,1.944,2.008,1.954,1496.000,296000.000
1981-11-06,1.954,1.933,1.954,1.944,1324.000,257000.000
1981-11-09,1.949,1.949,2.035,2.035,1975.000,393000.000
1981-11-10,2.035,1.981,2.061,1.987,1746.000,353000.000
1981-11-11,1.987,1.971,2.029,2.029,596.000,119000.000
1981-11-12,2.029,1.992,2.061,1.992,1311.000,266000.000
1981-11-13,1.992,1.965,2.003,1.965,1622.000,322000.000
1981-11-16,1.965,1.939,1.976,1.976,1392.000,272000.000
1981-11-17,1.976,1.949,1.976,1.976,360.000,71000.000
1981-11-18,1.976,1.944,1.976,1.944,1648.000,323000.000
1981-11-19,1.944,1.939,1.981,1.981,472.000,93000.000
1981-11-20,1.981,1.954,1.992,1.971,611.000,121000.000
1981-11-23,1.971,1.965,1.997,1.987,1634.000,324000.000
1981-11-24,1.987,1.976,2.029,2.019,1368.000,274000.000
1981-11-25,2.019,1.992,2.029,1.997,1598.000,321000.000
1981-11-27,1.997,1.987,2.003,1.997,216.000,43000.000
1981-11-30,1.997,1.981,2.019,2.003,1091.000,218000.000
1981-12-01,2.003,1.987,2.019,2.003,3013.000,603000.000
1981-12-02,2.003,1.944,2.003,1.944,1253.000,247000.000
1981-12-03,1.944,1.928,1.971,1.971,1218.000,237000.000
1981-12-04,1.992,1.992,2.035,2.024,1053.000,212000.000
1981-12-07,2.024,1.954,2.045,1.960,1895.000,379000.000
1981-12-08,1.960,1.939,1.981,1.954,1503.000,295000.000
1981-12-09,1.954,1.939,1.960,1.944,1280.000,249000.000
1981-12-10,1.944,1.912,1.944,1.933,1845.000,356000.000
1981-12-11,1.933,1.885,1.939,1.890,869.000,166000.000
1981-12-14,1.874,1.842,1.874,1.858,997.000,185000.000
1981-12-15,1.858,1.848,1.890,1.880,2023.000,378000.000
1981-12-16,1.880,1.864,1.880,1.869,885.000,166000.000
1981-12-17,1.874,1.874,1.896,1.880,1402.000,264000.000
1981-12-18,1.880,1.858,1.901,1.880,1463.000,275000.000
1981-12-21,1.874,1.853,1.874,1.853,793.000,148000.000
1981-12-22,1.853,1.821,1.858,1.826,771.000,142000.000
1981-12-23,1.826,1.821,1.842,1.832,1212.000,222000.000
1981-12-24,1.832,1.821,1.848,1.842,224.000,41000.000
1981-12-28,1.848,1.848,1.880,1.869,439.000,82000.000
1981-12-29,1.869,1.864,1.885,1.885,261.000,49000.000
1981-12-30,1.885,1.880,1.906,1.885,478.000,90000.000
1981-12-31,1.885,1.880,1.896,1.885,461.000,87000.000
1982-01-04,1.898,1.871,1.920,1.909,2555.000,484000.000
1982-01-05,1.855,1.806,1.898,1.806,1598.000,296000.000
1982-01-06,1.817,1.801,1.833,1.828,1806.000,328000.000
1982-01-07,1.855,1.812,1.893,1.893,1573.000,291000.000
1982-01-08,1.909,1.898,1.920,1.903,1345.000,257000.000
1982-01-11,1.877,1.833,1.914,1.849,2404.000,450000.000
1982-01-12,1.844,1.817,1.871,1.849,1713.000,316000.000
1982-01-13,1.817,1.774,1.860,1.779,979.000,178000.000
1982-01-14,1.801,1.779,1.817,1.806,2226.000,400000.000
1982-01-15,1.812,1.795,1.822,1.801,1150.000,208000.000
1982-01-18,1.785,1.768,1.801,1.801,1944.000,347000.000
1982-01-19,1.795,1.779,1.812,1.795,1736.000,312000.000
1982-01-20,1.795,1.785,1.806,1.795,1402.000,252000.000
1982-01-21,1.812,1.790,1.828,1.812,641.000,116000.000
1982-01-22,1.822,1.806,1.833,1.817,1353.000,246000.000
1982-01-25,1.806,1.790,1.817,1.801,882.000,159000.000
1982-01-26,1.752,1.698,1.806,1.714,1807.000,317000.000
1982-01-27,1.752,1.725,1.779,1.763,2574.000,451000.000
1982-01-28,1.828,1.785,1.871,1.871,1993.000,364000.000
1982-01-29,1.909,1.882,1.931,1.925,2769.000,528000.000
1982-02-01,1.903,1.887,1.920,1.893,983.000,187000.000
1982-02-02,1.898,1.882,1.909,1.887,873.000,165000.000
1982-02-03,1.866,1.833,1.898,1.833,1747.000,326000.000
1982-02-04,1.844,1.828,1.860,1.844,1221.000,225000.000
1982-02-05,1.871,1.860,1.882,1.882,2618.000,490000.000
1982-02-08,1.860,1.839,1.877,1.839,1013.000,188000.000
1982-02-09,1.828,1.806,1.844,1.822,2218.000,405000.000
1982-02-10,1.844,1.822,1.860,1.849,810.000,149000.000
1982-02-11,1.822,1.790,1.849,1.812,938.000,171000.000
1982-02-12,1.817,1.801,1.833,1.806,1061.000,193000.000
1982-02-16,1.790,1.752,1.828,1.828,1095.000,196000.000
1982-02-17,1.860,1.822,1.893,1.855,1351.000,251000.000
1982-02-18,1.877,1.866,1.887,1.882,1006.000,189000.000
1982-02-19,1.920,1.893,1.941,1.936,2361.000,453000.000
1982-02-22,1.941,1.909,1.968,1.914,2302.000,446000.000
1982-02-23,1.909,1.898,1.914,1.914,1890.000,360000.000
1982-02-24,1.936,1.920,1.952,1.952,1937.000,375000.000
1982-02-25,1.974,1.963,1.985,1.979,2052.000,405000.000
1982-02-26,1.979,1.968,1.990,1.979,739.000,146000.000
1982-03-01,2.006,1.979,2.033,2.033,3101.000,622000.000
1982-03-02,2.017,2.001,2.033,2.006,1074.000,217000.000
1982-03-03,1.995,1.974,2.017,1.995,1646.000,328000.000
1982-03-04,1.995,1.968,2.023,2.001,1771.000,353000.000
1982-03-05,1.974,1.947,2.001,1.979,3605.000,712000.000
1982-03-08,1.974,1.931,2.012,1.936,2298.000,453000.000
1982-03-09,1.936,1.898,1.968,1.958,1579.000,305000.000
1982-03-10,1.995,1.958,2.033,2.001,1879.000,375000.000
1982-03-11,1.974,1.936,2.012,1.941,2792.000,551000.000
1982-03-12,1.914,1.893,1.936,1.920,2013.000,385000.000
1982-03-15,1.893,1.866,1.914,1.882,3686.000,697000.000
1982-03-16,1.887,1.866,1.909,1.887,1416.000,267000.000
1982-03-17,1.893,1.877,1.909,1.877,1512.000,286000.000
1982-03-18,1.920,1.898,1.941,1.936,2786.000,535000.000
1982-03-19,1.947,1.931,1.958,1.936,1856.000,361000.000
1982-03-22,1.968,1.947,1.990,1.974,2658.000,523000.000
1982-03-23,2.033,2.017,2.049,2.049,3025.000,615000.000
1982-03-24,2.076,2.044,2.109,2.082,3761.000,781000.000
1982-03-25,2.082,2.071,2.093,2.082,2921.000,608000.000
1982-03-26,2.076,2.060,2.087,2.066,3014.000,625000.000
1982-03-29,2.028,2.012,2.044,2.033,2007.000,407000.000
1982-03-30,2.012,1.990,2.033,2.017,1371.000,276000.000
1982-03-31,2.028,2.006,2.044,2.033,1406.000,285000.000
1982-04-01,2.076,2.039,2.109,2.109,2339.000,485000.000
1982-04-02,2.104,2.087,2.120,2.109,7154.000,1505000.000
1982-04-05,2.098,2.082,2.109,2.093,1051.000,220000.000
1982-04-06,2.082,2.066,2.093,2.093,974.000,203000.000
1982-04-07,2.093,2.082,2.104,2.093,987.000,207000.000
1982-04-08,2.131,2.098,2.158,2.152,2970.000,632000.000
1982-04-12,2.147,2.131,2.158,2.141,1945.000,417000.000
1982-04-13,2.136,2.114,2.152,2.136,951.000,203000.000
1982-04-14,2.125,2.109,2.136,2.120,817.000,173000.000
1982-04-15,2.109,2.093,2.125,2.125,1145.000,241000.000
1982-04-16,2.152,2.125,2.174,2.163,1588.000,341000.000
1982-04-19,2.179,2.141,2.217,2.190,2781.000,606000.000
1982-04-20,2.163,2.141,2.185,2.152,3572.000,773000.000
1982-04-21,2.152,2.141,2.163,2.158,2577.000,555000.000
1982-04-22,2.163,2.147,2.179,2.152,1503.000,325000.000
1982-04-23,2.158,2.136,2.179,2.152,2145.000,463000.000
1982-04-26,2.141,2.125,2.158,2.158,1415.000,303000.000
1982-04-27,2.120,2.082,2.158,2.109,1514.000,321000.000
1982-04-28,2.076,2.049,2.104,2.076,1724.000,358000.000
1982-04-29,2.055,2.039,2.066,2.044,1554.000,319000.000
1982-04-30,2.087,2.055,2.120,2.098,1046.000,218000.000
1982-05-03,2.087,2.066,2.109,2.104,1540.000,321000.000
1982-05-04,2.120,2.093,2.141,2.136,976.000,207000.000
1982-05-05,2.147,2.131,2.158,2.136,960.000,206000.000
