9N0289,BA,BOEING CO,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-22,4.415,4.308,4.451,4.308,948.000,415000.000
1981-06-23,4.308,4.290,4.415,4.415,1743.000,759000.000
1981-06-24,4.415,4.415,4.469,4.469,3375.000,1499000.000
1981-06-25,4.469,4.451,4.541,4.487,1029.000,463000.000
1981-06-26,4.487,4.433,4.505,4.433,1122.000,501000.000
1981-06-29,4.433,4.415,4.469,4.415,994.000,442000.000
1981-06-30,4.415,4.326,4.433,4.380,1471.000,644000.000
1981-07-01,4.362,4.290,4.362,4.344,3273.000,1416000.000
1981-07-02,4.344,4.254,4.344,4.272,3422.000,1471000.000
1981-07-06,4.254,4.183,4.254,4.183,1799.000,759000.000
1981-07-07,4.201,4.201,4.254,4.219,1602.000,677000.000
1981-07-08,4.219,4.165,4.237,4.201,931.000,391000.000
1981-07-09,4.201,4.183,4.308,4.290,2737.000,1162000.000
1981-07-10,4.290,4.272,4.326,4.308,1189.000,511000.000
1981-07-13,4.308,4.254,4.308,4.272,945.000,405000.000
1981-07-14,4.272,4.201,4.272,4.237,1240.000,525000.000
1981-07-15,4.237,4.183,4.254,4.254,1407.000,594000.000
1981-07-16,4.254,4.201,4.272,4.272,904.000,383000.000
1981-07-17,4.272,4.237,4.272,4.254,794.000,338000.000
1981-07-20,4.254,4.165,4.326,4.165,1391.000,591000.000
1981-07-21,4.165,4.058,4.165,4.058,1291.000,531000.000
1981-07-22,4.058,4.040,4.111,4.058,1413.000,576000.000
1981-07-23,4.058,4.004,4.076,4.076,1832.000,740000.000
1981-07-24,4.076,4.022,4.076,4.040,1319.000,534000.000
1981-07-27,4.040,4.022,4.129,4.022,2476.000,1009000.000
1981-07-28,4.022,3.968,4.040,3.986,2288.000,916000.000
1981-07-29,3.968,3.897,3.968,3.951,2407.000,947000.000
1981-07-30,3.933,3.897,3.933,3.933,1477.000,578000.000
1981-07-31,3.915,3.915,3.986,3.951,4979.000,1967000.000
1981-08-03,3.951,3.879,3.951,3.915,1930.000,756000.000
1981-08-04,3.915,3.879,3.933,3.915,1536.000,600000.000
1981-08-05,3.915,3.897,4.040,4.040,2378.000,944000.000
1981-08-06,4.022,3.933,4.022,4.022,3457.000,1375000.000
1981-08-07,4.022,3.843,4.022,3.861,2974.000,1170000.000
1981-08-10,3.861,3.808,3.879,3.843,2131.000,819000.000
1981-08-11,3.843,3.843,3.933,3.897,2265.000,881000.000
1981-08-12,3.915,3.915,4.022,3.986,2861.000,1135000.000
1981-08-13,3.986,3.951,4.022,3.968,1485.000,592000.000
1981-08-14,3.968,3.968,4.076,4.004,2071.000,833000.000
1981-08-17,4.004,3.897,4.022,3.915,2073.000,821000.000
1981-08-18,3.915,3.861,3.933,3.915,2585.000,1007000.000
1981-08-19,3.897,3.843,3.897,3.879,1582.000,612000.000
1981-08-20,3.879,3.772,3.897,3.790,2286.000,877000.000
1981-08-21,3.754,3.611,3.754,3.629,5457.000,2009000.000
1981-08-24,3.611,3.504,3.611,3.539,2623.000,933000.000
1981-08-25,3.486,3.432,3.486,3.468,2285.000,790000.000
1981-08-26,3.468,3.396,3.486,3.432,2871.000,988000.000
1981-08-27,3.432,3.396,3.450,3.414,1658.000,568000.000
1981-08-28,3.414,3.378,3.432,3.432,1629.000,555000.000
1981-08-31,3.432,3.271,3.468,3.289,2782.000,937000.000
1981-09-01,3.289,3.200,3.289,3.289,3020.000,980000.000
1981-09-02,3.325,3.325,3.450,3.450,2059.000,697000.000
1981-09-03,3.450,3.378,3.522,3.396,1733.000,598000.000
1981-09-04,3.396,3.361,3.432,3.432,1843.000,626000.000
1981-09-08,3.432,3.307,3.432,3.343,1736.000,585000.000
1981-09-09,3.343,3.325,3.396,3.361,1666.000,560000.000
1981-09-10,3.361,3.325,3.450,3.450,1805.000,611000.000
1981-09-11,3.450,3.432,3.665,3.665,2414.000,857000.000
1981-09-14,3.647,3.557,3.647,3.593,1216.000,438000.000
1981-09-15,3.593,3.575,3.682,3.647,1704.000,618000.000
1981-09-16,3.647,3.593,3.772,3.736,3796.000,1398000.000
1981-09-17,3.736,3.593,3.826,3.665,3373.000,1251000.000
1981-09-18,3.665,3.593,3.665,3.611,2003.000,727000.000
1981-09-21,3.593,3.539,3.593,3.557,1402.000,500000.000
1981-09-22,3.557,3.504,3.593,3.504,2145.000,761000.000
1981-09-23,3.504,3.378,3.629,3.468,1773.000,621000.000
1981-09-24,3.468,3.396,3.593,3.414,1478.000,517000.000
1981-09-25,3.396,3.289,3.396,3.325,1701.000,569000.000
1981-09-28,3.325,3.236,3.486,3.468,2138.000,719000.000
1981-09-29,3.468,3.432,3.539,3.432,1824.000,636000.000
1981-09-30,3.432,3.378,3.468,3.450,1164.000,398000.000
