9N0512,CAT,CATERPILLAR INC,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-18,11.262,11.262,11.363,11.363,590.000,667000.000
1981-06-19,11.302,11.020,11.302,11.020,839.000,936000.000
1981-06-22,11.020,10.616,11.040,10.616,492.000,533000.000
1981-06-23,10.616,10.434,10.636,10.636,907.000,956000.000
1981-06-24,10.636,10.596,10.717,10.616,930.000,991000.000
1981-06-25,10.616,10.616,10.737,10.616,304.000,325000.000
1981-06-26,10.616,10.434,10.616,10.455,431.000,454000.000
1981-06-29,10.455,10.434,10.596,10.455,368.000,387000.000
1981-06-30,10.455,10.455,10.636,10.596,728.000,768000.000
1981-07-01,10.596,10.535,10.656,10.616,827.000,876000.000
1981-07-02,10.616,10.495,10.616,10.535,546.000,576000.000
1981-07-06,10.495,10.394,10.495,10.394,605.000,632000.000
1981-07-07,10.394,10.212,10.455,10.293,665.000,687000.000
1981-07-08,10.233,10.051,10.233,10.132,1051.000,1066000.000
1981-07-09,10.111,9.910,10.111,10.091,894.000,895000.000
1981-07-10,10.091,10.051,10.212,10.172,768.000,778000.000
1981-07-13,10.172,10.071,10.172,10.111,327.000,331000.000
1981-07-14,10.071,10.011,10.071,10.071,223.000,224000.000
1981-07-15,10.071,10.031,10.152,10.111,444.000,448000.000
1981-07-16,10.152,10.152,10.233,10.233,503.000,513000.000
1981-07-17,10.233,10.192,10.293,10.212,1171.000,1199000.000
1981-07-20,10.212,9.950,10.212,9.970,373.000,376000.000
1981-07-21,9.970,9.950,10.091,10.071,368.000,369000.000
1981-07-22,10.071,10.051,10.091,10.051,502.000,506000.000
1981-07-23,10.031,9.970,10.031,9.970,483.000,483000.000
1981-07-24,9.970,9.869,9.990,9.869,532.000,528000.000
1981-07-27,9.869,9.869,9.910,9.869,376.000,372000.000
1981-07-28,9.869,9.869,9.970,9.950,346.000,343000.000
1981-07-29,9.970,9.970,10.031,10.031,433.000,433000.000
1981-07-30,10.031,10.011,10.091,10.071,407.000,409000.000
1981-07-31,10.071,10.051,10.111,10.091,1128.000,1137000.000
1981-08-03,10.091,10.071,10.091,10.091,329.000,332000.000
1981-08-04,10.091,10.051,10.091,10.091,401.000,404000.000
1981-08-05,10.091,10.071,10.152,10.152,1120.000,1132000.000
1981-08-06,10.152,10.132,10.293,10.253,719.000,734000.000
1981-08-07,10.253,10.212,10.273,10.273,831.000,851000.000
1981-08-10,10.273,10.273,10.333,10.313,614.000,633000.000
1981-08-11,10.313,10.293,10.333,10.333,204.000,210000.000
1981-08-12,10.354,10.354,10.475,10.414,240.000,250000.000
1981-08-13,10.414,10.354,10.434,10.374,201.000,209000.000
1981-08-14,10.374,10.212,10.434,10.212,368.000,380000.000
1981-08-17,10.192,10.152,10.192,10.152,559.000,569000.000
1981-08-18,10.132,10.051,10.132,10.071,993.000,1002000.000
1981-08-19,10.071,10.051,10.091,10.091,207.000,208000.000
1981-08-20,10.091,10.071,10.152,10.091,291.000,294000.000
1981-08-21,10.091,9.889,10.111,9.889,432.000,432000.000
1981-08-24,9.849,9.688,9.849,9.708,403.000,394000.000
1981-08-25,9.708,9.647,9.748,9.748,651.000,631000.000
1981-08-26,9.748,9.607,9.768,9.607,737.000,714000.000
1981-08-27,9.587,9.405,9.587,9.425,848.000,805000.000
1981-08-28,9.425,9.405,9.486,9.405,1253.000,1184000.000
1981-08-31,9.405,9.385,9.466,9.385,744.000,701000.000
1981-09-01,9.345,9.264,9.345,9.324,595.000,554000.000
1981-09-02,9.324,9.324,9.405,9.345,728.000,682000.000
1981-09-03,9.345,9.304,9.425,9.304,716.000,671000.000
1981-09-04,9.304,9.264,9.324,9.284,848.000,788000.000
1981-09-08,9.284,9.244,9.304,9.284,660.000,612000.000
1981-09-09,9.284,9.284,9.365,9.345,538.000,502000.000
1981-09-10,9.345,9.284,9.365,9.284,679.000,633000.000
1981-09-11,9.304,9.304,9.425,9.425,432.000,405000.000
1981-09-14,9.425,9.385,9.486,9.446,314.000,296000.000
1981-09-15,9.466,9.466,9.546,9.486,364.000,346000.000
1981-09-16,9.466,9.345,9.466,9.365,819.000,770000.000
1981-09-17,9.365,9.365,9.425,9.365,525.000,493000.000
1981-09-18,9.365,9.082,9.365,9.082,1138.000,1050000.000
1981-09-21,9.102,9.102,9.244,9.163,1031.000,946000.000
1981-09-22,9.163,8.961,9.163,8.961,417.000,378000.000
1981-09-23,8.921,8.598,8.921,8.860,1099.000,963000.000
1981-09-24,8.860,8.840,8.941,8.840,357.000,317000.000
1981-09-25,8.800,8.679,8.800,8.739,527.000,461000.000
1981-09-28,8.739,8.638,8.759,8.719,1152.000,1002000.000
1981-09-29,8.719,8.658,8.779,8.658,514.000,448000.000
1981-09-30,8.658,8.638,8.719,8.658,325.000,282000.000
1981-10-01,8.658,8.618,8.699,8.679,2212.000,1915000.000
1981-10-02,8.679,8.679,8.779,8.779,1049.000,916000.000
1981-10-05,8.779,8.739,8.840,8.759,970.000,853000.000
1981-10-06,8.759,8.638,8.820,8.759,385.000,336000.000
1981-10-07,8.779,8.779,8.880,8.880,425.000,375000.000
1981-10-08,8.921,8.921,9.102,8.981,1024.000,923000.000
1981-10-09,8.981,8.860,8.981,8.860,1155.000,1030000.000
1981-10-12,8.860,8.800,8.860,8.840,788.000,696000.000
1981-10-13,8.880,8.880,9.002,9.002,463.000,414000.000
1981-10-14,9.002,8.941,9.062,8.941,321.000,289000.000
1981-10-15,8.941,8.860,8.961,8.860,440.000,392000.000
1981-10-16,8.860,8.779,8.901,8.779,887.000,784000.000
1981-10-19,8.779,8.699,8.779,8.699,855.000,747000.000
1981-10-20,8.598,8.537,8.598,8.578,1868.000,1600000.000
1981-10-21,8.557,8.497,8.557,8.557,926.000,790000.000
1981-10-22,8.517,8.396,8.517,8.416,437.000,370000.000
1981-10-23,8.396,8.033,8.396,8.073,1629.000,1338000.000
1981-10-26,8.073,8.012,8.093,8.073,1812.000,1459000.000
1981-10-27,8.073,8.073,8.275,8.194,1819.000,1487000.000
1981-10-28,8.194,8.194,8.396,8.295,809.000,671000.000
1981-10-29,8.255,8.073,8.255,8.073,761.000,621000.000
1981-10-30,8.073,8.033,8.154,8.113,386.000,312000.000
1981-11-02,8.295,8.295,8.416,8.416,1011.000,845000.000
