9N0904,DIS,WALT DISNEY-DISNEY C,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-18,1.134,1.114,1.134,1.116,352.000,40000.000
1981-06-19,1.114,1.105,1.114,1.107,287.000,32000.000
1981-06-22,1.110,1.110,1.116,1.112,354.000,39000.000
1981-06-23,1.112,1.105,1.112,1.110,1097.000,122000.000
1981-06-24,1.110,1.101,1.112,1.105,335.000,37000.000
1981-06-25,1.105,1.103,1.105,1.103,69.000,8000.000
1981-06-26,1.103,1.103,1.114,1.112,328.000,36000.000
1981-06-29,1.105,1.099,1.105,1.099,87.000,10000.000
1981-06-30,1.099,1.099,1.101,1.101,152.000,17000.000
1981-07-01,1.101,1.094,1.103,1.097,463.000,51000.000
1981-07-02,1.097,1.077,1.103,1.077,1367.000,149000.000
1981-07-06,1.077,1.058,1.081,1.058,753.000,81000.000
1981-07-07,1.058,1.034,1.064,1.036,614.000,64000.000
1981-07-08,1.034,1.008,1.034,1.012,753.000,77000.000
1981-07-09,1.016,1.016,1.029,1.021,802.000,82000.000
1981-07-10,1.023,1.023,1.038,1.038,137.000,14000.000
1981-07-13,1.038,1.038,1.044,1.042,256.000,27000.000
1981-07-14,1.042,1.034,1.042,1.034,215.000,22000.000
1981-07-15,1.010,0.995,1.010,1.005,1251.000,125000.000
1981-07-16,1.003,0.977,1.003,0.982,1466.000,145000.000
1981-07-17,0.977,0.956,0.977,0.962,893.000,86000.000
1981-07-20,0.947,0.938,0.947,0.942,479.000,45000.000
1981-07-21,0.942,0.942,0.956,0.956,630.000,60000.000
1981-07-22,0.956,0.956,0.962,0.958,1113.000,107000.000
1981-07-23,0.958,0.936,0.960,0.940,384.000,36000.000
1981-07-24,0.940,0.936,0.947,0.940,445.000,42000.000
1981-07-27,0.940,0.936,0.947,0.938,305.000,29000.000
1981-07-28,0.929,0.912,0.929,0.916,498.000,46000.000
1981-07-29,0.908,0.897,0.908,0.908,1421.000,128000.000
1981-07-30,0.910,0.910,0.925,0.921,908.000,83000.000
1981-07-31,0.921,0.921,0.938,0.934,244.000,23000.000
1981-08-03,0.934,0.934,0.942,0.938,254.000,24000.000
1981-08-04,0.938,0.929,0.964,0.964,298.000,28000.000
1981-08-05,0.964,0.949,0.966,0.956,345.000,33000.000
1981-08-06,0.947,0.921,0.947,0.925,1133.000,106000.000
1981-08-07,0.925,0.905,0.925,0.910,1080.000,99000.000
1981-08-10,0.910,0.897,0.910,0.901,893.000,81000.000
1981-08-11,0.901,0.901,0.916,0.916,671.000,61000.000
1981-08-12,0.921,0.921,0.934,0.923,234.000,22000.000
1981-08-13,0.921,0.916,0.921,0.916,318.000,29000.000
1981-08-14,0.916,0.914,0.921,0.914,221.000,20000.000
1981-08-17,0.914,0.905,0.919,0.905,349.000,32000.000
1981-08-18,0.905,0.901,0.910,0.903,273.000,25000.000
1981-08-19,0.903,0.901,0.910,0.901,605.000,55000.000
1981-08-20,0.901,0.897,0.910,0.901,1266.000,114000.000
1981-08-21,0.901,0.895,0.901,0.895,343.000,31000.000
1981-08-24,0.895,0.886,0.897,0.890,500.000,45000.000
1981-08-25,0.890,0.886,0.908,0.908,542.000,49000.000
1981-08-26,0.908,0.905,0.925,0.925,481.000,44000.000
1981-08-27,0.923,0.908,0.923,0.908,383.000,35000.000
1981-08-28,0.908,0.905,0.923,0.923,302.000,28000.000
1981-08-31,0.923,0.899,0.934,0.899,568.000,52000.000
1981-09-01,0.899,0.886,0.901,0.890,701.000,63000.000
1981-09-02,0.890,0.886,0.899,0.886,388.000,35000.000
1981-09-03,0.886,0.851,0.890,0.856,1557.000,136000.000
1981-09-04,0.856,0.849,0.860,0.860,1066.000,91000.000
1981-09-08,0.860,0.849,0.860,0.856,778.000,66000.000
1981-09-09,0.856,0.856,0.869,0.864,706.000,61000.000
1981-09-10,0.864,0.858,0.866,0.858,1191.000,103000.000
1981-09-11,0.858,0.856,0.866,0.866,319.000,27000.000
1981-09-14,0.866,0.849,0.866,0.853,153.000,13000.000
1981-09-15,0.853,0.853,0.866,0.853,260.000,22000.000
1981-09-16,0.851,0.838,0.851,0.845,862.000,73000.000
1981-09-17,0.845,0.830,0.849,0.830,140.000,12000.000
1981-09-18,0.830,0.810,0.832,0.810,460.000,38000.000
1981-09-21,0.810,0.790,0.810,0.795,539.000,43000.000
1981-09-22,0.795,0.795,0.808,0.799,917.000,73000.000
1981-09-23,0.799,0.788,0.803,0.803,207.000,16000.000
1981-09-24,0.803,0.793,0.808,0.793,702.000,56000.000
1981-09-25,0.782,0.762,0.782,0.769,962.000,74000.000
1981-09-28,0.769,0.753,0.788,0.786,992.000,76000.000
1981-09-29,0.790,0.790,0.812,0.810,891.000,71000.000
1981-09-30,0.810,0.799,0.812,0.812,928.000,75000.000
1981-10-01,0.812,0.799,0.812,0.812,400.000,32000.000
1981-10-02,0.812,0.812,0.834,0.834,452.000,37000.000
1981-10-05,0.834,0.834,0.851,0.840,1518.000,128000.000
1981-10-06,0.838,0.825,0.838,0.830,518.000,43000.000
1981-10-07,0.830,0.830,0.869,0.866,2055.000,174000.000
1981-10-08,0.866,0.866,0.910,0.903,925.000,82000.000
1981-10-09,0.903,0.892,0.910,0.897,588.000,53000.000
1981-10-12,0.895,0.884,0.895,0.890,176.000,16000.000
1981-10-13,0.890,0.886,0.895,0.890,87.000,8000.000
1981-10-14,0.890,0.882,0.892,0.882,108.000,10000.000
1981-10-15,0.875,0.860,0.875,0.869,982.000,85000.000
1981-10-16,0.869,0.864,0.873,0.869,93.000,8000.000
1981-10-19,0.869,0.864,0.877,0.877,393.000,34000.000
1981-10-20,0.877,0.875,0.890,0.890,171.000,15000.000
1981-10-21,0.890,0.886,0.897,0.890,215.000,19000.000
1981-10-22,0.890,0.871,0.890,0.873,136.000,12000.000
1981-10-23,0.873,0.869,0.873,0.871,292.000,25000.000
1981-10-26,0.871,0.869,0.875,0.871,247.000,22000.000
1981-10-27,0.871,0.871,0.875,0.871,159.000,14000.000
1981-10-28,0.871,0.869,0.903,0.899,354.000,31000.000
1981-10-29,0.899,0.890,0.899,0.892,144.000,13000.000
1981-10-30,0.899,0.899,0.921,0.912,1070.000,97000.000
1981-11-02,0.912,0.910,0.925,0.921,1084.000,99000.000
1981-11-03,0.921,0.903,0.921,0.919,355.000,32000.000
1981-11-04,0.910,0.899,0.910,0.899,423.000,38000.000
1981-11-05,0.899,0.899,0.910,0.908,709.000,64000.000
1981-11-06,0.908,0.903,0.927,0.923,699.000,64000.000
1981-11-09,0.923,0.914,0.925,0.921,440.000,40000.000
1981-11-10,0.921,0.921,0.942,0.927,482.000,45000.000
1981-11-11,0.927,0.923,0.936,0.934,220.000,20000.000
1981-11-12,0.938,0.938,0.951,0.942,387.000,37000.000
1981-11-13,0.942,0.923,0.949,0.923,358.000,34000.000
1981-11-16,0.921,0.903,0.921,0.910,439.000,40000.000
1981-11-17,0.910,0.908,0.919,0.919,547.000,50000.000
1981-11-18,0.919,0.919,0.923,0.919,350.000,32000.000
1981-11-19,0.919,0.919,0.929,0.929,413.000,38000.000
1981-11-20,0.938,0.938,0.956,0.951,1352.000,128000.000
1981-11-23,0.951,0.947,0.960,0.947,285.000,27000.000
1981-11-24,0.947,0.945,0.951,0.947,492.000,47000.000
1981-11-25,0.947,0.942,0.953,0.942,355.000,34000.000
1981-11-27,0.942,0.942,0.949,0.945,230.000,22000.000
1981-11-30,0.945,0.932,0.947,0.947,670.000,63000.000
1981-12-01,0.947,0.942,0.951,0.949,746.000,71000.000
1981-12-02,0.947,0.932,0.947,0.934,972.000,91000.000
1981-12-03,0.888,0.879,0.888,0.884,3142.000,278000.000
1981-12-04,0.884,0.851,0.888,0.853,3371.000,293000.000
1981-12-07,0.853,0.853,0.860,0.856,567.000,49000.000
1981-12-08,0.856,0.853,0.875,0.875,890.000,77000.000
1981-12-09,0.884,0.884,0.895,0.892,855.000,76000.000
1981-12-10,0.892,0.892,0.901,0.897,374.000,34000.000
1981-12-11,0.897,0.895,0.899,0.899,239.000,21000.000
1981-12-14,0.895,0.875,0.895,0.877,290.000,26000.000
1981-12-15,0.877,0.873,0.877,0.877,460.000,40000.000
1981-12-16,0.877,0.877,0.886,0.877,257.000,23000.000
1981-12-17,0.877,0.877,0.903,0.899,1229.000,109000.000
1981-12-18,0.903,0.903,0.914,0.905,1334.000,121000.000
1981-12-21,0.905,0.903,0.912,0.910,782.000,71000.000
1981-12-22,0.910,0.903,0.916,0.908,719.000,65000.000
1981-12-23,0.908,0.905,0.925,0.921,854.000,78000.000
1981-12-24,0.921,0.919,0.927,0.925,227.000,21000.000
1981-12-28,0.925,0.923,0.929,0.923,470.000,44000.000
1981-12-29,0.923,0.901,0.927,0.903,912.000,83000.000
1981-12-30,0.903,0.901,0.916,0.908,244.000,22000.000
1981-12-31,0.908,0.905,0.912,0.908,327.000,30000.000
1982-01-04,0.923,0.908,0.938,0.929,719.000,66000.000
1982-01-05,0.921,0.912,0.929,0.919,1224.000,113000.000
1982-01-06,0.912,0.903,0.921,0.914,611.000,56000.000
1982-01-07,0.908,0.897,0.916,0.903,1782.000,162000.000
1982-01-08,0.905,0.899,0.910,0.899,883.000,80000.000
1982-01-11,0.884,0.862,0.905,0.862,1105.000,98000.000
1982-01-12,0.864,0.858,0.869,0.866,1353.000,117000.000
1982-01-13,0.869,0.862,0.875,0.864,562.000,49000.000
