9N1364,GM,GEN MOTORS,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-19,8.694,8.655,8.791,8.674,2413.000,2105000.000
1981-06-22,8.674,8.576,8.694,8.596,1630.000,1408000.000
1981-06-23,8.596,8.557,8.752,8.713,3484.000,3015000.000
1981-06-24,8.713,8.557,8.733,8.596,2551.000,2205000.000
1981-06-25,8.596,8.440,8.596,8.440,2049.000,1745000.000
1981-06-26,8.459,8.459,8.576,8.518,2152.000,1833000.000
1981-06-29,8.518,8.342,8.518,8.342,1740.000,1467000.000
1981-06-30,8.342,8.264,8.381,8.283,1647.000,1371000.000
1981-07-01,8.283,8.225,8.303,8.225,2419.000,1999000.000
1981-07-02,8.225,8.068,8.264,8.127,2787.000,2276000.000
1981-07-06,8.127,7.971,8.147,8.029,2325.000,1874000.000
1981-07-07,8.029,7.756,8.068,7.795,4234.000,3350000.000
1981-07-08,7.795,7.736,7.854,7.814,3852.000,3003000.000
1981-07-09,7.814,7.814,7.912,7.814,3964.000,3117000.000
1981-07-10,7.814,7.697,7.814,7.736,1772.000,1374000.000
1981-07-13,7.736,7.697,7.775,7.717,1693.000,1310000.000
1981-07-14,7.717,7.678,7.775,7.756,1608.000,1242000.000
1981-07-15,7.756,7.697,7.775,7.717,1463.000,1132000.000
1981-07-16,7.717,7.600,7.756,7.619,1745.000,1340000.000
1981-07-17,7.658,7.658,7.814,7.756,2164.000,1674000.000
1981-07-20,7.678,7.561,7.678,7.580,2860.000,2179000.000
1981-07-21,7.580,7.385,7.580,7.463,2267.000,1696000.000
1981-07-22,7.482,7.482,7.600,7.502,2339.000,1764000.000
1981-07-23,7.502,7.443,7.522,7.502,2323.000,1738000.000
1981-07-24,7.502,7.502,7.619,7.619,1320.000,998000.000
1981-07-27,7.619,7.600,7.736,7.717,1319.000,1011000.000
1981-07-28,7.717,7.697,7.775,7.756,2107.000,1630000.000
1981-07-29,7.756,7.736,7.795,7.736,1265.000,982000.000
1981-07-30,7.736,7.736,7.893,7.893,1487.000,1162000.000
1981-07-31,7.893,7.873,8.049,8.029,1305.000,1039000.000
1981-08-03,7.990,7.873,7.990,7.893,1529.000,1213000.000
1981-08-04,7.893,7.814,7.893,7.814,3646.000,2863000.000
1981-08-05,7.814,7.736,7.834,7.756,979.000,762000.000
1981-08-06,7.756,7.756,7.834,7.795,1749.000,1363000.000
1981-08-07,7.811,7.672,7.811,7.692,1679.000,1300000.000
1981-08-10,7.692,7.574,7.712,7.574,2055.000,1571000.000
1981-08-11,7.613,7.613,7.712,7.712,3143.000,2408000.000
1981-08-12,7.712,7.593,7.752,7.593,2058.000,1579000.000
1981-08-13,7.593,7.593,7.692,7.633,1180.000,902000.000
1981-08-14,7.633,7.593,7.692,7.593,1627.000,1243000.000
1981-08-17,7.593,7.514,7.672,7.514,2332.000,1771000.000
1981-08-18,7.514,7.514,7.633,7.633,2899.000,2196000.000
1981-08-19,7.633,7.613,7.712,7.653,2119.000,1624000.000
1981-08-20,7.653,7.514,7.672,7.554,1753.000,1331000.000
1981-08-21,7.554,7.475,7.574,7.534,1408.000,1059000.000
1981-08-24,7.435,7.356,7.435,7.356,3607.000,2668000.000
1981-08-25,7.356,7.297,7.475,7.475,2920.000,2157000.000
1981-08-26,7.475,7.435,7.554,7.495,2346.000,1758000.000
1981-08-27,7.495,7.356,7.495,7.435,2966.000,2202000.000
1981-08-28,7.435,7.435,7.613,7.534,2436.000,1833000.000
1981-08-31,7.534,7.336,7.613,7.336,2136.000,1597000.000
1981-09-01,7.336,7.297,7.514,7.435,1850.000,1370000.000
1981-09-02,7.435,7.435,7.534,7.534,1632.000,1221000.000
1981-09-03,7.534,7.356,7.534,7.356,1978.000,1473000.000
1981-09-04,7.356,7.277,7.415,7.317,7332.000,5386000.000
1981-09-08,7.317,7.218,7.356,7.297,2274.000,1657000.000
1981-09-09,7.297,7.198,7.317,7.218,2170.000,1575000.000
1981-09-10,7.218,7.218,7.297,7.237,2878.000,2089000.000
1981-09-11,7.237,7.139,7.356,7.336,2528.000,1832000.000
1981-09-14,7.336,7.158,7.396,7.317,2636.000,1918000.000
1981-09-15,7.317,7.317,7.415,7.317,2641.000,1945000.000
1981-09-16,7.317,7.158,7.317,7.218,4030.000,2917000.000
1981-09-17,7.218,7.099,7.218,7.139,3510.000,2513000.000
1981-09-18,7.139,7.079,7.158,7.119,2025.000,1442000.000
1981-09-21,7.119,7.059,7.119,7.059,3085.000,2187000.000
1981-09-22,7.059,6.980,7.099,6.980,2946.000,2074000.000
1981-09-23,6.980,6.881,7.000,6.960,2238.000,1553000.000
1981-09-24,6.960,6.862,6.980,6.862,1579.000,1093000.000
1981-09-25,6.862,6.743,6.862,6.802,3057.000,2079000.000
1981-09-28,6.802,6.763,7.020,7.020,2939.000,2025000.000
1981-09-29,7.040,6.980,7.139,7.040,3058.000,2159000.000
1981-09-30,7.040,7.000,7.079,7.059,2362.000,1663000.000
1981-10-01,7.040,6.960,7.040,7.040,1712.000,1198000.000
1981-10-02,7.040,6.980,7.218,7.178,2071.000,1470000.000
1981-10-05,7.198,7.198,7.356,7.277,3534.000,2572000.000
1981-10-06,7.277,7.079,7.277,7.079,2450.000,1759000.000
1981-10-07,7.079,7.079,7.139,7.119,2779.000,1976000.000
1981-10-08,7.119,7.059,7.119,7.079,2318.000,1643000.000
1981-10-09,7.079,7.059,7.139,7.079,1770.000,1257000.000
1981-10-12,7.059,6.802,7.059,6.862,3466.000,2402000.000
1981-10-13,6.862,6.802,6.941,6.842,3841.000,2639000.000
1981-10-14,6.822,6.664,6.822,6.664,1890.000,1274000.000
1981-10-15,6.664,6.624,6.703,6.684,1556.000,1037000.000
1981-10-16,6.664,6.466,6.664,6.565,2972.000,1951000.000
1981-10-19,6.565,6.446,6.565,6.446,4234.000,2755000.000
1981-10-20,6.446,6.427,6.565,6.486,4282.000,2782000.000
1981-10-21,6.486,6.427,6.585,6.427,2775.000,1805000.000
1981-10-22,6.427,6.347,6.427,6.387,1546.000,987000.000
1981-10-23,6.308,6.170,6.308,6.189,7960.000,4966000.000
1981-10-26,6.110,5.774,6.110,5.893,11142.000,6621000.000
1981-10-27,5.893,5.695,5.972,5.695,11166.000,6514000.000
1981-10-28,5.695,5.517,5.734,5.557,7491.000,4214000.000
1981-10-29,5.557,5.557,5.675,5.675,6408.000,3599000.000
1981-10-30,5.675,5.596,5.774,5.774,6814.000,3874000.000
1981-11-02,5.814,5.814,6.110,6.090,5593.000,3335000.000
1981-11-03,6.090,6.051,6.170,6.170,6258.000,3824000.000
1981-11-04,6.170,6.130,6.209,6.170,3398.000,2096000.000
1981-11-05,6.085,5.844,6.085,5.844,4407.000,2629000.000
1981-11-06,5.844,5.844,5.905,5.884,4955.000,2911000.000
1981-11-09,5.884,5.884,6.005,5.985,3727.000,2216000.000
1981-11-10,5.985,5.884,6.005,5.905,3206.000,1906000.000
1981-11-11,5.905,5.864,5.945,5.945,1772.000,1046000.000
1981-11-12,5.945,5.924,5.985,5.985,2982.000,1776000.000
1981-11-13,5.965,5.824,5.965,5.824,2124.000,1252000.000
1981-11-16,5.804,5.663,5.804,5.684,3337.000,1913000.000
1981-11-17,5.684,5.663,5.744,5.684,4535.000,2587000.000
1981-11-18,5.684,5.603,5.704,5.603,5381.000,3042000.000
1981-11-19,5.603,5.443,5.623,5.523,5403.000,2989000.000
1981-11-20,5.523,5.523,5.603,5.583,3433.000,1910000.000
1981-11-23,5.583,5.583,5.724,5.684,3533.000,1997000.000
1981-11-24,5.684,5.663,5.884,5.864,3384.000,1954000.000
1981-11-25,5.884,5.884,5.965,5.924,4963.000,2940000.000
1981-11-27,5.924,5.864,6.025,5.985,2192.000,1303000.000
1981-11-30,5.985,5.864,6.005,5.945,2670.000,1585000.000
1981-12-01,5.945,5.905,6.246,6.186,4701.000,2856000.000
1981-12-02,6.186,6.045,6.206,6.085,4639.000,2842000.000
1981-12-03,6.085,5.945,6.105,6.105,3747.000,2258000.000
1981-12-04,6.105,6.085,6.186,6.105,3754.000,2303000.000
1981-12-07,6.105,5.965,6.125,5.985,2596.000,1569000.000
1981-12-08,5.985,5.924,5.985,5.945,2550.000,1518000.000
1981-12-09,5.945,5.924,6.125,6.125,3111.000,1874000.000
1981-12-10,6.125,6.085,6.206,6.166,4156.000,2554000.000
1981-12-11,6.166,6.105,6.186,6.105,3037.000,1866000.000
1981-12-14,6.005,5.905,6.005,5.924,3536.000,2106000.000
1981-12-15,5.924,5.884,5.945,5.924,2644.000,1564000.000
1981-12-16,5.924,5.884,5.945,5.924,2982.000,1764000.000
1981-12-17,5.924,5.884,5.924,5.924,4819.000,2845000.000
1981-12-18,5.924,5.905,6.125,6.025,5302.000,3189000.000
1981-12-21,6.025,6.005,6.085,6.025,3784.000,2287000.000
1981-12-22,6.025,5.965,6.045,6.005,4210.000,2528000.000
1981-12-23,6.005,5.985,6.065,6.045,3318.000,1999000.000
1981-12-24,6.065,6.065,6.166,6.146,4028.000,2463000.000
1981-12-28,6.146,6.146,6.286,6.146,3656.000,2272000.000
1981-12-29,6.146,6.146,6.246,6.186,7827.000,4849000.000
1981-12-30,6.186,6.186,6.286,6.186,5137.000,3203000.000
1981-12-31,6.186,6.125,6.266,6.186,6266.000,3882000.000
1982-01-04,6.326,6.226,6.406,6.386,3277.000,2070000.000
1982-01-05,6.306,6.226,6.386,6.266,3475.000,2191000.000
1982-01-06,6.266,6.206,6.306,6.286,3941.000,2465000.000
1982-01-07,6.286,6.226,6.346,6.306,3291.000,2069000.000
1982-01-08,6.447,6.366,6.507,6.447,4361.000,2807000.000
1982-01-11,6.306,6.125,6.487,6.166,5502.000,3470000.000
1982-01-12,6.125,6.085,6.166,6.146,3737.000,2289000.000
1982-01-13,6.226,6.085,6.366,6.105,3886.000,2419000.000
1982-01-14,6.166,6.065,6.266,6.266,3659.000,2256000.000
1982-01-15,6.346,6.266,6.427,6.346,3632.000,2305000.000
1982-01-18,6.346,6.306,6.427,6.386,5505.000,3505000.000
1982-01-19,6.346,6.306,6.386,6.346,3140.000,1993000.000
1982-01-20,6.246,6.146,6.346,6.166,3559.000,2223000.000
1982-01-21,6.186,6.125,6.246,6.146,1801.000,1114000.000
1982-01-22,6.105,6.025,6.166,6.045,1885.000,1149000.000
1982-01-25,6.045,5.945,6.146,6.105,3039.000,1837000.000
1982-01-26,6.085,6.025,6.146,6.045,2206.000,1342000.000
1982-01-27,6.005,5.945,6.045,5.965,2484.000,1489000.000
1982-01-28,6.105,6.005,6.206,6.186,3062.000,1869000.000
1982-01-29,6.146,6.025,6.266,6.105,5208.000,3201000.000
1982-02-01,5.945,5.864,6.005,5.884,3256.000,1932000.000
1982-02-02,6.005,5.945,6.065,6.005,3334.000,2002000.000
1982-02-03,6.045,5.985,6.105,6.005,2739.000,1656000.000
1982-02-04,6.005,5.945,6.085,6.045,2109.000,1269000.000
1982-02-05,6.143,6.082,6.204,6.102,1927.000,1184000.000
1982-02-08,5.980,5.898,6.061,5.918,2271.000,1358000.000
1982-02-09,5.939,5.898,5.959,5.918,3283.000,1946000.000
1982-02-10,5.980,5.898,6.041,6.000,4000.000,2388000.000
1982-02-11,5.980,5.918,6.021,5.939,2030.000,1212000.000
1982-02-12,5.898,5.878,5.918,5.878,1845.000,1088000.000
1982-02-16,5.796,5.735,5.837,5.817,4831.000,2795000.000
1982-02-17,5.776,5.714,5.817,5.714,4230.000,2439000.000
1982-02-18,5.755,5.714,5.776,5.714,2530.000,1453000.000
1982-02-19,5.653,5.551,5.755,5.612,4783.000,2704000.000
1982-02-22,5.653,5.572,5.735,5.572,4151.000,2347000.000
1982-02-23,5.633,5.551,5.694,5.694,2075.000,1167000.000
1982-02-24,5.857,5.674,6.041,6.041,6072.000,3557000.000
1982-02-25,6.041,5.959,6.123,5.980,4179.000,2525000.000
1982-02-26,6.021,5.939,6.082,6.041,2243.000,1348000.000
1982-03-01,6.245,6.061,6.429,6.408,4719.000,2947000.000
1982-03-02,6.347,6.266,6.429,6.286,5734.000,3639000.000
1982-03-03,6.306,6.184,6.408,6.388,6323.000,3981000.000
1982-03-04,6.470,6.347,6.572,6.490,7873.000,5085000.000
1982-03-05,6.551,6.449,6.653,6.510,6251.000,4095000.000
1982-03-08,6.449,6.306,6.592,6.388,3978.000,2565000.000
1982-03-09,6.388,6.266,6.510,6.429,5055.000,3229000.000
1982-03-10,6.408,6.327,6.490,6.327,2370.000,1519000.000
1982-03-11,6.367,6.306,6.429,6.327,2074.000,1321000.000
1982-03-12,6.286,6.204,6.367,6.245,3799.000,2388000.000
1982-03-15,6.266,6.204,6.327,6.327,1933.000,1211000.000
1982-03-16,6.367,6.286,6.429,6.286,2091.000,1329000.000
1982-03-17,6.286,6.245,6.327,6.266,1885.000,1185000.000
1982-03-18,6.306,6.286,6.327,6.327,2532.000,1597000.000
