9N1461,HD,HOME DEPOT INC,Daily
Date,Open,Low,High,Close,Volume,Amount
1984-08-20,0.347,0.320,0.347,0.336,7760.000,259000.000
1984-08-21,0.336,0.336,0.364,0.355,6428.000,225000.000
1984-08-22,0.361,0.361,0.377,0.369,5617.000,207000.000
1984-08-23,0.374,0.374,0.391,0.382,4378.000,167000.000
1984-08-24,0.382,0.364,0.382,0.364,2702.000,101000.000
1984-08-27,0.364,0.355,0.369,0.369,1514.000,55000.000
1984-08-28,0.369,0.342,0.369,0.353,3457.000,123000.000
1984-08-29,0.353,0.339,0.361,0.339,3701.000,130000.000
1984-08-30,0.339,0.317,0.345,0.331,3218.000,107000.000
1984-08-31,0.328,0.309,0.328,0.312,3304.000,105000.000
1984-09-04,0.315,0.315,0.334,0.334,2312.000,75000.000
1984-09-05,0.339,0.339,0.350,0.345,2067.000,71000.000
1984-09-06,0.347,0.347,0.358,0.350,2701.000,95000.000
1984-09-07,0.350,0.339,0.355,0.345,2150.000,75000.000
1984-09-10,0.342,0.334,0.342,0.336,467.000,16000.000
1984-09-11,0.336,0.336,0.347,0.336,843.000,29000.000
1984-09-12,0.336,0.317,0.336,0.317,1281.000,42000.000
1984-09-13,0.317,0.317,0.331,0.323,1594.000,52000.000
1984-09-14,0.328,0.328,0.342,0.334,1465.000,49000.000
1984-09-17,0.334,0.331,0.339,0.339,160.000,5000.000
1984-09-18,0.339,0.334,0.345,0.334,324.000,11000.000
1984-09-19,0.334,0.328,0.342,0.328,433.000,15000.000
1984-09-20,0.328,0.326,0.339,0.336,339.000,11000.000
1984-09-21,0.336,0.323,0.345,0.328,606.000,20000.000
1984-09-24,0.328,0.326,0.336,0.331,536.000,18000.000
1984-09-25,0.331,0.320,0.331,0.320,322.000,10000.000
1984-09-26,0.320,0.293,0.320,0.298,3967.000,122000.000
1984-09-27,0.298,0.279,0.298,0.285,1192.000,34000.000
1984-09-28,0.285,0.279,0.293,0.293,4921.000,141000.000
1984-10-01,0.293,0.285,0.296,0.296,1814.000,53000.000
1984-10-02,0.296,0.261,0.296,0.271,4206.000,117000.000
1984-10-03,0.271,0.266,0.290,0.282,3814.000,106000.000
1984-10-04,0.288,0.288,0.298,0.298,511.000,15000.000
1984-10-05,0.298,0.293,0.301,0.293,606.000,18000.000
1984-10-08,0.293,0.285,0.293,0.293,511.000,15000.000
1984-10-09,0.293,0.293,0.301,0.293,530.000,16000.000
1984-10-10,0.288,0.279,0.290,0.288,1337.000,38000.000
1984-10-11,0.279,0.277,0.282,0.282,1426.000,40000.000
1984-10-12,0.277,0.277,0.293,0.293,730.000,21000.000
1984-10-15,0.296,0.293,0.298,0.296,502.000,15000.000
1984-10-16,0.298,0.298,0.315,0.312,803.000,25000.000
1984-10-17,0.312,0.312,0.317,0.317,594.000,19000.000
1984-10-18,0.317,0.312,0.320,0.315,259.000,8000.000
1984-10-19,0.331,0.326,0.336,0.326,2500.000,83000.000
1984-10-22,0.328,0.326,0.336,0.331,461.000,15000.000
1984-10-23,0.331,0.328,0.331,0.328,664.000,22000.000
1984-10-24,0.331,0.323,0.331,0.323,818.000,27000.000
1984-10-25,0.317,0.312,0.323,0.315,1491.000,47000.000
1984-10-26,0.312,0.312,0.317,0.315,411.000,13000.000
1984-10-29,0.320,0.312,0.320,0.315,550.000,17000.000
1984-10-30,0.312,0.312,0.326,0.323,1140.000,36000.000
1984-10-31,0.323,0.298,0.323,0.301,860.000,27000.000
1984-11-01,0.301,0.274,0.301,0.279,2543.000,73000.000
1984-11-02,0.279,0.261,0.288,0.282,3632.000,100000.000
1984-11-05,0.282,0.277,0.288,0.288,2036.000,57000.000
1984-11-06,0.288,0.277,0.293,0.285,2008.000,57000.000
1984-11-07,0.285,0.285,0.301,0.288,1179.000,35000.000
1984-11-08,0.290,0.288,0.304,0.301,534.000,16000.000
1984-11-09,0.304,0.301,0.309,0.301,881.000,27000.000
1984-11-12,0.309,0.304,0.315,0.309,1640.000,51000.000
1984-11-13,0.315,0.315,0.331,0.326,2773.000,90000.000
1984-11-14,0.328,0.328,0.339,0.334,2133.000,71000.000
