9N1584,IBM,INTL BUSINESS MACH,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-19,14.294,14.232,14.387,14.263,3284.000,4699000.000
1981-06-22,14.294,14.294,14.449,14.418,3589.000,5158000.000
1981-06-23,14.418,14.418,14.790,14.728,5830.000,8514000.000
1981-06-24,14.728,14.542,14.759,14.759,4186.000,6133000.000
1981-06-25,14.759,14.573,14.914,14.635,4301.000,6341000.000
1981-06-26,14.635,14.542,14.790,14.573,4045.000,5932000.000
1981-06-29,14.573,14.294,14.666,14.356,2984.000,4321000.000
1981-06-30,14.356,14.201,14.387,14.356,2771.000,3961000.000
1981-07-01,14.356,14.076,14.356,14.108,3953.000,5620000.000
1981-07-02,14.108,13.983,14.201,14.108,4348.000,6127000.000
1981-07-06,14.108,13.983,14.170,14.139,3366.000,4738000.000
1981-07-07,14.139,13.983,14.232,14.139,6098.000,8603000.000
1981-07-08,14.139,13.983,14.170,14.045,3400.000,4786000.000
1981-07-09,14.045,13.983,14.108,14.045,3220.000,4523000.000
1981-07-10,14.014,13.953,14.014,13.983,3758.000,5255000.000
1981-07-13,13.953,13.828,13.953,13.859,4656.000,6467000.000
1981-07-14,13.859,13.797,14.108,14.108,5349.000,7463000.000
1981-07-15,14.108,13.983,14.108,14.045,5070.000,7121000.000
1981-07-16,14.045,13.922,14.108,14.045,3357.000,4705000.000
1981-07-17,14.045,13.922,14.045,13.922,2692.000,3764000.000
1981-07-20,13.859,13.705,13.859,13.736,4474.000,6166000.000
1981-07-21,13.736,13.674,13.797,13.767,3858.000,5299000.000
1981-07-22,13.767,13.674,13.859,13.674,3478.000,4788000.000
1981-07-23,13.674,13.580,13.705,13.611,4357.000,5944000.000
1981-07-24,13.611,13.550,13.674,13.642,3094.000,4211000.000
1981-07-27,13.642,13.611,13.797,13.797,3318.000,4547000.000
1981-07-28,13.767,13.642,13.767,13.736,2491.000,3414000.000
1981-07-29,13.736,13.705,13.828,13.736,2340.000,3221000.000
1981-07-30,13.736,13.705,14.045,13.983,3805.000,5279000.000
1981-07-31,13.983,13.891,14.045,13.922,2690.000,3757000.000
1981-08-03,13.922,13.922,14.076,14.014,2907.000,4070000.000
1981-08-04,14.014,13.953,14.449,14.449,4954.000,7035000.000
1981-08-05,14.449,14.387,14.573,14.480,5581.000,8081000.000
1981-08-06,14.263,14.108,14.263,14.108,3042.000,4315000.000
1981-08-07,14.108,14.077,14.201,14.139,3385.000,4786000.000
1981-08-10,14.139,14.077,14.418,14.356,4211.000,6000000.000
1981-08-11,14.356,14.356,14.604,14.573,5465.000,7913000.000
1981-08-12,14.573,14.356,14.573,14.356,3929.000,5683000.000
1981-08-13,14.418,14.418,14.542,14.449,3365.000,4872000.000
1981-08-14,14.449,14.387,14.573,14.387,3521.000,5098000.000
1981-08-17,14.387,14.077,14.449,14.077,2275.000,3245000.000
1981-08-18,14.077,13.953,14.170,14.046,4823.000,6782000.000
1981-08-19,14.046,14.046,14.201,14.139,3513.000,4961000.000
1981-08-20,14.139,14.139,14.263,14.201,4282.000,6081000.000
1981-08-21,14.201,14.077,14.232,14.108,2036.000,2882000.000
1981-08-24,14.046,13.798,14.046,13.860,4141.000,5765000.000
1981-08-25,13.860,13.674,14.046,13.860,5456.000,7562000.000
1981-08-26,13.860,13.736,13.922,13.767,3242.000,4483000.000
1981-08-27,13.767,13.643,13.984,13.705,4567.000,6308000.000
1981-08-28,13.736,13.736,13.922,13.860,4795.000,6631000.000
1981-08-31,13.860,13.643,13.984,13.674,3777.000,5217000.000
1981-09-01,13.674,13.643,13.922,13.891,5566.000,7671000.000
1981-09-02,13.891,13.798,13.953,13.829,3872.000,5372000.000
1981-09-03,13.829,13.519,13.922,13.550,4378.000,6007000.000
1981-09-04,13.550,13.395,13.612,13.395,4782.000,6457000.000
1981-09-08,13.395,13.240,13.426,13.395,5560.000,7413000.000
1981-09-09,13.395,13.302,13.519,13.426,3899.000,5229000.000
1981-09-10,13.426,13.426,13.643,13.581,4390.000,5941000.000
1981-09-11,13.581,13.581,13.922,13.829,5480.000,7536000.000
1981-09-14,13.829,13.643,14.077,13.860,3873.000,5368000.000
1981-09-15,13.860,13.767,14.015,13.767,3966.000,5509000.000
1981-09-16,13.736,13.519,13.736,13.612,3725.000,5076000.000
1981-09-17,13.612,13.271,13.674,13.426,5516.000,7431000.000
1981-09-18,13.426,13.364,13.519,13.395,3461.000,4652000.000
1981-09-21,13.395,13.333,13.674,13.612,4825.000,6515000.000
1981-09-22,13.612,13.426,13.643,13.488,4273.000,5783000.000
1981-09-23,13.488,13.240,13.550,13.519,3898.000,5221000.000
1981-09-24,13.519,13.457,13.705,13.550,4976.000,6758000.000
1981-09-25,13.457,13.209,13.457,13.302,5242.000,6989000.000
1981-09-28,13.302,12.960,13.643,13.612,8200.000,10907000.000
1981-09-29,13.612,13.178,13.612,13.209,5331.000,7141000.000
1981-09-30,13.209,13.178,13.519,13.426,5299.000,7073000.000
1981-10-01,13.426,13.333,13.488,13.395,4619.000,6194000.000
1981-10-02,13.457,13.457,13.674,13.643,6302.000,8549000.000
1981-10-05,13.643,13.581,13.767,13.674,5847.000,7995000.000
1981-10-06,13.674,13.457,13.674,13.457,4027.000,5463000.000
1981-10-07,13.457,13.426,13.643,13.643,3951.000,5347000.000
1981-10-08,13.643,13.519,13.767,13.767,5186.000,7075000.000
1981-10-09,13.767,13.674,13.953,13.860,9798.000,13534000.000
1981-10-12,13.860,13.674,13.891,13.767,5361.000,7389000.000
