9Q1651,INTC,INTEL CP,Daily
Date,Open,Low,High,Close,Volume,Amount
1986-07-09,0.445,0.435,0.450,0.445,5760.000,255000.000
1986-07-10,0.450,0.432,0.450,0.435,13300.000,587000.000
1986-07-11,0.430,0.388,0.435,0.399,33000.000,1358000.000
1986-07-14,0.404,0.394,0.404,0.399,5943.000,237000.000
1986-07-15,0.404,0.388,0.409,0.394,7638.000,304000.000
1986-07-16,0.399,0.378,0.399,0.380,8359.000,325000.000
1986-07-17,0.383,0.373,0.388,0.388,8554.000,325000.000
1986-07-18,0.388,0.362,0.388,0.362,7914.000,297000.000
1986-07-21,0.368,0.362,0.373,0.362,4074.000,150000.000
1986-07-22,0.357,0.357,0.378,0.378,4554.000,167000.000
1986-07-23,0.378,0.373,0.388,0.373,10200.000,388000.000
1986-07-24,0.378,0.368,0.383,0.383,11300.000,424000.000
1986-07-25,0.378,0.378,0.409,0.409,5190.000,204000.000
1986-07-28,0.409,0.388,0.414,0.394,5567.000,223000.000
1986-07-29,0.394,0.383,0.394,0.388,3699.000,144000.000
1986-07-30,0.383,0.378,0.399,0.399,7786.000,302000.000
1986-07-31,0.399,0.378,0.414,0.378,10700.000,424000.000
1986-08-01,0.388,0.373,0.394,0.378,8466.000,324000.000
1986-08-04,0.373,0.357,0.378,0.373,5916.000,217000.000
1986-08-05,0.362,0.342,0.368,0.344,7255.000,257000.000
1986-08-06,0.347,0.339,0.357,0.352,7357.000,256000.000
1986-08-07,0.352,0.352,0.373,0.362,5906.000,214000.000
1986-08-08,0.368,0.362,0.399,0.394,12400.000,472000.000
1986-08-11,0.399,0.394,0.414,0.404,6768.000,273000.000
1986-08-12,0.409,0.401,0.430,0.424,11500.000,478000.000
1986-08-13,0.430,0.409,0.440,0.414,7146.000,303000.000
1986-08-14,0.414,0.409,0.419,0.409,3058.000,127000.000
1986-08-15,0.414,0.406,0.414,0.409,2955.000,121000.000
1986-08-18,0.414,0.404,0.414,0.409,1597.000,65000.000
1986-08-19,0.409,0.404,0.424,0.419,3403.000,141000.000
1986-08-20,0.419,0.419,0.445,0.440,3630.000,157000.000
1986-08-21,0.445,0.440,0.450,0.445,7026.000,313000.000
1986-08-22,0.445,0.440,0.471,0.466,5507.000,251000.000
1986-08-25,0.466,0.450,0.471,0.450,4492.000,207000.000
1986-08-26,0.450,0.450,0.466,0.466,3903.000,179000.000
1986-08-27,0.466,0.456,0.471,0.466,4833.000,224000.000
1986-08-28,0.461,0.461,0.471,0.461,3950.000,184000.000
1986-08-29,0.461,0.461,0.502,0.476,9159.000,441000.000
1986-09-02,0.476,0.445,0.481,0.450,7326.000,339000.000
1986-09-03,0.445,0.440,0.456,0.456,7462.000,334000.000
1986-09-04,0.456,0.456,0.481,0.471,8149.000,382000.000
1986-09-05,0.471,0.456,0.481,0.466,6904.000,323000.000
1986-09-08,0.466,0.456,0.466,0.461,4068.000,187000.000
1986-09-09,0.461,0.450,0.471,0.450,8458.000,390000.000
1986-09-10,0.445,0.430,0.456,0.450,6754.000,299000.000
1986-09-11,0.445,0.424,0.450,0.424,9506.000,416000.000
1986-09-12,0.424,0.414,0.430,0.414,9444.000,398000.000
1986-09-15,0.419,0.388,0.430,0.399,6180.000,253000.000
1986-09-16,0.404,0.394,0.419,0.414,4112.000,167000.000
1986-09-17,0.414,0.404,0.430,0.424,3903.000,163000.000
1986-09-18,0.419,0.419,0.450,0.440,5842.000,254000.000
1986-09-19,0.440,0.414,0.440,0.424,5368.000,229000.000
1986-09-22,0.430,0.414,0.440,0.435,2506.000,107000.000
1986-09-23,0.445,0.419,0.456,0.427,11000.000,481000.000
1986-09-24,0.430,0.404,0.435,0.414,9180.000,385000.000
1986-09-25,0.414,0.388,0.414,0.399,6024.000,242000.000
1986-09-26,0.399,0.388,0.409,0.404,6862.000,274000.000
1986-09-29,0.399,0.388,0.404,0.399,6986.000,277000.000
1986-09-30,0.399,0.394,0.409,0.404,4714.000,189000.000
1986-10-01,0.409,0.399,0.414,0.406,5589.000,227000.000
1986-10-02,0.404,0.373,0.409,0.388,8175.000,320000.000
1986-10-03,0.394,0.378,0.409,0.409,51.000,2000.000
1986-10-06,0.414,0.404,0.419,0.409,10000.000,412000.000
1986-10-07,0.404,0.388,0.409,0.391,6544.000,261000.000
1986-10-08,0.394,0.373,0.394,0.383,8718.000,334000.000
1986-10-09,0.383,0.373,0.394,0.388,11300.000,433000.000
1986-10-10,0.388,0.383,0.409,0.404,17400.000,689000.000
1986-10-13,0.399,0.399,0.409,0.409,1620.000,65000.000
1986-10-14,0.414,0.404,0.424,0.409,3231.000,134000.000
1986-10-15,0.409,0.394,0.409,0.399,7804.000,313000.000
1986-10-16,0.404,0.399,0.404,0.399,2587.000,104000.000
1986-10-17,0.399,0.394,0.404,0.399,3795.000,151000.000
1986-10-20,0.399,0.383,0.399,0.388,2659.000,104000.000
1986-10-21,0.394,0.383,0.399,0.394,5645.000,221000.000
1986-10-22,0.394,0.394,0.404,0.399,3186.000,127000.000
1986-10-23,0.394,0.394,0.430,0.419,11900.000,490000.000
1986-10-24,0.424,0.419,0.435,0.430,8419.000,360000.000
1986-10-27,0.430,0.430,0.445,0.435,6992.000,306000.000
1986-10-28,0.430,0.414,0.435,0.414,4597.000,195000.000
1986-10-29,0.414,0.409,0.427,0.419,3502.000,146000.000
1986-10-30,0.424,0.414,0.435,0.424,6253.000,265000.000
1986-10-31,0.419,0.414,0.424,0.419,8084.000,339000.000
1986-11-03,0.417,0.414,0.424,0.419,3332.000,140000.000
1986-11-04,0.414,0.414,0.445,0.445,8848.000,380000.000
1986-11-05,0.445,0.435,0.453,0.440,9284.000,412000.000
1986-11-06,0.440,0.430,0.445,0.445,7616.000,333000.000
1986-11-07,0.445,0.440,0.450,0.440,3823.000,170000.000
1986-11-10,0.440,0.424,0.445,0.432,4083.000,178000.000
1986-11-11,0.440,0.419,0.440,0.430,2870.000,123000.000
1986-11-12,0.430,0.419,0.430,0.419,2363.000,100000.000
1986-11-13,0.424,0.414,0.430,0.414,2762.000,117000.000
1986-11-14,0.414,0.414,0.424,0.419,1785.000,75000.000
1986-11-17,0.419,0.404,0.430,0.424,3467.000,144000.000
1986-11-18,0.424,0.409,0.430,0.414,3389.000,142000.000
1986-11-19,0.409,0.409,0.424,0.414,5746.000,239000.000
1986-11-20,0.414,0.414,0.430,0.424,2544.000,107000.000
1986-11-21,0.419,0.414,0.435,0.435,6052.000,257000.000
1986-11-24,0.430,0.430,0.445,0.445,10300.000,451000.000
1986-11-25,0.440,0.440,0.461,0.461,5777.000,260000.000
1986-11-26,0.461,0.456,0.466,0.466,5259.000,242000.000
1986-11-28,0.466,0.461,0.476,0.476,3429.000,161000.000
1986-12-01,0.466,0.456,0.487,0.487,7435.000,350000.000
1986-12-02,0.487,0.471,0.492,0.481,14700.000,708000.000
1986-12-03,0.481,0.476,0.487,0.476,6878.000,331000.000
1986-12-04,0.476,0.466,0.481,0.468,7315.000,347000.000
1986-12-05,0.466,0.456,0.471,0.456,4317.000,200000.000
1986-12-08,0.461,0.445,0.461,0.461,4762.000,216000.000
1986-12-09,0.461,0.456,0.471,0.456,5786.000,268000.000
1986-12-10,0.466,0.456,0.466,0.461,3824.000,176000.000
1986-12-11,0.466,0.461,0.476,0.466,10900.000,511000.000
1986-12-12,0.471,0.461,0.471,0.466,5208.000,243000.000
1986-12-15,0.461,0.461,0.471,0.466,4119.000,192000.000
1986-12-16,0.471,0.466,0.471,0.471,9664.000,453000.000
1986-12-17,0.466,0.466,0.481,0.471,5813.000,275000.000
1986-12-18,0.471,0.466,0.476,0.471,3673.000,173000.000
1986-12-19,0.471,0.466,0.481,0.471,10100.000,478000.000
1986-12-22,0.466,0.466,0.476,0.471,5367.000,253000.000
