9N1647,IP,INTL PAPER,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-22,6.210,6.178,6.275,6.243,252.000,157000.000
1981-06-23,6.243,6.226,6.405,6.405,485.000,306000.000
1981-06-24,6.405,6.308,6.438,6.308,253.000,161000.000
1981-06-25,6.308,6.308,6.373,6.324,181.000,115000.000
1981-06-26,6.308,6.243,6.308,6.259,205.000,129000.000
1981-06-29,6.259,6.129,6.259,6.145,181.000,112000.000
1981-06-30,6.145,5.950,6.161,5.950,492.000,298000.000
1981-07-01,5.950,5.885,5.966,5.950,518.000,307000.000
1981-07-02,5.950,5.836,6.031,5.836,917.000,544000.000
1981-07-06,5.820,5.722,5.820,5.771,603.000,348000.000
1981-07-07,5.804,5.804,5.869,5.852,447.000,261000.000
1981-07-08,5.852,5.852,5.901,5.852,346.000,203000.000
1981-07-09,5.852,5.836,5.885,5.852,126.000,74000.000
1981-07-10,5.852,5.804,5.869,5.820,514.000,300000.000
1981-07-13,5.820,5.787,5.836,5.804,394.000,229000.000
1981-07-14,5.787,5.674,5.787,5.674,1363.000,781000.000
1981-07-15,6.064,6.064,6.275,6.275,1325.000,817000.000
1981-07-16,6.275,6.064,6.373,6.373,2237.000,1391000.000
1981-07-17,6.373,6.259,6.373,6.308,714.000,451000.000
1981-07-20,6.145,5.983,6.145,5.983,1220.000,740000.000
1981-07-21,5.983,5.820,5.999,5.918,1805.000,1067000.000
1981-07-22,5.918,5.918,5.983,5.918,562.000,334000.000
1981-07-23,5.918,5.918,5.999,5.999,789.000,470000.000
1981-07-24,5.999,5.983,6.243,6.226,559.000,342000.000
1981-07-27,6.226,6.226,6.340,6.275,753.000,473000.000
1981-07-28,6.275,6.145,6.291,6.178,1101.000,685000.000
1981-07-29,6.178,6.080,6.178,6.080,181.000,111000.000
1981-07-30,6.080,5.983,6.113,6.113,2086.000,1262000.000
1981-07-31,6.129,6.129,6.210,6.194,469.000,289000.000
1981-08-03,6.194,6.113,6.226,6.129,525.000,324000.000
1981-08-04,6.113,6.031,6.113,6.048,516.000,313000.000
1981-08-05,6.048,5.999,6.080,6.064,238.000,144000.000
1981-08-06,6.064,6.048,6.178,6.178,650.000,397000.000
1981-08-07,6.178,6.178,6.259,6.259,468.000,291000.000
1981-08-10,6.259,6.178,6.291,6.210,758.000,473000.000
1981-08-11,6.210,6.096,6.210,6.194,726.000,447000.000
1981-08-12,6.194,6.194,6.259,6.210,925.000,576000.000
1981-08-13,6.210,6.178,6.259,6.226,648.000,403000.000
1981-08-14,6.226,6.129,6.259,6.178,922.000,571000.000
1981-08-17,6.207,6.076,6.207,6.076,529.000,325000.000
1981-08-18,6.076,5.993,6.108,6.026,645.000,390000.000
1981-08-19,6.026,6.010,6.125,6.092,511.000,310000.000
1981-08-20,6.092,6.076,6.224,6.158,1390.000,855000.000
1981-08-21,6.158,6.125,6.191,6.158,289.000,178000.000
1981-08-24,6.158,6.026,6.158,6.026,899.000,548000.000
1981-08-25,6.026,5.993,6.059,6.059,1185.000,714000.000
1981-08-26,6.059,5.944,6.108,5.944,1810.000,1091000.000
1981-08-27,5.927,5.796,5.927,5.861,762.000,447000.000
1981-08-28,5.861,5.796,5.878,5.828,1163.000,679000.000
1981-08-31,5.828,5.713,5.911,5.713,708.000,411000.000
1981-09-01,5.713,5.664,5.746,5.680,901.000,514000.000
1981-09-02,5.680,5.664,5.746,5.680,299.000,171000.000
1981-09-03,5.680,5.565,5.680,5.598,461.000,259000.000
1981-09-04,5.598,5.466,5.598,5.565,608.000,336000.000
1981-09-08,5.565,5.499,5.582,5.582,492.000,273000.000
1981-09-09,5.582,5.565,5.697,5.664,336.000,189000.000
1981-09-10,5.664,5.631,5.796,5.779,1179.000,674000.000
1981-09-11,5.779,5.746,5.812,5.812,628.000,363000.000
1981-09-14,5.779,5.647,5.779,5.647,857.000,490000.000
1981-09-15,5.631,5.532,5.631,5.549,616.000,344000.000
1981-09-16,5.499,5.433,5.499,5.499,742.000,406000.000
1981-09-17,5.499,5.269,5.532,5.269,640.000,346000.000
1981-09-18,5.269,5.252,5.384,5.367,368.000,196000.000
1981-09-21,5.367,5.302,5.384,5.335,585.000,313000.000
1981-09-22,5.335,5.318,5.400,5.335,2081.000,1115000.000
1981-09-23,5.335,5.203,5.335,5.236,773.000,407000.000
1981-09-24,5.236,5.219,5.318,5.236,1430.000,753000.000
1981-09-25,5.203,5.038,5.203,5.088,580.000,297000.000
1981-09-28,5.088,4.939,5.137,5.137,1118.000,563000.000
1981-09-29,5.137,5.137,5.269,5.219,427.000,222000.000
1981-09-30,5.219,5.104,5.252,5.219,531.000,275000.000
