9N1715,JNJ,JOHNSON AND JOHNS DC,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-18,1.497,1.497,1.518,1.497,1703.000,257000.000
1981-06-19,1.497,1.492,1.528,1.523,1298.000,196000.000
1981-06-22,1.523,1.513,1.580,1.554,1208.000,187000.000
1981-06-23,1.554,1.544,1.590,1.590,1455.000,228000.000
1981-06-24,1.590,1.559,1.590,1.564,1289.000,203000.000
1981-06-25,1.564,1.538,1.564,1.544,1483.000,230000.000
1981-06-26,1.528,1.487,1.528,1.497,3762.000,567000.000
1981-06-29,1.492,1.435,1.492,1.461,1976.000,289000.000
1981-06-30,1.451,1.425,1.451,1.446,1596.000,229000.000
1981-07-01,1.446,1.415,1.451,1.430,1988.000,285000.000
1981-07-02,1.425,1.368,1.425,1.394,1105.000,154000.000
1981-07-06,1.384,1.342,1.384,1.368,1435.000,196000.000
1981-07-07,1.368,1.363,1.394,1.394,1225.000,169000.000
1981-07-08,1.394,1.363,1.409,1.384,776.000,108000.000
1981-07-09,1.384,1.363,1.384,1.363,909.000,125000.000
1981-07-10,1.363,1.337,1.373,1.342,961.000,130000.000
1981-07-13,1.342,1.332,1.363,1.347,778.000,105000.000
1981-07-14,1.347,1.322,1.358,1.332,3003.000,402000.000
1981-07-15,1.332,1.332,1.368,1.332,1625.000,219000.000
1981-07-16,1.347,1.347,1.358,1.358,1387.000,188000.000
1981-07-17,1.358,1.353,1.378,1.373,1450.000,198000.000
1981-07-20,1.373,1.332,1.373,1.337,1004.000,136000.000
1981-07-21,1.337,1.275,1.337,1.306,1753.000,229000.000
1981-07-22,1.306,1.244,1.316,1.249,1656.000,212000.000
1981-07-23,1.265,1.265,1.311,1.306,1015.000,131000.000
1981-07-24,1.306,1.296,1.342,1.342,629.000,83000.000
1981-07-27,1.347,1.347,1.384,1.373,1109.000,151000.000
1981-07-28,1.373,1.353,1.378,1.353,1111.000,152000.000
1981-07-29,1.353,1.337,1.378,1.347,1048.000,142000.000
1981-07-30,1.347,1.332,1.378,1.363,1003.000,136000.000
1981-07-31,1.363,1.363,1.394,1.389,1386.000,191000.000
1981-08-03,1.389,1.384,1.409,1.384,477.000,67000.000
1981-08-04,1.384,1.363,1.394,1.373,620.000,85000.000
1981-08-05,1.373,1.368,1.384,1.368,589.000,81000.000
1981-08-06,1.368,1.353,1.368,1.363,1652.000,225000.000
1981-08-07,1.358,1.322,1.358,1.358,489.000,66000.000
1981-08-10,1.353,1.337,1.353,1.353,838.000,113000.000
1981-08-11,1.347,1.327,1.347,1.347,1511.000,202000.000
1981-08-12,1.347,1.332,1.358,1.337,765.000,103000.000
1981-08-13,1.337,1.311,1.342,1.316,1321.000,175000.000
1981-08-14,1.316,1.301,1.316,1.311,1206.000,158000.000
1981-08-17,1.310,1.274,1.310,1.279,1187.000,153000.000
1981-08-18,1.279,1.279,1.294,1.289,1194.000,154000.000
1981-08-19,1.289,1.279,1.331,1.321,1079.000,141000.000
1981-08-20,1.326,1.326,1.383,1.341,1042.000,141000.000
1981-08-21,1.315,1.279,1.315,1.305,4402.000,571000.000
1981-08-24,1.289,1.258,1.289,1.268,2005.000,255000.000
1981-08-25,1.268,1.248,1.300,1.294,2799.000,357000.000
1981-08-26,1.294,1.284,1.310,1.294,2405.000,312000.000
1981-08-27,1.294,1.253,1.300,1.258,2122.000,271000.000
1981-08-28,1.258,1.248,1.268,1.248,2204.000,277000.000
1981-08-31,1.248,1.237,1.268,1.242,2222.000,278000.000
1981-09-01,1.242,1.217,1.248,1.232,2262.000,279000.000
1981-09-02,1.232,1.232,1.268,1.253,3026.000,378000.000
1981-09-03,1.253,1.217,1.263,1.227,1313.000,163000.000
1981-09-04,1.222,1.201,1.222,1.206,1007.000,122000.000
1981-09-08,1.196,1.175,1.196,1.185,1534.000,182000.000
1981-09-09,1.206,1.206,1.237,1.206,1728.000,211000.000
1981-09-10,1.217,1.217,1.258,1.248,1548.000,192000.000
1981-09-11,1.263,1.263,1.321,1.305,1958.000,253000.000
1981-09-14,1.305,1.289,1.305,1.294,589.000,76000.000
