9N1720,JPM,JP MORGAN CHASE CO,Daily
Date,Open,Low,High,Close,Volume,Amount
1983-12-30,4.046,4.000,4.092,4.046,470.000,190000.000
1984-01-03,4.040,4.011,4.069,4.046,857.000,346000.000
1984-01-04,4.123,4.069,4.218,4.218,650.000,269000.000
1984-01-05,4.304,4.253,4.356,4.356,765.000,329000.000
1984-01-06,4.310,4.264,4.356,4.310,432.000,186000.000
1984-01-09,4.321,4.287,4.356,4.321,481.000,208000.000
1984-01-10,4.385,4.333,4.436,4.402,318.000,139000.000
1984-01-11,4.402,4.356,4.505,4.494,884.000,392000.000
1984-01-12,4.494,4.471,4.563,4.540,662.000,299000.000
1984-01-13,4.586,4.551,4.620,4.563,1314.000,603000.000
1984-01-16,4.540,4.517,4.563,4.517,231.000,105000.000
1984-01-17,4.517,4.413,4.517,4.436,298.000,133000.000
1984-01-18,4.500,4.448,4.551,4.540,3006.000,1353000.000
1984-01-19,4.540,4.517,4.563,4.540,545.000,247000.000
1984-01-20,4.540,4.482,4.540,4.505,374.000,169000.000
1984-01-23,4.546,4.517,4.574,4.563,547.000,249000.000
1984-01-24,4.592,4.563,4.620,4.620,650.000,298000.000
1984-01-25,4.683,4.655,4.712,4.666,540.000,253000.000
1984-01-26,4.666,4.609,4.678,4.620,472.000,219000.000
1984-01-27,4.620,4.563,4.620,4.597,407.000,187000.000
1984-01-30,4.574,4.563,4.586,4.574,222.000,102000.000
1984-01-31,4.574,4.574,4.712,4.643,783.000,364000.000
1984-02-01,4.643,4.563,4.689,4.574,501.000,232000.000
1984-02-02,4.574,4.540,4.586,4.540,513.000,234000.000
1984-02-03,4.597,4.551,4.643,4.574,711.000,327000.000
1984-02-06,4.500,4.436,4.563,4.471,150.000,67000.000
1984-02-07,4.413,4.379,4.448,4.413,472.000,208000.000
1984-02-08,4.413,4.379,4.494,4.436,878.000,390000.000
1984-02-09,4.436,4.390,4.459,4.413,437.000,193000.000
1984-02-10,4.413,4.413,4.471,4.471,517.000,230000.000
1984-02-13,4.471,4.459,4.505,4.459,720.000,323000.000
1984-02-14,4.459,4.448,4.551,4.551,300.000,135000.000
1984-02-15,4.551,4.528,4.643,4.620,1208.000,554000.000
1984-02-16,4.620,4.597,4.724,4.689,805.000,375000.000
1984-02-17,4.689,4.609,4.701,4.609,1454.000,677000.000
1984-02-21,4.609,4.563,4.632,4.563,240.000,110000.000
1984-02-22,4.563,4.436,4.586,4.436,439.000,198000.000
1984-02-23,4.436,4.333,4.448,4.390,1036.000,455000.000
1984-02-24,4.390,4.367,4.436,4.413,148.000,65000.000
1984-02-27,4.413,4.333,4.471,4.471,1363.000,600000.000
1984-02-28,4.431,4.379,4.459,4.413,654.000,289000.000
1984-02-29,4.413,4.402,4.494,4.436,467.000,208000.000
1984-03-01,4.390,4.367,4.413,4.390,608.000,267000.000
1984-03-02,4.390,4.390,4.551,4.505,457.000,204000.000
1984-03-05,4.505,4.413,4.528,4.436,1184.000,529000.000
1984-03-06,4.436,4.390,4.459,4.390,485.000,215000.000
1984-03-07,4.390,4.321,4.390,4.321,335.000,146000.000
1984-03-08,4.321,4.321,4.390,4.390,269.000,117000.000
1984-03-09,4.380,4.356,4.403,4.356,849.000,372000.000
1984-03-12,4.356,4.239,4.391,4.239,950.000,410000.000
1984-03-13,4.292,4.251,4.333,4.321,623.000,267000.000
1984-03-14,4.268,4.227,4.309,4.262,729.000,311000.000
1984-03-15,4.262,4.239,4.321,4.309,797.000,341000.000
1984-03-16,4.450,4.403,4.497,4.438,513.000,228000.000
1984-03-19,4.374,4.321,4.426,4.368,436.000,191000.000
1984-03-20,4.403,4.356,4.450,4.450,506.000,223000.000
1984-03-21,4.450,4.450,4.497,4.497,201.000,90000.000
1984-03-22,4.497,4.450,4.532,4.450,279.000,125000.000
1984-03-23,4.450,4.415,4.485,4.415,114.000,51000.000
