9N1969,MCD,MCDONALDS CP,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-22,1.629,1.626,1.654,1.629,880.000,144000.000
1981-06-23,1.629,1.623,1.660,1.651,788.000,129000.000
1981-06-24,1.651,1.635,1.660,1.645,1091.000,180000.000
1981-06-25,1.645,1.626,1.648,1.626,531.000,87000.000
1981-06-26,1.626,1.617,1.635,1.623,465.000,76000.000
1981-06-29,1.620,1.602,1.620,1.605,517.000,83000.000
1981-06-30,1.605,1.556,1.605,1.575,829.000,131000.000
1981-07-01,1.575,1.559,1.581,1.566,621.000,98000.000
1981-07-02,1.566,1.520,1.566,1.529,833.000,129000.000
1981-07-06,1.529,1.514,1.538,1.538,510.000,78000.000
1981-07-07,1.538,1.526,1.556,1.532,878.000,135000.000
1981-07-08,1.532,1.484,1.541,1.499,525.000,79000.000
1981-07-09,1.499,1.484,1.502,1.490,738.000,110000.000
1981-07-10,1.490,1.459,1.496,1.471,1195.000,177000.000
1981-07-13,1.474,1.474,1.490,1.490,509.000,75000.000
1981-07-14,1.496,1.496,1.520,1.520,291.000,44000.000
1981-07-15,1.526,1.526,1.550,1.535,187.000,29000.000
1981-07-16,1.538,1.538,1.556,1.556,706.000,109000.000
1981-07-17,1.556,1.553,1.581,1.575,258.000,40000.000
1981-07-20,1.566,1.544,1.566,1.550,540.000,84000.000
1981-07-21,1.544,1.514,1.544,1.520,1813.000,277000.000
1981-07-22,1.520,1.477,1.520,1.477,166.000,25000.000
1981-07-23,1.480,1.480,1.520,1.517,442.000,66000.000
1981-07-24,1.517,1.511,1.526,1.517,317.000,48000.000
1981-07-27,1.523,1.523,1.550,1.532,584.000,90000.000
1981-07-28,1.532,1.471,1.538,1.477,795.000,120000.000
1981-07-29,1.477,1.462,1.484,1.462,368.000,54000.000
1981-07-30,1.462,1.444,1.490,1.490,626.000,92000.000
1981-07-31,1.490,1.487,1.502,1.487,296.000,44000.000
1981-08-03,1.490,1.490,1.523,1.523,267.000,40000.000
1981-08-04,1.523,1.502,1.526,1.514,198.000,30000.000
1981-08-05,1.520,1.520,1.544,1.538,780.000,120000.000
1981-08-06,1.538,1.526,1.544,1.529,779.000,120000.000
1981-08-07,1.529,1.523,1.532,1.523,288.000,44000.000
1981-08-10,1.523,1.517,1.529,1.529,781.000,119000.000
1981-08-11,1.532,1.532,1.563,1.556,791.000,122000.000
1981-08-12,1.556,1.553,1.572,1.553,173.000,27000.000
1981-08-13,1.556,1.556,1.566,1.563,623.000,97000.000
1981-08-14,1.563,1.535,1.563,1.535,1352.000,209000.000
1981-08-17,1.535,1.514,1.538,1.514,130.000,20000.000
1981-08-18,1.514,1.480,1.517,1.487,443.000,66000.000
1981-08-19,1.487,1.477,1.502,1.487,690.000,103000.000
1981-08-20,1.487,1.477,1.493,1.480,481.000,71000.000
1981-08-21,1.480,1.453,1.484,1.453,628.000,92000.000
1981-08-24,1.447,1.417,1.447,1.420,1078.000,154000.000
1981-08-25,1.420,1.392,1.438,1.438,1313.000,186000.000
1981-08-26,1.438,1.420,1.444,1.429,575.000,82000.000
1981-08-27,1.429,1.398,1.435,1.401,1319.000,187000.000
1981-08-28,1.401,1.398,1.426,1.411,742.000,105000.000
1981-08-31,1.389,1.389,1.423,1.395,993.000,140000.000
1981-09-01,1.395,1.389,1.432,1.420,885.000,125000.000
1981-09-02,1.423,1.423,1.432,1.426,617.000,88000.000
1981-09-03,1.426,1.414,1.441,1.417,1479.000,211000.000
1981-09-04,1.417,1.401,1.420,1.408,678.000,96000.000
1981-09-08,1.408,1.380,1.411,1.398,1183.000,165000.000
1981-09-09,1.398,1.383,1.405,1.392,1269.000,177000.000
1981-09-10,1.398,1.398,1.417,1.414,1170.000,165000.000
1981-09-11,1.426,1.426,1.465,1.459,1673.000,242000.000
1981-09-14,1.459,1.456,1.490,1.474,2520.000,371000.000
1981-09-15,1.474,1.474,1.484,1.474,1422.000,210000.000
1981-09-16,1.471,1.456,1.471,1.462,1362.000,199000.000
1981-09-17,1.462,1.441,1.474,1.441,1274.000,186000.000
1981-09-18,1.441,1.438,1.459,1.447,1667.000,241000.000
1981-09-21,1.447,1.447,1.496,1.493,2128.000,313000.000
1981-09-22,1.493,1.459,1.493,1.462,2104.000,311000.000
1981-09-23,1.459,1.438,1.459,1.453,1723.000,250000.000
1981-09-24,1.453,1.429,1.456,1.432,1768.000,255000.000
1981-09-25,1.429,1.398,1.429,1.414,1473.000,208000.000
1981-09-28,1.414,1.395,1.508,1.505,2626.000,381000.000
1981-09-29,1.505,1.502,1.523,1.514,1917.000,290000.000
1981-09-30,1.511,1.499,1.511,1.508,1187.000,179000.000
1981-10-01,1.496,1.471,1.496,1.496,960.000,142000.000
1981-10-02,1.496,1.490,1.526,1.520,1028.000,155000.000
1981-10-05,1.532,1.532,1.550,1.538,2265.000,349000.000
1981-10-06,1.538,1.535,1.563,1.547,1979.000,307000.000
1981-10-07,1.550,1.550,1.614,1.608,2199.000,348000.000
1981-10-08,1.608,1.590,1.620,1.602,2434.000,391000.000
1981-10-09,1.602,1.581,1.602,1.587,420.000,67000.000
1981-10-12,1.587,1.587,1.596,1.596,557.000,89000.000
1981-10-13,1.596,1.593,1.617,1.608,748.000,120000.000
1981-10-14,1.605,1.547,1.605,1.556,3275.000,516000.000
1981-10-15,1.556,1.547,1.587,1.581,1413.000,221000.000
1981-10-16,1.584,1.584,1.593,1.593,910.000,145000.000
1981-10-19,1.593,1.587,1.651,1.651,1100.000,178000.000
1981-10-20,1.651,1.648,1.702,1.669,2865.000,480000.000
1981-10-21,1.669,1.639,1.684,1.642,917.000,152000.000
1981-10-22,1.642,1.611,1.645,1.620,1216.000,198000.000
1981-10-23,1.617,1.587,1.617,1.602,868.000,139000.000
1981-10-26,1.602,1.593,1.642,1.635,1114.000,180000.000
1981-10-27,1.639,1.639,1.657,1.648,1973.000,325000.000
1981-10-28,1.648,1.639,1.657,1.639,1718.000,283000.000
1981-10-29,1.639,1.635,1.651,1.648,923.000,152000.000
1981-10-30,1.657,1.657,1.702,1.702,1495.000,251000.000
1981-11-02,1.718,1.718,1.769,1.769,4074.000,710000.000
1981-11-03,1.769,1.739,1.772,1.757,2828.000,496000.000
1981-11-04,1.757,1.721,1.760,1.730,1962.000,341000.000
1981-11-05,1.727,1.648,1.727,1.648,1950.000,329000.000
