9N2106,MRK,MERCK CO INC,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-19,1.696,1.690,1.707,1.698,821.000,139000.000
1981-06-22,1.698,1.694,1.707,1.698,629.000,107000.000
1981-06-23,1.698,1.692,1.702,1.692,848.000,144000.000
1981-06-24,1.692,1.673,1.694,1.681,672.000,113000.000
1981-06-25,1.681,1.677,1.707,1.681,582.000,98000.000
1981-06-26,1.681,1.630,1.683,1.643,1243.000,206000.000
1981-06-29,1.630,1.603,1.630,1.605,552.000,89000.000
1981-06-30,1.605,1.559,1.605,1.567,618.000,98000.000
1981-07-01,1.567,1.550,1.584,1.576,926.000,145000.000
1981-07-02,1.576,1.561,1.588,1.567,706.000,111000.000
1981-07-06,1.567,1.552,1.576,1.563,808.000,126000.000
1981-07-07,1.563,1.554,1.584,1.563,804.000,126000.000
1981-07-08,1.559,1.520,1.559,1.544,1301.000,200000.000
1981-07-09,1.544,1.544,1.554,1.550,623.000,97000.000
1981-07-10,1.550,1.546,1.559,1.554,436.000,68000.000
1981-07-13,1.554,1.542,1.559,1.542,356.000,55000.000
1981-07-14,1.542,1.533,1.546,1.546,1465.000,226000.000
1981-07-15,1.546,1.520,1.548,1.525,765.000,117000.000
1981-07-16,1.525,1.523,1.563,1.563,624.000,96000.000
1981-07-17,1.563,1.559,1.609,1.609,572.000,91000.000
1981-07-20,1.599,1.580,1.599,1.588,728.000,116000.000
1981-07-21,1.580,1.550,1.580,1.554,871.000,136000.000
1981-07-22,1.554,1.518,1.561,1.523,535.000,82000.000
1981-07-23,1.523,1.510,1.525,1.512,607.000,92000.000
1981-07-24,1.516,1.516,1.537,1.537,539.000,82000.000
1981-07-27,1.537,1.533,1.559,1.556,509.000,79000.000
1981-07-28,1.556,1.533,1.556,1.537,546.000,84000.000
1981-07-29,1.537,1.525,1.548,1.525,460.000,71000.000
1981-07-30,1.525,1.520,1.554,1.550,558.000,86000.000
1981-07-31,1.550,1.550,1.565,1.563,579.000,90000.000
1981-08-03,1.563,1.556,1.582,1.569,278.000,44000.000
1981-08-04,1.569,1.563,1.580,1.571,496.000,78000.000
1981-08-05,1.571,1.539,1.571,1.550,395.000,61000.000
1981-08-06,1.550,1.525,1.550,1.531,695.000,107000.000
1981-08-07,1.525,1.482,1.525,1.484,1757.000,264000.000
1981-08-10,1.484,1.480,1.499,1.495,667.000,99000.000
1981-08-11,1.495,1.487,1.525,1.516,910.000,137000.000
1981-08-12,1.516,1.510,1.520,1.512,434.000,66000.000
