9Q2102,MSFT,MICROSOFT CP,Daily
Date,Open,Low,High,Close,Volume,Amount
1986-03-13,0.177,0.177,0.203,0.194,35826.000,681000.000
1986-03-14,0.194,0.194,0.205,0.201,10700.000,214000.000
1986-03-17,0.201,0.201,0.207,0.205,4624.000,94000.000
1986-03-18,0.205,0.198,0.207,0.200,2353.000,48000.000
1986-03-19,0.200,0.194,0.201,0.196,1663.000,33000.000
1986-03-20,0.196,0.189,0.196,0.191,2029.000,39000.000
1986-03-21,0.191,0.182,0.194,0.186,2083.000,39000.000
1986-03-24,0.186,0.179,0.186,0.181,2267.000,41000.000
1986-03-25,0.181,0.179,0.184,0.184,1114.000,20000.000
1986-03-26,0.184,0.182,0.191,0.189,790.000,15000.000
1986-03-27,0.189,0.189,0.193,0.193,585.000,11000.000
1986-03-31,0.193,0.188,0.193,0.191,447.000,8000.000
1986-04-01,0.191,0.189,0.191,0.189,385.000,7000.000
1986-04-02,0.189,0.189,0.194,0.191,938.000,18000.000
1986-04-03,0.193,0.193,0.198,0.193,800.000,16000.000
1986-04-04,0.193,0.193,0.194,0.193,923.000,18000.000
1986-04-07,0.193,0.186,0.194,0.189,575.000,11000.000
1986-04-08,0.189,0.189,0.194,0.191,356.000,7000.000
1986-04-09,0.191,0.191,0.196,0.194,422.000,8000.000
1986-04-10,0.194,0.191,0.198,0.196,482.000,9000.000
1986-04-11,0.198,0.198,0.203,0.200,598.000,12000.000
1986-04-14,0.200,0.200,0.203,0.201,422.000,8000.000
1986-04-15,0.201,0.194,0.201,0.201,323.000,6000.000
1986-04-16,0.201,0.200,0.210,0.208,1108.000,23000.000
1986-04-17,0.208,0.208,0.210,0.210,764.000,16000.000
1986-04-18,0.210,0.201,0.210,0.203,751.000,15000.000
1986-04-21,0.203,0.198,0.205,0.203,796.000,16000.000
1986-04-22,0.203,0.200,0.203,0.200,540.000,11000.000
1986-04-23,0.200,0.198,0.201,0.200,542.000,11000.000
1986-04-24,0.200,0.200,0.224,0.221,2165.000,46000.000
1986-04-25,0.222,0.222,0.244,0.234,2979.000,69000.000
1986-04-28,0.234,0.233,0.238,0.236,1003.000,24000.000
1986-04-29,0.236,0.227,0.236,0.229,1053.000,24000.000
1986-04-30,0.229,0.219,0.231,0.224,1073.000,24000.000
1986-05-01,0.224,0.217,0.224,0.221,1887.000,42000.000
1986-05-02,0.221,0.219,0.224,0.221,703.000,16000.000
1986-05-05,0.221,0.219,0.221,0.219,113.000,2000.000
1986-05-06,0.221,0.221,0.224,0.221,338.000,8000.000
1986-05-07,0.221,0.217,0.222,0.221,179.000,4000.000
1986-05-08,0.221,0.219,0.222,0.222,123.000,3000.000
1986-05-09,0.222,0.221,0.222,0.221,211.000,5000.000
1986-05-12,0.221,0.221,0.227,0.222,364.000,8000.000
1986-05-13,0.222,0.222,0.226,0.224,133.000,3000.000
1986-05-14,0.224,0.222,0.224,0.222,323.000,7000.000
1986-05-15,0.222,0.222,0.226,0.222,132.000,3000.000
1986-05-16,0.222,0.222,0.229,0.224,415.000,9000.000
1986-05-19,0.224,0.219,0.224,0.221,382.000,8000.000
1986-05-20,0.221,0.217,0.221,0.219,2152.000,47000.000
1986-05-21,0.219,0.215,0.221,0.215,281.000,6000.000
1986-05-22,0.215,0.215,0.217,0.215,153.000,3000.000
1986-05-23,0.215,0.215,0.219,0.215,142.000,3000.000
1986-05-27,0.215,0.215,0.222,0.222,482.000,11000.000
1986-05-28,0.222,0.222,0.229,0.229,539.000,12000.000
1986-05-29,0.229,0.227,0.238,0.234,1586.000,37000.000
1986-05-30,0.236,0.236,0.247,0.243,940.000,23000.000
1986-06-02,0.243,0.236,0.243,0.236,685.000,16000.000
1986-06-03,0.236,0.233,0.236,0.236,174.000,4000.000
1986-06-04,0.236,0.233,0.238,0.234,164.000,4000.000
1986-06-05,0.234,0.233,0.238,0.238,476.000,11000.000
1986-06-06,0.238,0.234,0.238,0.238,119.000,3000.000
1986-06-09,0.238,0.227,0.238,0.227,440.000,10000.000
1986-06-10,0.227,0.224,0.227,0.227,119.000,3000.000
1986-06-11,0.227,0.224,0.227,0.227,80.000,2000.000
1986-06-12,0.227,0.217,0.227,0.219,476.000,11000.000
1986-06-13,0.219,0.217,0.221,0.219,274.000,6000.000
1986-06-16,0.219,0.215,0.221,0.217,333.000,7000.000
1986-06-17,0.219,0.219,0.224,0.221,454.000,10000.000
1986-06-18,0.221,0.215,0.221,0.219,151.000,3000.000
1986-06-19,0.219,0.215,0.221,0.217,294.000,6000.000
1986-06-20,0.217,0.217,0.219,0.218,132.000,3000.000
1986-06-23,0.218,0.213,0.221,0.221,1604.000,35000.000
1986-06-24,0.221,0.217,0.222,0.219,506.000,11000.000
1986-06-25,0.219,0.215,0.221,0.215,529.000,12000.000
1986-06-26,0.215,0.208,0.217,0.208,665.000,14000.000
1986-06-27,0.208,0.205,0.210,0.207,361.000,7000.000
1986-06-30,0.207,0.205,0.219,0.213,2165.000,46000.000
1986-07-01,0.213,0.212,0.213,0.213,1652.000,35000.000
1986-07-02,0.213,0.212,0.213,0.213,1827.000,39000.000
1986-07-03,0.215,0.215,0.219,0.217,491.000,11000.000
1986-07-07,0.217,0.208,0.217,0.208,488.000,10000.000
1986-07-08,0.208,0.201,0.208,0.203,495.000,10000.000
1986-07-09,0.203,0.193,0.203,0.194,1602.000,32000.000
1986-07-10,0.194,0.181,0.196,0.189,1628.000,31000.000
1986-07-11,0.189,0.189,0.198,0.194,604.000,12000.000
1986-07-14,0.189,0.189,0.196,0.192,993.000,19000.000
1986-07-15,0.192,0.189,0.198,0.194,458.000,9000.000
1986-07-16,0.196,0.196,0.201,0.201,325.000,6000.000
1986-07-17,0.201,0.200,0.205,0.205,241.000,5000.000
1986-07-18,0.205,0.200,0.208,0.207,428.000,9000.000
1986-07-21,0.207,0.207,0.210,0.207,122.000,3000.000
1986-07-22,0.207,0.207,0.213,0.213,365.000,8000.000
1986-07-23,0.213,0.208,0.217,0.208,722.000,15000.000
1986-07-24,0.212,0.212,0.219,0.215,491.000,11000.000
1986-07-25,0.215,0.215,0.219,0.217,710.000,15000.000
1986-07-28,0.217,0.212,0.217,0.212,410.000,9000.000
1986-07-29,0.212,0.203,0.213,0.207,488.000,10000.000
1986-07-30,0.207,0.193,0.207,0.200,917.000,18000.000
1986-07-31,0.200,0.198,0.201,0.198,543.000,11000.000
1986-08-01,0.198,0.194,0.200,0.196,448.000,9000.000
1986-08-04,0.196,0.191,0.196,0.196,432.000,8000.000
1986-08-05,0.196,0.194,0.198,0.194,98.000,2000.000
1986-08-06,0.194,0.189,0.196,0.193,636.000,12000.000
1986-08-07,0.193,0.189,0.194,0.191,127.000,2000.000
1986-08-08,0.191,0.191,0.196,0.193,144.000,3000.000
1986-08-11,0.196,0.196,0.201,0.200,276.000,5000.000
1986-08-12,0.200,0.200,0.205,0.205,347.000,7000.000
1986-08-13,0.205,0.203,0.207,0.207,239.000,5000.000
1986-08-14,0.207,0.207,0.213,0.212,699.000,15000.000
1986-08-15,0.212,0.210,0.213,0.213,212.000,4000.000
1986-08-18,0.213,0.210,0.213,0.210,444.000,9000.000
1986-08-19,0.210,0.207,0.211,0.210,708.000,15000.000
1986-08-20,0.210,0.208,0.210,0.208,721.000,15000.000
1986-08-21,0.208,0.208,0.212,0.208,1720.000,36000.000
1986-08-22,0.208,0.201,0.210,0.205,200.000,4000.000
1986-08-25,0.205,0.201,0.205,0.205,84.000,2000.000
1986-08-26,0.205,0.203,0.205,0.203,377.000,8000.000
1986-08-27,0.203,0.201,0.205,0.203,331.000,7000.000
1986-08-28,0.203,0.203,0.205,0.203,119.000,2000.000
1986-08-29,0.203,0.194,0.205,0.198,883.000,18000.000
1986-09-02,0.198,0.190,0.198,0.193,181.000,4000.000
1986-09-03,0.191,0.182,0.191,0.188,636.000,12000.000
1986-09-04,0.191,0.191,0.203,0.203,1369.000,27000.000
1986-09-05,0.203,0.201,0.212,0.212,915.000,19000.000
1986-09-08,0.212,0.210,0.213,0.210,334.000,7000.000
1986-09-09,0.210,0.210,0.219,0.213,1303.000,28000.000
1986-09-10,0.213,0.210,0.215,0.210,378.000,8000.000
1986-09-11,0.210,0.201,0.212,0.201,1238.000,26000.000
1986-09-12,0.201,0.196,0.203,0.196,849.000,17000.000
1986-09-15,0.196,0.193,0.200,0.200,781.000,15000.000
1986-09-16,0.200,0.196,0.201,0.200,180.000,4000.000
1986-09-17,0.200,0.198,0.208,0.205,279.000,6000.000
1986-09-18,0.205,0.205,0.210,0.207,186.000,4000.000
1986-09-19,0.207,0.205,0.208,0.207,87.000,2000.000
1986-09-22,0.207,0.205,0.207,0.205,156.000,3000.000
1986-09-23,0.205,0.205,0.210,0.208,207.000,4000.000
1986-09-24,0.208,0.205,0.208,0.206,166.000,3000.000
