9N2855,SBC,SBC Communications Inc.,Daily
Date,Open,Low,High,Close,Volume,Amount
1984-07-19,2.394,2.378,2.398,2.378,779.000,186000.000
1984-07-20,2.388,2.374,2.404,2.384,1298.000,310000.000
1984-07-23,2.374,2.353,2.394,2.384,2761.000,655000.000
1984-07-24,2.394,2.388,2.419,2.404,1291.000,310000.000
1984-07-25,2.404,2.398,2.459,2.434,1524.000,370000.000
1984-07-26,2.434,2.419,2.484,2.424,4119.000,1010000.000
1984-07-27,2.419,2.398,2.419,2.398,866.000,209000.000
1984-07-30,2.394,2.384,2.414,2.398,971.000,233000.000
1984-07-31,2.398,2.394,2.434,2.434,883.000,213000.000
1984-08-01,2.424,2.419,2.494,2.494,2369.000,582000.000
1984-08-02,2.484,2.424,2.599,2.574,3203.000,804000.000
1984-08-03,2.564,2.534,2.594,2.554,2583.000,662000.000
1984-08-06,2.544,2.484,2.544,2.484,2479.000,623000.000
1984-08-07,2.479,2.474,2.514,2.484,2917.000,727000.000
1984-08-08,2.489,2.474,2.499,2.474,1676.000,417000.000
1984-08-09,2.479,2.474,2.514,2.499,1229.000,306000.000
1984-08-10,2.504,2.504,2.534,2.514,1937.000,488000.000
1984-08-13,2.514,2.494,2.519,2.514,1046.000,262000.000
1984-08-14,2.504,2.504,2.524,2.509,936.000,235000.000
1984-08-15,2.499,2.494,2.529,2.504,1328.000,333000.000
1984-08-16,2.494,2.489,2.524,2.514,624.000,156000.000
1984-08-17,2.519,2.494,2.534,2.514,701.000,176000.000
1984-08-20,2.514,2.514,2.549,2.549,1257.000,318000.000
1984-08-21,2.539,2.534,2.594,2.579,2100.000,538000.000
1984-08-22,2.569,2.564,2.584,2.574,764.000,197000.000
1984-08-23,2.564,2.554,2.569,2.559,1086.000,278000.000
1984-08-24,2.559,2.544,2.559,2.549,2862.000,730000.000
1984-08-27,2.539,2.529,2.554,2.539,667.000,170000.000
1984-08-28,2.539,2.539,2.554,2.544,560.000,143000.000
1984-08-29,2.544,2.544,2.559,2.544,1032.000,263000.000
1984-08-30,2.534,2.529,2.544,2.539,717.000,182000.000
1984-08-31,2.534,2.534,2.544,2.544,952.000,242000.000
1984-09-04,2.539,2.529,2.544,2.534,407.000,103000.000
1984-09-05,2.524,2.514,2.529,2.514,1372.000,346000.000
1984-09-06,2.529,2.524,2.554,2.544,7614.000,1933000.000
1984-09-07,2.549,2.534,2.554,2.534,709.000,180000.000
1984-09-10,2.524,2.519,2.549,2.544,4937.000,1251000.000
1984-09-11,2.529,2.529,2.539,2.529,4133.000,1047000.000
1984-09-12,2.529,2.529,2.544,2.539,434.000,110000.000
1984-09-13,2.549,2.534,2.574,2.564,7407.000,1892000.000
1984-09-14,2.584,2.569,2.589,2.579,1433.000,370000.000
1984-09-17,2.569,2.559,2.589,2.574,6769.000,1742000.000
1984-09-18,2.579,2.569,2.584,2.569,996.000,257000.000
1984-09-19,2.569,2.564,2.619,2.599,8647.000,2241000.000
1984-09-20,2.599,2.594,2.639,2.619,3458.000,905000.000
1984-09-21,2.619,2.619,2.644,2.629,14520.000,3821000.000
1984-09-24,2.635,2.630,2.650,2.630,3765.000,994000.000
1984-09-25,2.625,2.609,2.645,2.635,865.000,227000.000
1984-09-26,2.630,2.625,2.650,2.635,735.000,194000.000
1984-09-27,2.640,2.630,2.650,2.635,2044.000,540000.000
1984-09-28,2.640,2.635,2.650,2.645,916.000,242000.000
1984-10-01,2.645,2.640,2.655,2.645,2223.000,589000.000
1984-10-02,2.640,2.635,2.650,2.645,2233.000,590000.000
1984-10-03,2.645,2.635,2.645,2.635,989.000,261000.000
1984-10-04,2.640,2.630,2.640,2.635,538.000,142000.000
1984-10-05,2.635,2.615,2.640,2.620,1187.000,312000.000
1984-10-08,2.625,2.594,2.625,2.599,323.000,84000.000
1984-10-09,2.604,2.589,2.615,2.594,581.000,151000.000
1984-10-10,2.599,2.589,2.604,2.599,964.000,250000.000
1984-10-11,2.604,2.599,2.620,2.609,788.000,206000.000
1984-10-12,2.620,2.620,2.645,2.640,961.000,253000.000
1984-10-15,2.640,2.635,2.686,2.681,2031.000,540000.000
1984-10-16,2.681,2.681,2.701,2.701,1277.000,344000.000
1984-10-17,2.701,2.696,2.743,2.732,921.000,250000.000
1984-10-18,2.748,2.743,2.783,2.778,1783.000,493000.000
1984-10-19,2.804,2.794,2.835,2.814,1891.000,532000.000
1984-10-22,2.809,2.773,2.814,2.778,765.000,214000.000
1984-10-23,2.763,2.661,2.763,2.686,3871.000,1050000.000
1984-10-24,2.691,2.661,2.696,2.661,2467.000,661000.000
1984-10-25,2.671,2.661,2.707,2.701,3194.000,857000.000
1984-10-26,2.686,2.676,2.691,2.681,1177.000,316000.000
1984-10-29,2.671,2.661,2.686,2.686,1194.000,319000.000
1984-10-30,2.671,2.666,2.691,2.681,1319.000,353000.000
1984-10-31,2.671,2.666,2.691,2.681,1401.000,375000.000
1984-11-01,2.671,2.671,2.691,2.681,1874.000,502000.000
1984-11-02,2.676,2.676,2.701,2.691,1567.000,421000.000
1984-11-05,2.681,2.681,2.701,2.686,1380.000,371000.000
1984-11-06,2.686,2.686,2.722,2.717,1970.000,533000.000
1984-11-07,2.722,2.696,2.727,2.701,1718.000,466000.000
1984-11-08,2.691,2.671,2.696,2.681,976.000,262000.000
1984-11-09,2.686,2.671,2.701,2.671,1273.000,342000.000
1984-11-12,2.671,2.661,2.671,2.661,506.000,135000.000
1984-11-13,2.650,2.630,2.655,2.635,590.000,156000.000
1984-11-14,2.635,2.615,2.640,2.635,1711.000,450000.000
1984-11-15,2.645,2.645,2.676,2.666,2061.000,548000.000
1984-11-16,2.671,2.666,2.681,2.671,1930.000,516000.000
1984-11-19,2.671,2.655,2.676,2.655,1358.000,362000.000
1984-11-20,2.666,2.661,2.681,2.681,1322.000,353000.000
1984-11-21,2.681,2.676,2.707,2.696,928.000,250000.000
1984-11-23,2.707,2.707,2.783,2.773,1282.000,352000.000
1984-11-26,2.783,2.768,2.794,2.773,1896.000,527000.000
1984-11-27,2.778,2.773,2.804,2.789,1941.000,541000.000
1984-11-28,2.789,2.778,2.840,2.778,2955.000,830000.000
1984-11-29,2.773,2.753,2.783,2.758,1721.000,476000.000
1984-11-30,2.753,2.727,2.753,2.727,1110.000,304000.000
1984-12-03,2.732,2.727,2.743,2.737,940.000,257000.000
1984-12-04,2.727,2.722,2.737,2.722,859.000,234000.000
1984-12-05,2.727,2.722,2.732,2.722,969.000,264000.000
1984-12-06,2.722,2.722,2.743,2.722,729.000,199000.000
1984-12-07,2.717,2.712,2.732,2.717,464.000,126000.000
1984-12-10,2.717,2.701,2.727,2.727,955.000,259000.000
1984-12-11,2.732,2.727,2.743,2.737,582.000,159000.000
1984-12-12,2.737,2.722,2.743,2.727,1132.000,309000.000
1984-12-13,2.717,2.717,2.743,2.727,1065.000,291000.000
1984-12-14,2.727,2.727,2.783,2.773,1057.000,291000.000
1984-12-17,2.773,2.773,2.819,2.819,1861.000,520000.000
1984-12-18,2.865,2.855,2.906,2.901,2762.000,796000.000
1984-12-19,2.896,2.896,2.927,2.896,1369.000,399000.000
1984-12-20,2.896,2.855,2.916,2.860,1498.000,432000.000
1984-12-21,2.860,2.860,2.886,2.865,2007.000,577000.000
1984-12-24,2.875,2.875,2.891,2.881,811.000,234000.000
1984-12-26,2.881,2.875,2.886,2.886,302.000,87000.000
1984-12-27,2.875,2.860,2.881,2.875,506.000,145000.000
1984-12-28,2.875,2.865,2.881,2.870,657.000,189000.000
1984-12-31,2.865,2.865,2.906,2.896,4853.000,1400000.000
1985-01-02,2.896,2.886,2.896,2.896,1352.000,391000.000
1985-01-03,2.886,2.881,2.901,2.886,6537.000,1890000.000
1985-01-04,2.882,2.876,2.918,2.892,7572.000,2194000.000
1985-01-07,2.902,2.871,2.902,2.871,5934.000,1713000.000
1985-01-08,2.871,2.866,2.887,2.866,4751.000,1367000.000
1985-01-09,2.866,2.855,2.876,2.866,10460.000,2998000.000
1985-01-10,2.861,2.855,2.923,2.876,3852.000,1113000.000
1985-01-11,2.861,2.855,2.876,2.871,1608.000,461000.000
1985-01-14,2.866,2.866,2.897,2.887,1619.000,467000.000
1985-01-15,2.882,2.876,2.897,2.892,2140.000,618000.000
1985-01-16,2.892,2.876,2.892,2.882,1305.000,376000.000
1985-01-17,2.882,2.871,2.887,2.871,933.000,269000.000
1985-01-18,2.871,2.861,2.876,2.871,920.000,264000.000
1985-01-21,2.876,2.871,2.887,2.882,794.000,229000.000
1985-01-22,2.882,2.861,2.887,2.871,2435.000,700000.000
1985-01-23,2.861,2.861,2.882,2.876,1226.000,352000.000
1985-01-24,2.882,2.871,2.897,2.876,2665.000,769000.000
1985-01-25,2.882,2.876,2.928,2.918,3531.000,1025000.000
1985-01-28,2.913,2.908,2.976,2.949,2466.000,725000.000
1985-01-29,2.949,2.944,2.996,2.991,1448.000,430000.000
1985-01-30,2.996,2.991,3.064,3.028,2399.000,726000.000
1985-01-31,3.017,3.012,3.054,3.038,1476.000,448000.000
1985-02-01,3.023,2.996,3.038,3.007,791.000,239000.000
1985-02-04,2.996,2.996,3.023,3.017,1586.000,477000.000
1985-02-05,3.017,2.996,3.023,3.017,1617.000,487000.000
1985-02-06,3.007,3.002,3.043,3.023,2007.000,607000.000
1985-02-07,3.033,3.033,3.059,3.043,1716.000,523000.000
1985-02-08,3.038,3.033,3.054,3.043,1956.000,595000.000
1985-02-11,3.043,3.038,3.054,3.049,592.000,180000.000
1985-02-12,3.054,3.054,3.096,3.096,708.000,218000.000
1985-02-13,3.096,3.090,3.153,3.143,1605.000,501000.000
1985-02-14,3.148,3.111,3.153,3.116,1203.000,377000.000
1985-02-15,3.111,3.111,3.132,3.116,1185.000,370000.000
1985-02-19,3.127,3.122,3.132,3.122,701.000,219000.000
1985-02-20,3.122,3.106,3.132,3.116,733.000,229000.000
1985-02-21,3.116,3.101,3.122,3.101,416.000,129000.000
1985-02-22,3.101,3.038,3.106,3.043,856.000,263000.000
1985-02-25,3.043,3.023,3.049,3.038,1388.000,421000.000
1985-02-26,3.049,3.038,3.096,3.096,1664.000,510000.000
1985-02-27,3.085,3.080,3.132,3.111,689.000,214000.000
1985-02-28,3.106,3.090,3.111,3.090,1040.000,322000.000
1985-03-01,3.090,3.080,3.122,3.106,1140.000,353000.000
1985-03-04,3.111,3.085,3.111,3.096,931.000,288000.000
1985-03-05,3.090,3.064,3.096,3.064,1563.000,481000.000
1985-03-06,3.069,3.028,3.069,3.033,796.000,243000.000
1985-03-07,3.028,3.023,3.064,3.054,1305.000,397000.000
1985-03-08,3.043,3.038,3.059,3.038,666.000,203000.000
1985-03-11,3.028,3.028,3.049,3.038,609.000,185000.000
1985-03-12,3.043,3.038,3.090,3.075,625.000,192000.000
1985-03-13,3.075,3.064,3.090,3.085,397.000,122000.000
1985-03-14,3.069,3.064,3.101,3.090,586.000,181000.000
1985-03-15,3.101,3.090,3.111,3.101,1047.000,325000.000
1985-03-18,3.111,3.096,3.122,3.101,781.000,243000.000
1985-03-19,3.106,3.096,3.111,3.101,508.000,158000.000
1985-03-20,3.101,3.085,3.101,3.090,382.000,118000.000
1985-03-21,3.080,3.069,3.106,3.101,1217.000,376000.000
1985-03-22,3.122,3.090,3.132,3.116,1359.000,423000.000
1985-03-25,3.111,3.085,3.116,3.096,508.000,158000.000
1985-03-26,3.101,3.080,3.106,3.101,1534.000,474000.000
1985-03-27,3.101,3.096,3.116,3.111,715.000,222000.000
1985-03-28,3.106,3.096,3.111,3.096,833.000,259000.000
1985-03-29,3.101,3.096,3.137,3.122,1882.000,587000.000
1985-04-01,3.122,3.116,3.143,3.143,706.000,221000.000
1985-04-02,3.143,3.143,3.169,3.169,4912.000,1550000.000
