9N3371,UTX,UNITED TECH,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-19,3.788,3.779,3.830,3.805,650.000,247000.000
1981-06-22,3.805,3.762,3.839,3.771,347.000,132000.000
1981-06-23,3.771,3.745,3.796,3.796,463.000,175000.000
1981-06-24,3.796,3.771,3.805,3.788,746.000,283000.000
1981-06-25,3.788,3.788,3.805,3.796,553.000,210000.000
1981-06-26,3.796,3.771,3.805,3.788,407.000,154000.000
1981-06-29,3.788,3.745,3.796,3.754,442.000,167000.000
1981-06-30,3.754,3.754,3.813,3.779,1077.000,407000.000
1981-07-01,3.779,3.737,3.788,3.745,1147.000,432000.000
1981-07-02,3.745,3.719,3.771,3.719,1136.000,425000.000
1981-07-06,3.702,3.583,3.702,3.609,718.000,262000.000
1981-07-07,3.600,3.540,3.600,3.574,552.000,197000.000
1981-07-08,3.574,3.523,3.592,3.566,876.000,312000.000
1981-07-09,3.566,3.540,3.566,3.557,803.000,285000.000
1981-07-10,3.557,3.506,3.557,3.515,418.000,148000.000
1981-07-13,3.515,3.481,3.523,3.498,777.000,272000.000
1981-07-14,3.489,3.438,3.489,3.464,1079.000,374000.000
1981-07-15,3.464,3.438,3.472,3.438,941.000,325000.000
1981-07-16,3.438,3.412,3.464,3.429,1029.000,354000.000
1981-07-17,3.429,3.378,3.429,3.395,743.000,253000.000
1981-07-20,3.395,3.276,3.412,3.276,1856.000,621000.000
1981-07-21,3.276,3.259,3.301,3.293,1832.000,601000.000
1981-07-22,3.293,3.259,3.319,3.284,1044.000,343000.000
1981-07-23,3.284,3.267,3.310,3.301,1429.000,470000.000
1981-07-24,3.301,3.293,3.370,3.344,983.000,327000.000
1981-07-27,3.344,3.336,3.412,3.412,777.000,262000.000
1981-07-28,3.412,3.344,3.412,3.361,607.000,205000.000
1981-07-29,3.361,3.327,3.404,3.327,632.000,213000.000
1981-07-30,3.353,3.353,3.404,3.404,463.000,156000.000
1981-07-31,3.421,3.421,3.472,3.455,942.000,325000.000
1981-08-03,3.455,3.421,3.464,3.438,496.000,171000.000
1981-08-04,3.438,3.438,3.472,3.472,486.000,168000.000
1981-08-05,3.481,3.481,3.600,3.583,1083.000,383000.000
1981-08-06,3.651,3.651,3.728,3.728,1452.000,536000.000
1981-08-07,3.685,3.515,3.685,3.523,1707.000,615000.000
1981-08-10,3.523,3.481,3.540,3.515,627.000,220000.000
1981-08-11,3.523,3.523,3.566,3.566,775.000,275000.000
1981-08-12,3.566,3.523,3.592,3.523,407.000,145000.000
1981-08-13,3.540,3.540,3.583,3.566,426.000,152000.000
1981-08-14,3.566,3.549,3.600,3.549,726.000,260000.000
1981-08-17,3.549,3.481,3.549,3.489,476.000,167000.000
1981-08-18,3.489,3.429,3.498,3.438,1177.000,408000.000
1981-08-19,3.438,3.412,3.438,3.412,792.000,271000.000
1981-08-20,3.412,3.404,3.429,3.421,550.000,188000.000
1981-08-21,3.421,3.412,3.438,3.438,740.000,253000.000
1981-08-24,3.436,3.376,3.436,3.376,1208.000,411000.000
1981-08-25,3.359,3.298,3.359,3.324,1063.000,354000.000
1981-08-26,3.324,3.298,3.341,3.333,439.000,146000.000
1981-08-27,3.298,3.203,3.298,3.229,918.000,298000.000
1981-08-28,3.229,3.220,3.307,3.238,751.000,245000.000
1981-08-31,3.238,3.125,3.298,3.125,797.000,256000.000
1981-09-01,3.125,3.091,3.160,3.125,1639.000,512000.000
1981-09-02,3.125,3.082,3.125,3.099,1710.000,531000.000
1981-09-03,3.099,3.022,3.134,3.022,907.000,279000.000
1981-09-04,3.022,2.918,3.022,3.004,908.000,270000.000
1981-09-08,2.987,2.935,2.987,2.961,557.000,165000.000
1981-09-09,2.961,2.935,2.996,2.953,511.000,152000.000
1981-09-10,2.961,2.961,3.048,3.022,720.000,216000.000
1981-09-11,3.022,2.979,3.048,3.048,861.000,259000.000
1981-09-14,3.039,2.979,3.039,2.996,379.000,114000.000
1981-09-15,2.996,2.970,3.039,2.970,1578.000,474000.000
1981-09-16,2.970,2.944,2.970,2.961,737.000,218000.000
1981-09-17,2.961,2.832,2.979,2.832,709.000,206000.000
1981-09-18,2.832,2.832,2.866,2.849,523.000,149000.000
1981-09-21,2.849,2.815,2.935,2.918,878.000,252000.000
1981-09-22,2.918,2.918,2.996,2.970,497.000,147000.000
1981-09-23,2.970,2.910,2.987,2.970,573.000,169000.000
1981-09-24,2.970,2.944,3.013,2.944,660.000,197000.000
1981-09-25,2.918,2.771,2.918,2.858,1048.000,298000.000
1981-09-28,2.858,2.763,2.901,2.901,1612.000,456000.000
1981-09-29,2.918,2.918,3.056,3.004,827.000,247000.000
1981-09-30,3.004,2.987,3.065,3.065,478.000,145000.000
1981-10-01,3.065,3.004,3.125,3.125,809.000,248000.000
1981-10-02,3.125,3.125,3.169,3.143,854.000,269000.000
1981-10-05,3.160,3.160,3.212,3.169,627.000,200000.000
1981-10-06,3.169,3.091,3.177,3.108,417.000,131000.000
1981-10-07,3.108,3.108,3.169,3.169,449.000,141000.000
1981-10-08,3.169,3.160,3.212,3.177,634.000,202000.000
1981-10-09,3.177,3.125,3.194,3.151,899.000,284000.000
1981-10-12,3.151,3.091,3.169,3.125,328.000,103000.000
1981-10-13,3.125,3.091,3.186,3.091,1085.000,341000.000
1981-10-14,3.091,3.022,3.099,3.022,702.000,215000.000
1981-10-15,3.022,2.970,3.039,3.013,963.000,289000.000
1981-10-16,3.013,2.979,3.022,3.004,911.000,273000.000
