9N3570,XOM,EXXON MOBIL CP,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-17,4.012,3.983,4.190,4.190,7062.000,2886000.000
1981-06-18,4.190,4.101,4.205,4.146,6629.000,2753000.000
1981-06-19,4.146,4.101,4.190,4.190,7376.000,3058000.000
1981-06-22,4.190,4.160,4.220,4.190,4609.000,1931000.000
1981-06-23,4.160,4.071,4.160,4.146,7099.000,2922000.000
1981-06-24,4.146,4.101,4.146,4.116,4382.000,1807000.000
1981-06-25,4.116,4.116,4.190,4.160,4432.000,1841000.000
1981-06-26,4.160,4.086,4.160,4.116,3286.000,1355000.000
1981-06-29,4.116,4.071,4.131,4.086,3083.000,1264000.000
1981-06-30,4.086,4.042,4.086,4.057,4368.000,1775000.000
1981-07-01,4.057,4.012,4.086,4.042,4278.000,1732000.000
1981-07-02,4.042,3.938,4.086,3.983,5827.000,2338000.000
1981-07-06,3.983,3.923,4.027,3.997,8414.000,3345000.000
1981-07-07,4.027,4.027,4.086,4.071,6076.000,2465000.000
1981-07-08,4.071,4.042,4.146,4.101,4938.000,2021000.000
1981-07-09,4.101,4.042,4.116,4.101,4738.000,1933000.000
1981-07-10,4.101,4.057,4.101,4.071,2732.000,1114000.000
1981-07-13,4.071,4.071,4.101,4.071,2545.000,1040000.000
1981-07-14,4.071,4.027,4.086,4.071,4273.000,1733000.000
1981-07-15,4.071,4.027,4.086,4.027,6460.000,2621000.000
1981-07-16,4.027,4.027,4.086,4.071,4327.000,1755000.000
1981-07-17,4.071,4.042,4.086,4.057,4238.000,1722000.000
1981-07-20,4.057,3.997,4.057,4.027,4122.000,1660000.000
1981-07-21,4.012,3.953,4.012,3.968,4380.000,1744000.000
1981-07-22,3.968,3.953,4.012,3.983,7293.000,2905000.000
1981-07-23,3.983,3.968,4.071,4.057,6018.000,2419000.000
1981-07-24,4.057,4.057,4.146,4.116,3565.000,1462000.000
1981-07-27,4.146,4.146,4.220,4.205,4122.000,1724000.000
1981-07-28,4.205,4.146,4.220,4.160,5007.000,2094000.000
1981-07-29,4.160,4.131,4.175,4.131,2772.000,1151000.000
1981-07-30,4.131,4.116,4.160,4.131,4488.000,1857000.000
1981-07-31,4.131,4.116,4.160,4.131,4140.000,1713000.000
1981-08-03,4.131,4.116,4.160,4.131,4662.000,1929000.000
1981-08-04,4.131,4.116,4.160,4.160,2806.000,1161000.000
1981-08-05,4.160,4.160,4.220,4.220,5242.000,2196000.000
1981-08-06,4.220,4.205,4.264,4.220,4074.000,1725000.000
1981-08-07,4.175,4.131,4.175,4.146,4902.000,2036000.000
1981-08-10,4.146,4.131,4.190,4.175,4374.000,1820000.000
1981-08-11,4.175,4.175,4.220,4.205,5406.000,2269000.000
1981-08-12,4.205,4.160,4.234,4.160,7856.000,3297000.000
1981-08-13,4.160,4.131,4.160,4.131,4473.000,1854000.000
1981-08-14,4.131,4.131,4.175,4.160,3690.000,1532000.000
1981-08-17,4.160,4.116,4.190,4.116,7102.000,2949000.000
1981-08-18,4.116,4.027,4.160,4.116,4339.000,1776000.000
1981-08-19,4.116,4.042,4.116,4.101,3161.000,1289000.000
1981-08-20,4.101,4.101,4.131,4.131,2358.000,971000.000
1981-08-21,4.101,4.027,4.101,4.057,3497.000,1421000.000
1981-08-24,4.027,3.923,4.027,3.938,8288.000,3295000.000
1981-08-25,3.923,3.864,3.923,3.909,6041.000,2352000.000
1981-08-26,3.909,3.894,3.938,3.923,3652.000,1430000.000
1981-08-27,3.923,3.894,4.012,3.909,3351.000,1325000.000
1981-08-28,3.909,3.864,3.923,3.909,4126.000,1607000.000
1981-08-31,3.909,3.835,3.953,3.849,3226.000,1256000.000
1981-09-01,3.849,3.849,3.909,3.909,2919.000,1132000.000
1981-09-02,3.909,3.879,3.938,3.894,2506.000,979000.000
1981-09-03,3.894,3.849,3.923,3.879,3036.000,1180000.000
