9I0001,^DJI,Dow Jones Averages(30 Industrials),Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-23,994.200,990.010,1008.940,1006.660,51840.000,51812784.000
1981-06-24,1006.660,993.150,1008.090,999.330,46650.000,46678924.000
1981-06-25,999.330,992.580,1007.990,996.770,43920.000,43932516.000
1981-06-26,996.770,988.490,1001.810,992.870,39240.000,39049684.000
1981-06-29,992.870,981.160,996.390,984.590,37930.000,37504236.000
1981-06-30,984.590,972.690,988.010,976.880,41550.000,40733544.000
1981-07-01,976.880,963.280,978.980,967.660,49080.000,47663060.000
1981-07-02,967.660,954.720,972.700,959.190,45100.000,43463320.000
1981-07-06,957.950,941.970,957.950,949.300,44590.000,42358716.000
1981-07-07,949.300,943.490,962.900,954.150,53560.000,51053124.000
1981-07-08,954.150,944.060,961.280,953.480,46000.000,43822820.000
1981-07-09,953.480,950.060,963.180,959.000,45510.000,43535776.000
1981-07-10,959.000,950.150,963.380,955.670,39950.000,38222764.000
1981-07-13,955.670,949.870,962.420,954.340,38100.000,36429124.000
1981-07-14,954.340,941.500,956.530,948.250,45230.000,42923948.000
1981-07-15,948.250,945.490,960.330,954.150,48950.000,46644944.000
1981-07-16,954.150,947.110,960.520,955.480,39010.000,37208324.000
1981-07-17,955.480,949.300,964.800,958.900,42780.000,40942600.000
1981-07-20,954.810,937.020,954.810,940.540,40240.000,38063620.000
1981-07-21,940.540,927.230,944.350,934.460,47280.000,44244152.000
1981-07-22,934.460,922.370,942.070,924.660,47500.000,44280452.000
1981-07-23,924.660,918.660,932.840,928.560,41790.000,38687092.000
1981-07-24,928.560,926.940,941.780,936.740,38880.000,36327916.000
1981-07-27,937.120,937.120,950.820,945.870,39610.000,37390652.000
1981-07-28,945.870,934.650,948.150,939.400,38160.000,35923824.000
1981-07-29,939.400,933.500,947.300,937.400,37610.000,35368444.000
1981-07-30,937.400,934.360,948.250,945.110,41560.000,39120636.000
1981-07-31,945.110,943.400,956.720,952.340,43480.000,41308608.000
1981-08-03,952.340,940.450,955.480,946.250,39650.000,37586812.000
1981-08-04,946.250,937.400,951.390,945.970,39460.000,37265828.000
1981-08-05,945.970,942.160,958.810,953.580,54290.000,51601828.000
1981-08-06,953.580,947.300,961.470,952.910,52070.000,49694824.000
1981-08-07,952.910,938.450,954.150,942.540,38370.000,36309532.000
1981-08-10,942.540,935.880,948.820,943.680,38370.000,36157968.000
1981-08-11,943.680,939.500,955.480,949.300,52600.000,49837972.000
1981-08-12,949.300,942.260,955.860,945.210,53650.000,50917068.000
1981-08-13,945.210,938.550,952.910,944.350,42460.000,40155696.000
