9N0007,AA,ALCOA INC,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-22,2.117,2.108,2.134,2.125,1018.000,216000.000
1981-06-23,2.125,2.117,2.151,2.151,763.000,163000.000
1981-06-24,2.151,2.134,2.169,2.134,717.000,154000.000
1981-06-25,2.134,2.108,2.160,2.108,436.000,93000.000
1981-06-26,2.108,2.099,2.134,2.108,285.000,60000.000
1981-06-29,2.108,2.091,2.134,2.108,983.000,208000.000
1981-06-30,2.099,2.065,2.099,2.065,1345.000,280000.000
1981-07-01,2.065,2.004,2.073,2.039,2426.000,495000.000
1981-07-02,2.039,1.961,2.047,1.987,1204.000,241000.000
1981-07-06,1.987,1.969,2.013,1.995,665.000,132000.000
1981-07-07,1.995,1.978,2.013,1.987,1173.000,234000.000
1981-07-08,1.987,1.978,2.030,2.004,2141.000,429000.000
1981-07-09,2.004,1.978,2.021,1.995,1418.000,284000.000
1981-07-10,1.987,1.934,1.987,1.934,1899.000,372000.000
1981-07-13,1.934,1.926,1.961,1.934,2191.000,426000.000
1981-07-14,1.934,1.900,1.934,1.900,1265.000,243000.000
1981-07-15,1.900,1.891,1.917,1.908,997.000,190000.000
1981-07-16,1.908,1.857,1.908,1.865,1418.000,267000.000
1981-07-17,1.865,1.857,1.891,1.891,2170.000,407000.000
1981-07-20,1.891,1.883,1.934,1.926,963.000,184000.000
1981-07-21,1.926,1.900,2.021,2.004,1345.000,264000.000
1981-07-22,2.004,1.926,2.013,1.926,1120.000,221000.000
1981-07-23,1.926,1.908,1.961,1.934,1616.000,313000.000
1981-07-24,1.934,1.917,1.978,1.978,1604.000,312000.000
1981-07-27,1.978,1.978,2.021,1.995,1327.000,265000.000
1981-07-28,1.978,1.926,1.978,1.934,567.000,111000.000
1981-07-29,1.934,1.934,1.995,1.969,844.000,166000.000
1981-07-30,1.969,1.961,1.995,1.995,1044.000,206000.000
1981-07-31,1.995,1.943,1.995,1.961,801.000,158000.000
1981-08-03,1.966,1.939,1.966,1.948,502.000,98000.000
1981-08-04,1.948,1.939,1.966,1.966,247.000,48000.000
1981-08-05,1.975,1.975,2.080,2.080,1141.000,231000.000
1981-08-06,2.045,1.975,2.045,1.992,2003.000,403000.000
1981-08-07,1.992,1.966,2.001,1.975,1434.000,284000.000
1981-08-10,1.975,1.957,1.984,1.984,652.000,128000.000
1981-08-11,1.984,1.966,1.992,1.975,466.000,92000.000
1981-08-12,1.975,1.966,1.992,1.984,730.000,144000.000
1981-08-13,1.984,1.948,1.992,1.957,1562.000,308000.000
1981-08-14,1.957,1.931,1.966,1.931,677.000,132000.000
1981-08-17,1.931,1.931,1.948,1.931,441.000,86000.000
1981-08-18,1.931,1.931,1.957,1.957,737.000,143000.000
1981-08-19,1.957,1.939,1.966,1.957,456.000,89000.000
1981-08-20,1.957,1.948,1.966,1.957,287.000,56000.000
1981-08-21,1.957,1.931,1.966,1.948,1148.000,224000.000
1981-08-24,1.948,1.939,1.966,1.948,895.000,175000.000
1981-08-25,1.948,1.939,1.957,1.957,2137.000,416000.000
1981-08-26,1.957,1.939,2.019,1.975,1594.000,315000.000
1981-08-27,1.975,1.975,2.010,1.984,797.000,159000.000
1981-08-28,1.984,1.939,2.001,1.957,1439.000,284000.000
1981-08-31,1.957,1.904,1.984,1.904,721.000,140000.000
1981-09-01,1.904,1.869,1.922,1.878,1265.000,240000.000
1981-09-02,1.878,1.869,2.080,1.895,870.000,172000.000
1981-09-03,1.895,1.842,1.895,1.851,2171.000,406000.000
1981-09-04,1.851,1.834,1.869,1.869,1419.000,263000.000
1981-09-08,1.869,1.825,1.869,1.825,953.000,176000.000
1981-09-09,1.825,1.825,1.887,1.887,306.000,57000.000
1981-09-10,1.887,1.869,1.895,1.887,681.000,128000.000
1981-09-11,1.887,1.869,1.895,1.895,477.000,90000.000
1981-09-14,1.895,1.816,1.895,1.825,1330.000,247000.000
1981-09-15,1.825,1.798,1.834,1.807,1584.000,288000.000
1981-09-16,1.807,1.789,1.825,1.789,744.000,134000.000
1981-09-17,1.807,1.807,1.842,1.807,225.000,41000.000
1981-09-18,1.807,1.789,1.842,1.834,818.000,149000.000
1981-09-21,1.834,1.816,1.913,1.913,527.000,98000.000
1981-09-22,1.913,1.860,1.922,1.887,469.000,89000.000
1981-09-23,1.887,1.834,1.895,1.834,769.000,143000.000
1981-09-24,1.834,1.834,1.869,1.834,701.000,130000.000
1981-09-25,1.834,1.798,1.842,1.842,909.000,165000.000
1981-09-28,1.842,1.781,1.878,1.851,3088.000,565000.000
1981-09-29,1.869,1.869,1.904,1.887,765.000,144000.000
1981-09-30,1.887,1.851,1.904,1.851,821.000,154000.000
1981-10-01,1.851,1.807,1.860,1.807,1447.000,265000.000
1981-10-02,1.807,1.781,1.825,1.816,1350.000,243000.000
1981-10-05,1.816,1.789,1.878,1.789,727.000,133000.000
1981-10-06,1.789,1.763,1.816,1.763,1020.000,183000.000
1981-10-07,1.763,1.745,1.781,1.772,909.000,160000.000
1981-10-08,1.781,1.781,1.825,1.798,1016.000,183000.000
1981-10-09,1.798,1.745,1.816,1.763,2859.000,509000.000
1981-10-12,1.754,1.728,1.754,1.737,600.000,104000.000
1981-10-13,1.737,1.666,1.737,1.675,1190.000,202000.000
1981-10-14,1.657,1.604,1.657,1.631,2022.000,330000.000
1981-10-15,1.631,1.622,1.719,1.710,644.000,108000.000
1981-10-16,1.710,1.666,1.737,1.728,1576.000,268000.000
1981-10-19,1.710,1.640,1.710,1.640,1900.000,318000.000
1981-10-20,1.640,1.622,1.684,1.640,1964.000,325000.000
1981-10-21,1.640,1.640,1.684,1.684,443.000,74000.000
1981-10-22,1.684,1.675,1.737,1.737,479.000,82000.000
1981-10-23,1.737,1.719,1.763,1.737,1061.000,185000.000
1981-10-26,1.737,1.701,1.737,1.710,290.000,50000.000
1981-10-27,1.710,1.693,1.737,1.710,760.000,130000.000
1981-10-28,1.710,1.693,1.728,1.693,635.000,109000.000
1981-10-29,1.693,1.684,1.728,1.710,486.000,83000.000
1981-10-30,1.742,1.707,1.770,1.734,1104.000,192000.000
1981-11-02,1.760,1.760,1.814,1.760,759.000,136000.000
1981-11-03,1.760,1.725,1.760,1.725,2301.000,401000.000
1981-11-04,1.725,1.707,1.742,1.742,591.000,102000.000
1981-11-05,1.742,1.716,1.778,1.725,835.000,146000.000
1981-11-06,1.716,1.671,1.716,1.680,1560.000,264000.000
1981-11-09,1.680,1.653,1.716,1.653,992.000,167000.000
1981-11-10,1.653,1.626,1.689,1.671,1313.000,218000.000
1981-11-11,1.671,1.662,1.689,1.671,1044.000,175000.000
1981-11-12,1.671,1.644,1.680,1.680,859.000,143000.000
1981-11-13,1.680,1.653,1.680,1.662,1118.000,186000.000
1981-11-16,1.662,1.635,1.662,1.662,2132.000,351000.000
1981-11-17,1.662,1.644,1.671,1.662,2676.000,443000.000
1981-11-18,1.662,1.653,1.716,1.689,852.000,143000.000
1981-11-19,1.689,1.689,1.742,1.742,1773.000,304000.000
1981-11-20,1.742,1.742,1.787,1.778,821.000,145000.000
1981-11-23,1.778,1.770,1.796,1.778,865.000,154000.000
1981-11-24,1.778,1.778,1.859,1.850,1570.000,286000.000
1981-11-25,1.850,1.832,1.904,1.841,2227.000,416000.000
1981-11-27,1.850,1.850,1.895,1.877,1209.000,226000.000
1981-11-30,1.877,1.859,1.904,1.895,1060.000,199000.000
1981-12-01,1.904,1.904,1.949,1.949,1882.000,363000.000
1981-12-02,1.949,1.931,1.967,1.931,1737.000,339000.000
1981-12-03,1.931,1.913,1.949,1.940,1918.000,370000.000
1981-12-04,1.940,1.922,1.958,1.922,1432.000,278000.000
1981-12-07,1.922,1.904,1.931,1.904,417.000,80000.000
1981-12-08,1.904,1.895,1.931,1.904,836.000,160000.000
1981-12-09,1.904,1.868,1.931,1.913,865.000,164000.000
1981-12-10,1.913,1.877,1.940,1.886,513.000,98000.000
1981-12-11,1.886,1.868,1.895,1.868,1158.000,218000.000
1981-12-14,1.868,1.796,1.868,1.805,635.000,116000.000
1981-12-15,1.805,1.787,1.823,1.805,720.000,130000.000
1981-12-16,1.805,1.787,1.823,1.796,597.000,108000.000
1981-12-17,1.796,1.796,1.823,1.805,562.000,102000.000
1981-12-18,1.805,1.778,1.805,1.796,3112.000,558000.000
1981-12-21,1.796,1.778,1.805,1.778,719.000,129000.000
1981-12-22,1.778,1.770,1.805,1.778,1918.000,343000.000
1981-12-23,1.787,1.787,1.841,1.814,1366.000,248000.000
1981-12-24,1.823,1.823,1.841,1.832,483.000,89000.000
1981-12-28,1.832,1.832,1.850,1.850,304.000,56000.000
1981-12-29,1.850,1.832,1.859,1.841,871.000,161000.000
1981-12-30,1.841,1.814,1.850,1.814,379.000,69000.000
1981-12-31,1.823,1.823,1.850,1.841,208.000,38000.000
1982-01-04,1.859,1.841,1.877,1.868,266.000,49000.000
1982-01-05,1.859,1.841,1.877,1.850,927.000,172000.000
1982-01-06,1.841,1.823,1.859,1.832,1391.000,256000.000
1982-01-07,1.814,1.787,1.832,1.823,369.000,67000.000
1982-01-08,1.814,1.796,1.832,1.832,922.000,167000.000
1982-01-11,1.814,1.796,1.832,1.805,355.000,64000.000
1982-01-12,1.778,1.752,1.796,1.770,1744.000,309000.000
1982-01-13,1.742,1.707,1.770,1.716,1831.000,318000.000
1982-01-14,1.734,1.716,1.742,1.742,584.000,101000.000
1982-01-15,1.752,1.734,1.760,1.752,901.000,157000.000
1982-01-18,1.752,1.734,1.770,1.752,945.000,166000.000
1982-01-19,1.770,1.752,1.778,1.760,1375.000,243000.000
1982-01-20,1.752,1.742,1.760,1.742,1595.000,279000.000
1982-01-21,1.742,1.734,1.752,1.752,484.000,84000.000
1982-01-22,1.734,1.716,1.742,1.725,936.000,162000.000
1982-01-25,1.680,1.662,1.689,1.671,678.000,114000.000
1982-01-26,1.635,1.617,1.653,1.626,18139.000,2965000.000
1982-01-27,1.635,1.626,1.644,1.644,974.000,159000.000
1982-01-28,1.662,1.644,1.671,1.662,2361.000,391000.000
1982-01-29,1.653,1.635,1.662,1.653,1452.000,239000.000
1982-02-01,1.649,1.631,1.667,1.640,1003.000,165000.000
1982-02-02,1.631,1.622,1.640,1.631,533.000,87000.000
1982-02-03,1.622,1.603,1.631,1.612,1110.000,179000.000
1982-02-04,1.612,1.603,1.612,1.612,1265.000,203000.000
1982-02-05,1.631,1.612,1.640,1.631,457.000,74000.000
1982-02-08,1.622,1.603,1.631,1.622,816.000,132000.000
1982-02-09,1.640,1.612,1.658,1.649,572.000,94000.000
1982-02-10,1.686,1.658,1.704,1.686,1766.000,297000.000
1982-02-11,1.695,1.676,1.704,1.686,706.000,119000.000
1982-02-12,1.713,1.695,1.722,1.722,785.000,134000.000
1982-02-16,1.704,1.676,1.722,1.686,989.000,168000.000
1982-02-17,1.676,1.658,1.695,1.686,1593.000,267000.000
1982-02-18,1.667,1.649,1.676,1.667,1419.000,236000.000
1982-02-19,1.667,1.649,1.686,1.658,1815.000,303000.000
1982-02-22,1.667,1.631,1.704,1.631,1620.000,270000.000
1982-02-23,1.631,1.612,1.640,1.640,1046.000,170000.000
1982-02-24,1.667,1.622,1.704,1.704,577.000,96000.000
1982-02-25,1.732,1.704,1.759,1.732,542.000,94000.000
1982-02-26,1.732,1.713,1.741,1.722,2054.000,355000.000
1982-03-01,1.741,1.713,1.759,1.750,707.000,123000.000
1982-03-02,1.796,1.768,1.823,1.796,710.000,127000.000
1982-03-03,1.796,1.768,1.814,1.796,1163.000,208000.000
1982-03-04,1.786,1.759,1.805,1.759,1660.000,296000.000
1982-03-05,1.750,1.722,1.768,1.759,1365.000,238000.000
1982-03-08,1.768,1.741,1.786,1.741,931.000,164000.000
1982-03-09,1.704,1.658,1.750,1.741,1369.000,233000.000
1982-03-10,1.750,1.732,1.759,1.741,930.000,162000.000
1982-03-11,1.759,1.732,1.777,1.768,1183.000,208000.000
1982-03-12,1.759,1.741,1.777,1.777,910.000,160000.000
1982-03-15,1.759,1.722,1.786,1.722,994.000,174000.000
1982-03-16,1.741,1.722,1.759,1.750,971.000,169000.000
1982-03-17,1.750,1.732,1.759,1.732,653.000,114000.000
1982-03-18,1.768,1.732,1.796,1.777,2751.000,485000.000
1982-03-19,1.768,1.750,1.786,1.768,1202.000,213000.000
1982-03-22,1.777,1.750,1.796,1.796,2254.000,400000.000
1982-03-23,1.796,1.786,1.805,1.786,605.000,109000.000
1982-03-24,1.786,1.768,1.796,1.786,2817.000,502000.000
1982-03-25,1.786,1.768,1.796,1.796,718.000,128000.000
1982-03-26,1.796,1.777,1.805,1.777,1671.000,299000.000
1982-03-29,1.814,1.777,1.841,1.841,738.000,134000.000
1982-03-30,1.851,1.832,1.860,1.832,504.000,93000.000
1982-03-31,1.823,1.805,1.832,1.805,222.000,40000.000
1982-04-01,1.814,1.796,1.823,1.814,419.000,76000.000
1982-04-02,1.851,1.832,1.860,1.841,1360.000,251000.000
1982-04-05,1.851,1.832,1.869,1.869,1634.000,302000.000
1982-04-06,1.860,1.841,1.869,1.860,703.000,130000.000
1982-04-07,1.878,1.841,1.906,1.896,800.000,150000.000
1982-04-08,1.878,1.851,1.896,1.878,2116.000,396000.000
1982-04-12,1.860,1.832,1.878,1.832,364.000,68000.000
1982-04-13,1.814,1.805,1.823,1.823,350.000,63000.000
1982-04-14,1.796,1.750,1.832,1.777,1401.000,251000.000
1982-04-15,1.768,1.741,1.786,1.786,689.000,122000.000
1982-04-16,1.805,1.759,1.841,1.841,1000.000,180000.000
1982-04-19,1.851,1.832,1.860,1.851,1755.000,324000.000
1982-04-20,1.851,1.832,1.860,1.841,376.000,69000.000
1982-04-21,1.805,1.768,1.832,1.832,229.000,41000.000
1982-04-22,1.814,1.805,1.823,1.823,2788.000,506000.000
1982-04-23,1.823,1.814,1.832,1.823,1641.000,299000.000
1982-04-26,1.841,1.823,1.851,1.851,1520.000,279000.000
1982-04-27,1.860,1.851,1.860,1.851,569.000,106000.000
1982-04-28,1.823,1.786,1.851,1.796,713.000,130000.000
1982-04-29,1.814,1.796,1.823,1.823,616.000,111000.000
1982-04-30,1.823,1.805,1.832,1.832,590.000,107000.000
1982-05-03,1.847,1.829,1.857,1.829,1141.000,210000.000
1982-05-04,1.847,1.838,1.847,1.847,623.000,115000.000
1982-05-05,1.875,1.857,1.885,1.875,3203.000,599000.000
1982-05-06,1.931,1.894,1.969,1.969,1668.000,322000.000
1982-05-07,1.950,1.931,1.969,1.950,1080.000,211000.000
1982-05-10,1.950,1.941,1.959,1.950,759.000,148000.000
1982-05-11,1.969,1.950,1.987,1.969,1337.000,263000.000
1982-05-12,1.987,1.969,1.997,1.969,2427.000,481000.000
1982-05-13,1.997,1.978,2.015,2.015,866.000,173000.000
1982-05-14,2.006,1.987,2.015,1.987,2322.000,465000.000
1982-05-17,1.997,1.987,2.015,1.987,2322.000,465000.000
1982-05-18,1.847,1.829,1.866,1.847,619.000,114000.000
1982-05-19,1.875,1.847,1.894,1.885,284.000,53000.000
1982-05-20,1.838,1.810,1.866,1.810,728.000,134000.000
1982-05-21,1.773,1.717,1.829,1.754,1200.000,213000.000
1982-05-24,1.782,1.754,1.810,1.791,765.000,136000.000
1982-05-25,1.810,1.791,1.829,1.791,506.000,92000.000
1982-05-26,1.782,1.754,1.810,1.754,459.000,82000.000
1982-05-27,1.763,1.745,1.782,1.782,691.000,122000.000
1982-05-28,1.782,1.754,1.801,1.773,759.000,135000.000
1982-06-01,1.763,1.726,1.791,1.735,573.000,101000.000
1982-06-02,1.754,1.735,1.763,1.745,1482.000,259000.000
1982-06-03,1.763,1.745,1.773,1.745,659.000,116000.000
1982-06-04,1.754,1.726,1.773,1.726,1950.000,341000.000
1982-06-07,1.726,1.698,1.745,1.717,619.000,107000.000
1982-06-08,1.726,1.707,1.735,1.717,572.000,98000.000
1982-06-09,1.707,1.689,1.717,1.707,439.000,75000.000
1982-06-10,1.717,1.689,1.735,1.717,712.000,122000.000
1982-06-11,1.791,1.763,1.810,1.782,1173.000,210000.000
1982-06-14,1.791,1.763,1.819,1.801,1073.000,192000.000
1982-06-15,1.810,1.791,1.819,1.819,616.000,111000.000
1982-06-16,1.838,1.810,1.857,1.819,1671.000,306000.000
1982-06-17,1.782,1.763,1.801,1.782,887.000,158000.000
1982-06-18,1.791,1.773,1.801,1.791,2245.000,401000.000
1982-06-21,1.763,1.735,1.791,1.735,463.000,82000.000
1982-06-22,1.745,1.717,1.763,1.763,477.000,83000.000
1982-06-23,1.801,1.773,1.819,1.819,1318.000,237000.000
1982-06-24,1.782,1.763,1.801,1.773,783.000,140000.000
1982-06-25,1.745,1.707,1.773,1.726,465.000,81000.000
1982-06-28,1.698,1.679,1.707,1.707,849.000,144000.000
1982-06-29,1.698,1.689,1.707,1.689,882.000,150000.000
1982-06-30,1.698,1.679,1.717,1.698,1907.000,324000.000
1982-07-01,1.698,1.679,1.717,1.717,426.000,72000.000
1982-07-02,1.689,1.651,1.717,1.661,269.000,45000.000
1982-07-06,1.679,1.642,1.717,1.717,1181.000,198000.000
1982-07-07,1.773,1.735,1.810,1.810,1732.000,307000.000
1982-07-08,1.801,1.763,1.838,1.838,962.000,173000.000
1982-07-09,1.838,1.819,1.847,1.847,1837.000,337000.000
1982-07-12,1.782,1.763,1.801,1.782,1318.000,235000.000
1982-07-13,1.801,1.791,1.819,1.810,2863.000,517000.000
1982-07-14,1.717,1.642,1.717,1.717,947.000,159000.000
1982-07-15,1.782,1.763,1.791,1.791,722.000,128000.000
1982-07-16,1.782,1.763,1.801,1.791,1424.000,254000.000
1982-07-19,1.773,1.745,1.801,1.754,509.000,90000.000
1982-07-20,1.763,1.735,1.782,1.782,756.000,133000.000
1982-07-21,1.782,1.773,1.791,1.782,596.000,106000.000
1982-07-22,1.791,1.773,1.801,1.791,2419.000,432000.000
1982-07-23,1.810,1.782,1.829,1.819,1256.000,227000.000
1982-07-26,1.819,1.801,1.829,1.829,509.000,92000.000
