9N0500,C,CITIGROUP INC,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-17,1.666,1.656,1.686,1.676,245.000,41000.000
1981-06-18,1.676,1.671,1.701,1.676,299.000,50000.000
1981-06-19,1.676,1.650,1.686,1.650,180.000,30000.000
1981-06-22,1.656,1.656,1.676,1.666,177.000,29000.000
1981-06-23,1.666,1.661,1.676,1.671,215.000,36000.000
1981-06-24,1.671,1.640,1.671,1.650,312.000,52000.000
1981-06-25,1.650,1.620,1.666,1.630,195.000,32000.000
1981-06-26,1.630,1.615,1.635,1.615,296.000,48000.000
1981-06-29,1.615,1.595,1.620,1.600,246.000,40000.000
1981-06-30,1.600,1.600,1.615,1.610,501.000,81000.000
1981-07-01,1.610,1.610,1.615,1.610,207.000,33000.000
1981-07-02,1.620,1.620,1.656,1.620,723.000,118000.000
1981-07-06,1.620,1.590,1.630,1.600,430.000,69000.000
1981-07-07,1.610,1.610,1.615,1.615,245.000,40000.000
1981-07-08,1.615,1.600,1.625,1.610,199.000,32000.000
1981-07-09,1.610,1.600,1.620,1.605,140.000,23000.000
1981-07-10,1.605,1.600,1.620,1.605,554.000,89000.000
1981-07-13,1.585,1.570,1.585,1.575,155.000,24000.000
1981-07-14,1.575,1.535,1.575,1.540,217.000,34000.000
1981-07-15,1.545,1.545,1.575,1.570,241.000,38000.000
1981-07-16,1.570,1.560,1.590,1.565,515.000,81000.000
1981-07-17,1.565,1.555,1.575,1.555,109.000,17000.000
1981-07-20,1.550,1.489,1.550,1.500,276.000,42000.000
1981-07-21,1.489,1.439,1.489,1.459,369.000,54000.000
1981-07-22,1.469,1.469,1.505,1.479,364.000,54000.000
1981-07-23,1.479,1.459,1.500,1.489,579.000,86000.000
1981-07-24,1.500,1.500,1.510,1.505,68.000,10000.000
1981-07-27,1.505,1.505,1.515,1.505,111.000,17000.000
1981-07-28,1.505,1.484,1.510,1.484,141.000,21000.000
1981-07-29,1.484,1.474,1.489,1.474,294.000,44000.000
1981-07-30,1.479,1.479,1.495,1.484,524.000,78000.000
1981-07-31,1.484,1.484,1.495,1.484,480.000,71000.000
1981-08-03,1.484,1.469,1.484,1.484,237.000,35000.000
1981-08-04,1.484,1.469,1.484,1.484,337.000,50000.000
1981-08-05,1.484,1.479,1.505,1.505,462.000,69000.000
1981-08-06,1.515,1.515,1.530,1.520,291.000,44000.000
1981-08-07,1.520,1.510,1.530,1.515,173.000,26000.000
1981-08-10,1.515,1.510,1.530,1.515,299.000,45000.000
1981-08-11,1.515,1.479,1.515,1.489,435.000,65000.000
1981-08-12,1.484,1.474,1.484,1.479,375.000,55000.000
1981-08-13,1.479,1.469,1.484,1.469,450.000,66000.000
1981-08-14,1.469,1.464,1.474,1.474,207.000,30000.000
1981-08-17,1.469,1.459,1.469,1.464,122.000,18000.000
1981-08-18,1.459,1.429,1.459,1.439,741.000,107000.000
1981-08-19,1.439,1.409,1.449,1.429,224.000,32000.000
1981-08-20,1.429,1.414,1.434,1.424,79.000,11000.000
1981-08-21,1.424,1.384,1.429,1.384,403.000,57000.000
1981-08-24,1.384,1.349,1.384,1.369,892.000,122000.000
1981-08-25,1.369,1.349,1.404,1.404,420.000,58000.000
1981-08-26,1.404,1.399,1.424,1.419,308.000,43000.000
1981-08-27,1.419,1.404,1.424,1.404,420.000,59000.000
1981-08-28,1.404,1.399,1.414,1.404,216.000,30000.000
1981-08-31,1.404,1.374,1.409,1.379,417.000,58000.000
1981-09-01,1.369,1.349,1.369,1.359,294.000,40000.000
1981-09-02,1.359,1.359,1.369,1.364,136.000,19000.000
1981-09-03,1.364,1.303,1.369,1.303,1375.000,184000.000
1981-09-04,1.303,1.298,1.323,1.318,1033.000,135000.000
1981-09-08,1.318,1.273,1.318,1.293,586.000,76000.000
1981-09-09,1.293,1.288,1.308,1.308,190.000,25000.000
1981-09-10,1.313,1.313,1.359,1.354,363.000,48000.000
1981-09-11,1.349,1.313,1.349,1.333,339.000,45000.000
1981-09-14,1.328,1.313,1.328,1.318,103.000,14000.000
1981-09-15,1.318,1.318,1.339,1.323,499.000,66000.000
1981-09-16,1.323,1.283,1.323,1.313,1278.000,167000.000
1981-09-17,1.313,1.288,1.323,1.288,549.000,72000.000
1981-09-18,1.288,1.238,1.293,1.248,345.000,44000.000
1981-09-21,1.248,1.233,1.258,1.248,861.000,107000.000
1981-09-22,1.253,1.253,1.313,1.288,778.000,100000.000
1981-09-23,1.283,1.248,1.283,1.273,885.000,112000.000
1981-09-24,1.273,1.253,1.283,1.258,268.000,34000.000
1981-09-25,1.248,1.188,1.248,1.198,1847.000,225000.000
1981-09-28,1.198,1.167,1.253,1.243,1125.000,136000.000
1981-09-29,1.258,1.258,1.273,1.258,689.000,87000.000
1981-09-30,1.258,1.253,1.288,1.278,531.000,67000.000
1981-10-01,1.278,1.278,1.323,1.288,696.000,91000.000
1981-10-02,1.293,1.293,1.318,1.308,433.000,57000.000
1981-10-05,1.313,1.313,1.328,1.318,787.000,104000.000
1981-10-06,1.328,1.328,1.389,1.364,632.000,86000.000
1981-10-07,1.374,1.374,1.459,1.444,852.000,121000.000
1981-10-08,1.444,1.419,1.449,1.439,540.000,77000.000
1981-10-09,1.439,1.419,1.479,1.479,506.000,73000.000
1981-10-12,1.429,1.384,1.429,1.394,522.000,73000.000
1981-10-13,1.394,1.389,1.429,1.414,450.000,63000.000
1981-10-14,1.414,1.369,1.414,1.369,383.000,53000.000
1981-10-15,1.369,1.333,1.369,1.344,811.000,110000.000
1981-10-16,1.344,1.333,1.349,1.344,182.000,24000.000
1981-10-19,1.333,1.313,1.333,1.323,304.000,40000.000
1981-10-20,1.323,1.318,1.349,1.339,428.000,57000.000
1981-10-21,1.333,1.313,1.333,1.318,773.000,102000.000
1981-10-22,1.313,1.298,1.313,1.308,148.000,19000.000
1981-10-23,1.308,1.283,1.308,1.293,232.000,30000.000
1981-10-26,1.293,1.288,1.303,1.303,296.000,38000.000
1981-10-27,1.303,1.298,1.374,1.354,1052.000,141000.000
1981-10-28,1.344,1.288,1.344,1.308,3560.000,468000.000
1981-10-29,1.313,1.313,1.364,1.354,688.000,92000.000
1981-10-30,1.354,1.339,1.444,1.444,729.000,101000.000
1981-11-02,1.449,1.449,1.489,1.479,1636.000,240000.000
1981-11-03,1.479,1.464,1.495,1.489,1653.000,245000.000
1981-11-04,1.489,1.469,1.495,1.474,1129.000,167000.000
1981-11-05,1.474,1.424,1.484,1.429,912.000,133000.000
1981-11-06,1.429,1.389,1.429,1.419,748.000,105000.000
1981-11-09,1.419,1.419,1.439,1.419,264.000,38000.000
1981-11-10,1.419,1.414,1.469,1.429,786.000,113000.000
1981-11-11,1.434,1.434,1.469,1.469,552.000,80000.000
1981-11-12,1.469,1.434,1.489,1.439,905.000,132000.000
1981-11-13,1.439,1.429,1.449,1.429,192.000,28000.000
1981-11-16,1.429,1.399,1.434,1.414,434.000,61000.000
1981-11-17,1.409,1.384,1.409,1.409,410.000,57000.000
1981-11-18,1.409,1.389,1.409,1.389,401.000,56000.000
1981-11-19,1.389,1.384,1.404,1.389,329.000,46000.000
1981-11-20,1.389,1.384,1.394,1.394,122.000,17000.000
1981-11-23,1.394,1.379,1.394,1.379,142.000,20000.000
1981-11-24,1.379,1.374,1.384,1.374,87.000,12000.000
1981-11-25,1.374,1.328,1.374,1.369,353.000,48000.000
1981-11-27,1.369,1.359,1.399,1.384,453.000,62000.000
1981-11-30,1.384,1.369,1.394,1.394,333.000,46000.000
1981-12-01,1.394,1.384,1.399,1.384,621.000,86000.000
1981-12-02,1.384,1.384,1.394,1.389,244.000,34000.000
