9N0873,DD,DU PONT E I DE NEM,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-22,3.985,3.947,4.013,3.957,654.000,260000.000
1981-06-23,3.957,3.957,4.079,4.060,1583.000,636000.000
1981-06-24,4.060,3.985,4.060,4.022,743.000,299000.000
1981-06-25,4.022,3.966,4.041,3.966,925.000,370000.000
1981-06-26,3.966,3.947,4.004,3.985,561.000,223000.000
1981-06-29,4.004,4.004,4.051,4.032,1175.000,473000.000
1981-06-30,4.032,3.966,4.032,3.994,998.000,399000.000
1981-07-01,3.994,3.910,3.994,3.910,2251.000,890000.000
1981-07-02,3.910,3.853,3.957,3.853,1475.000,576000.000
1981-07-06,3.553,3.383,3.553,3.487,11860.000,4113000.000
1981-07-07,3.487,3.383,3.515,3.496,7234.000,2495000.000
1981-07-08,3.496,3.411,3.515,3.411,5436.000,1883000.000
1981-07-09,3.477,3.477,3.515,3.496,2054.000,718000.000
1981-07-10,3.515,3.515,3.581,3.553,4939.000,1752000.000
1981-07-13,3.553,3.543,3.628,3.553,3683.000,1320000.000
1981-07-14,3.553,3.553,3.599,3.553,732.000,262000.000
1981-07-15,3.534,3.440,3.534,3.524,2755.000,961000.000
1981-07-16,3.524,3.506,3.553,3.534,2772.000,978000.000
1981-07-17,3.524,3.440,3.524,3.477,2072.000,721000.000
1981-07-20,3.477,3.383,3.477,3.402,1913.000,656000.000
1981-07-21,3.402,3.355,3.440,3.402,4324.000,1469000.000
1981-07-22,3.402,3.299,3.411,3.365,1795.000,602000.000
1981-07-23,3.365,3.270,3.374,3.346,3045.000,1012000.000
1981-07-24,3.346,3.336,3.421,3.421,2758.000,932000.000
1981-07-27,3.421,3.421,3.477,3.421,1068.000,368000.000
1981-07-28,3.421,3.402,3.440,3.440,1067.000,365000.000
1981-07-29,3.440,3.346,3.449,3.365,2466.000,838000.000
1981-07-30,3.365,3.327,3.383,3.374,2030.000,681000.000
1981-07-31,3.374,3.374,3.421,3.421,1219.000,414000.000
1981-08-03,3.421,3.355,3.430,3.430,2930.000,994000.000
1981-08-04,3.430,3.365,3.430,3.430,2005.000,681000.000
1981-08-05,3.449,3.449,3.599,3.543,5503.000,1939000.000
1981-08-06,3.543,3.458,3.581,3.458,7886.000,2776000.000
1981-08-07,3.458,3.440,3.534,3.534,3824.000,1333000.000
1981-08-10,3.532,3.484,3.532,3.484,3055.000,1072000.000
1981-08-11,3.484,3.389,3.503,3.408,3521.000,1213000.000
1981-08-12,3.408,3.398,3.446,3.408,2734.000,936000.000
1981-08-13,3.408,3.332,3.427,3.351,2092.000,707000.000
1981-08-14,3.351,3.275,3.360,3.284,1648.000,547000.000
1981-08-17,3.284,3.208,3.332,3.256,2604.000,851000.000
1981-08-18,3.256,3.218,3.341,3.341,3265.000,1071000.000
1981-08-19,3.341,3.332,3.446,3.418,6165.000,2089000.000
1981-08-20,3.418,3.408,3.446,3.427,2139.000,733000.000
1981-08-21,3.418,3.360,3.418,3.389,1473.000,499000.000
1981-08-24,3.389,3.256,3.389,3.256,1584.000,526000.000
1981-08-25,3.256,3.227,3.303,3.303,2876.000,939000.000
1981-08-26,3.303,3.237,3.341,3.246,2520.000,829000.000
1981-08-27,3.246,3.199,3.265,3.218,2388.000,772000.000
1981-08-28,3.218,3.141,3.237,3.189,1973.000,629000.000
1981-08-31,3.189,3.084,3.227,3.094,2976.000,939000.000
1981-09-01,3.094,3.084,3.141,3.132,2413.000,751000.000
1981-09-02,3.132,3.113,3.161,3.132,1182.000,371000.000
1981-09-03,3.132,3.008,3.151,3.027,3719.000,1145000.000
1981-09-04,3.027,2.999,3.056,3.027,2319.000,702000.000
1981-09-08,3.027,2.904,3.037,2.970,3449.000,1024000.000
1981-09-09,2.970,2.942,3.037,2.980,2576.000,770000.000
1981-09-10,2.999,2.999,3.056,3.018,2160.000,654000.000
1981-09-11,3.018,2.999,3.065,3.046,2881.000,874000.000
1981-09-14,3.046,3.008,3.103,3.037,2849.000,871000.000
1981-09-15,3.037,3.037,3.122,3.075,2273.000,700000.000
1981-09-16,3.046,3.008,3.046,3.037,2863.000,867000.000
1981-09-17,3.037,3.008,3.084,3.008,2427.000,739000.000
1981-09-18,3.008,2.980,3.046,3.008,3297.000,993000.000
1981-09-21,3.008,2.951,3.037,3.008,2046.000,613000.000
1981-09-22,2.989,2.922,2.989,2.922,5871.000,1735000.000
1981-09-23,2.922,2.865,2.932,2.913,3191.000,925000.000
1981-09-24,2.913,2.894,2.951,2.913,2036.000,595000.000
1981-09-25,2.894,2.846,2.894,2.856,5539.000,1590000.000
1981-09-28,2.856,2.789,2.942,2.942,4774.000,1368000.000
1981-09-29,2.942,2.894,2.951,2.904,2164.000,632000.000
1981-09-30,2.904,2.856,2.904,2.904,2453.000,706000.000
1981-10-01,2.904,2.865,2.904,2.884,2708.000,781000.000
1981-10-02,2.894,2.894,2.999,2.999,4562.000,1344000.000
1981-10-05,2.999,2.942,3.027,2.970,3024.000,902000.000
1981-10-06,2.970,2.913,3.018,2.961,2166.000,642000.000
1981-10-07,2.961,2.961,3.027,3.018,1815.000,543000.000
1981-10-08,3.018,2.970,3.027,3.018,2545.000,763000.000
1981-10-09,3.018,2.913,3.037,2.961,3394.000,1010000.000
1981-10-12,2.961,2.894,2.970,2.942,889.000,261000.000
1981-10-13,2.942,2.884,2.942,2.894,2114.000,616000.000
1981-10-14,2.894,2.884,2.932,2.894,2277.000,662000.000
1981-10-15,2.894,2.894,2.922,2.894,1774.000,516000.000
1981-10-16,2.894,2.846,2.913,2.846,2167.000,624000.000
1981-10-19,2.846,2.827,2.865,2.856,2981.000,848000.000
1981-10-20,2.856,2.818,2.894,2.837,2486.000,710000.000
1981-10-21,2.837,2.761,2.856,2.770,2763.000,776000.000
1981-10-22,2.770,2.723,2.799,2.789,1988.000,549000.000
1981-10-23,2.789,2.742,2.808,2.780,2322.000,644000.000
1981-10-26,2.780,2.732,2.789,2.761,2139.000,591000.000
1981-10-27,2.761,2.761,2.818,2.780,1641.000,458000.000
1981-10-28,2.780,2.761,2.799,2.780,2315.000,644000.000
1981-10-29,2.780,2.780,2.865,2.865,2616.000,738000.000
1981-10-30,2.884,2.884,3.084,3.084,4456.000,1330000.000
1981-11-02,3.084,3.018,3.113,3.037,4747.000,1455000.000
1981-11-03,3.037,2.999,3.037,3.027,2859.000,863000.000
1981-11-04,3.027,2.989,3.084,3.075,3226.000,980000.000
1981-11-05,3.075,2.980,3.161,3.008,3853.000,1183000.000
1981-11-06,3.008,2.989,3.027,2.999,1363.000,410000.000
1981-11-09,2.999,2.942,3.008,2.970,2080.000,619000.000
1981-11-10,2.970,2.961,3.008,2.970,1516.000,452000.000
1981-11-11,2.970,2.922,2.980,2.970,1166.000,344000.000
1981-11-12,2.970,2.922,3.018,2.942,2982.000,886000.000
1981-11-13,2.942,2.932,2.999,2.999,2190.000,649000.000
1981-11-16,2.999,2.942,2.999,2.989,4047.000,1202000.000
1981-11-17,2.989,2.980,3.037,3.008,5263.000,1583000.000
1981-11-18,2.994,2.887,2.994,2.907,4705.000,1384000.000
1981-11-19,2.907,2.858,2.926,2.897,2504.000,724000.000
1981-11-20,2.897,2.829,2.907,2.848,2700.000,774000.000
1981-11-23,2.858,2.858,2.926,2.878,3006.000,869000.000
1981-11-24,2.897,2.897,2.985,2.975,3479.000,1023000.000
1981-11-25,2.985,2.985,3.024,3.024,3415.000,1026000.000
1981-11-27,3.024,3.004,3.073,3.073,2312.000,702000.000
1981-11-30,3.073,3.043,3.151,3.131,3350.000,1037000.000
1981-12-01,3.131,3.112,3.209,3.180,3064.000,968000.000
1981-12-02,3.170,3.102,3.170,3.121,2142.000,672000.000
1981-12-03,3.121,3.102,3.141,3.102,1176.000,367000.000
1981-12-04,3.102,3.102,3.180,3.151,1638.000,514000.000
1981-12-07,3.151,3.131,3.190,3.141,1633.000,516000.000
1981-12-08,3.141,3.102,3.141,3.102,1507.000,470000.000
1981-12-09,3.102,3.092,3.151,3.121,1525.000,476000.000
1981-12-10,3.121,3.112,3.141,3.121,2206.000,690000.000
1981-12-11,3.121,3.063,3.121,3.063,1649.000,510000.000
1981-12-14,3.063,3.014,3.063,3.024,1560.000,474000.000
1981-12-15,3.024,2.994,3.043,3.004,1475.000,445000.000
1981-12-16,3.004,2.946,3.004,2.965,2909.000,865000.000
1981-12-17,2.965,2.946,3.004,3.004,1754.000,522000.000
1981-12-18,3.004,2.985,3.043,2.985,1869.000,563000.000
1981-12-21,2.985,2.985,3.024,3.004,1738.000,522000.000
1981-12-22,3.004,2.955,3.033,2.965,2154.000,645000.000
1981-12-23,2.965,2.887,2.975,2.897,3531.000,1035000.000
1981-12-24,2.897,2.897,2.955,2.955,1234.000,361000.000
1981-12-28,2.955,2.936,2.965,2.936,1301.000,384000.000
1981-12-29,2.936,2.897,2.965,2.897,1945.000,570000.000
1981-12-30,2.897,2.897,2.955,2.907,2102.000,615000.000
1981-12-31,2.907,2.907,2.946,2.907,1526.000,447000.000
