9N1031,EK,EASTMAN KODAK CO,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-22,12.142,12.122,12.261,12.222,1179.000,1437000.000
1981-06-23,12.222,12.202,12.360,12.340,1279.000,1571000.000
1981-06-24,12.340,12.162,12.340,12.261,1500.000,1838000.000
1981-06-25,12.261,12.202,12.360,12.202,867.000,1065000.000
1981-06-26,12.202,12.102,12.241,12.162,1035.000,1260000.000
1981-06-29,12.162,11.983,12.222,11.983,1431.000,1732000.000
1981-06-30,11.983,11.805,12.003,11.864,1480.000,1762000.000
1981-07-01,11.844,11.468,11.844,11.468,3666.000,4273000.000
1981-07-02,11.468,11.388,11.547,11.428,3510.000,4025000.000
1981-07-06,11.408,11.309,11.408,11.349,2595.000,2948000.000
1981-07-07,11.349,11.269,11.448,11.388,1677.000,1905000.000
1981-07-08,11.388,11.329,11.606,11.527,2960.000,3394000.000
1981-07-09,11.527,11.527,11.686,11.666,2398.000,2783000.000
1981-07-10,11.666,11.547,11.726,11.646,1360.000,1583000.000
1981-07-13,11.606,11.269,11.606,11.309,847.000,969000.000
1981-07-14,11.309,10.952,11.309,11.150,3755.000,4179000.000
1981-07-15,11.150,11.071,11.190,11.130,1077.000,1199000.000
1981-07-16,11.130,11.111,11.210,11.210,1376.000,1536000.000
1981-07-17,11.229,11.229,11.448,11.448,1733.000,1965000.000
1981-07-20,11.408,11.210,11.408,11.269,1284.000,1452000.000
1981-07-21,11.269,11.190,11.349,11.309,2376.000,2678000.000
1981-07-22,11.309,11.289,11.468,11.309,1786.000,2032000.000
1981-07-23,11.309,11.269,11.468,11.388,1274.000,1448000.000
1981-07-24,11.388,11.368,11.527,11.468,1501.000,1718000.000
1981-07-27,11.507,11.507,11.626,11.626,1702.000,1969000.000
1981-07-28,11.606,11.468,11.606,11.547,1416.000,1634000.000
1981-07-29,11.587,11.587,11.666,11.626,1321.000,1536000.000
1981-07-30,11.626,11.626,11.745,11.686,1863.000,2177000.000
1981-07-31,11.686,11.686,11.884,11.864,1166.000,1374000.000
1981-08-03,11.864,11.726,11.884,11.785,1112.000,1313000.000
1981-08-04,11.785,11.745,11.944,11.884,1168.000,1383000.000
1981-08-05,11.884,11.805,11.944,11.884,989.000,1174000.000
1981-08-06,11.844,11.745,11.844,11.785,1029.000,1214000.000
1981-08-07,11.785,11.666,11.785,11.726,731.000,857000.000
1981-08-10,11.726,11.626,11.726,11.666,1014.000,1184000.000
1981-08-11,11.666,11.666,11.745,11.726,739.000,865000.000
1981-08-12,11.726,11.686,11.785,11.686,1141.000,1339000.000
1981-08-13,11.686,11.606,11.706,11.606,933.000,1088000.000
1981-08-14,11.606,11.428,11.626,11.428,1150.000,1326000.000
1981-08-17,11.428,11.329,11.448,11.329,1334.000,1519000.000
