9N1325,GE,GEN ELECTRIC CO,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-17,1.349,1.338,1.349,1.346,1719.000,231000.000
1981-06-18,1.346,1.331,1.349,1.331,1848.000,248000.000
1981-06-19,1.331,1.321,1.336,1.323,1444.000,192000.000
1981-06-22,1.323,1.310,1.331,1.310,1349.000,178000.000
1981-06-23,1.313,1.313,1.321,1.321,2022.000,266000.000
1981-06-24,1.321,1.310,1.326,1.321,1492.000,197000.000
1981-06-25,1.321,1.315,1.331,1.315,1335.000,177000.000
1981-06-26,1.315,1.308,1.315,1.308,1311.000,172000.000
1981-06-29,1.308,1.282,1.310,1.287,1345.000,174000.000
1981-06-30,1.287,1.262,1.287,1.267,2008.000,256000.000
1981-07-01,1.267,1.244,1.267,1.244,2088.000,262000.000
1981-07-02,1.244,1.234,1.244,1.239,1753.000,217000.000
1981-07-06,1.239,1.236,1.246,1.239,1209.000,150000.000
1981-07-07,1.241,1.241,1.257,1.244,1880.000,235000.000
1981-07-08,1.246,1.246,1.262,1.257,1108.000,139000.000
1981-07-09,1.257,1.257,1.277,1.277,1502.000,190000.000
1981-07-10,1.285,1.285,1.300,1.297,2264.000,293000.000
1981-07-13,1.297,1.292,1.303,1.292,1115.000,145000.000
1981-07-14,1.292,1.287,1.300,1.300,1586.000,205000.000
1981-07-15,1.300,1.295,1.305,1.300,1335.000,174000.000
1981-07-16,1.300,1.290,1.300,1.295,931.000,121000.000
1981-07-17,1.290,1.262,1.290,1.267,2065.000,263000.000
1981-07-20,1.259,1.226,1.259,1.234,1851.000,230000.000
1981-07-21,1.234,1.223,1.234,1.226,1840.000,226000.000
1981-07-22,1.226,1.218,1.236,1.218,1716.000,211000.000
1981-07-23,1.218,1.216,1.223,1.218,992.000,121000.000
1981-07-24,1.218,1.210,1.228,1.223,2231.000,272000.000
1981-07-27,1.223,1.223,1.236,1.231,2687.000,330000.000
1981-07-28,1.231,1.221,1.236,1.223,2010.000,247000.000
1981-07-29,1.223,1.218,1.223,1.221,749.000,91000.000
1981-07-30,1.221,1.221,1.231,1.231,1263.000,155000.000
1981-07-31,1.231,1.231,1.249,1.249,1944.000,241000.000
1981-08-03,1.249,1.231,1.251,1.236,868.000,108000.000
1981-08-04,1.236,1.216,1.236,1.221,771.000,95000.000
1981-08-05,1.221,1.218,1.249,1.244,2123.000,262000.000
1981-08-06,1.244,1.231,1.246,1.239,1446.000,179000.000
1981-08-07,1.239,1.228,1.239,1.228,911.000,112000.000
1981-08-10,1.226,1.216,1.226,1.216,665.000,81000.000
1981-08-11,1.218,1.218,1.246,1.244,1854.000,228000.000
1981-08-12,1.244,1.228,1.257,1.228,1777.000,221000.000
1981-08-13,1.228,1.218,1.236,1.218,1361.000,167000.000
1981-08-14,1.213,1.182,1.213,1.190,1421.000,170000.000
1981-08-17,1.190,1.187,1.195,1.187,896.000,107000.000
1981-08-18,1.187,1.177,1.195,1.182,1516.000,180000.000
1981-08-19,1.182,1.172,1.182,1.172,1793.000,211000.000
1981-08-20,1.172,1.172,1.182,1.172,1420.000,167000.000
1981-08-21,1.172,1.167,1.175,1.172,1179.000,138000.000
1981-08-24,1.169,1.144,1.169,1.144,2475.000,286000.000
1981-08-25,1.144,1.131,1.159,1.157,3875.000,444000.000
1981-08-26,1.157,1.149,1.162,1.154,1222.000,141000.000
1981-08-27,1.154,1.134,1.159,1.141,701.000,80000.000
1981-08-28,1.144,1.144,1.169,1.159,1153.000,133000.000
1981-08-31,1.159,1.139,1.169,1.144,855.000,99000.000
1981-09-01,1.144,1.139,1.159,1.154,2846.000,327000.000
1981-09-02,1.154,1.152,1.164,1.152,1572.000,182000.000
1981-09-03,1.152,1.146,1.159,1.152,1097.000,126000.000
1981-09-04,1.146,1.131,1.146,1.136,2261.000,257000.000
1981-09-08,1.134,1.111,1.134,1.126,1291.000,145000.000
1981-09-09,1.126,1.111,1.128,1.111,5253.000,588000.000
1981-09-10,1.111,1.098,1.121,1.100,2534.000,281000.000
1981-09-11,1.100,1.098,1.121,1.121,5181.000,575000.000
1981-09-14,1.121,1.108,1.134,1.121,2114.000,237000.000
1981-09-15,1.121,1.105,1.123,1.105,2275.000,254000.000
1981-09-16,1.105,1.095,1.105,1.095,1033.000,114000.000
1981-09-17,1.095,1.077,1.103,1.077,2090.000,228000.000
1981-09-18,1.077,1.054,1.077,1.065,1964.000,209000.000
1981-09-21,1.065,1.062,1.095,1.095,2587.000,279000.000
1981-09-22,1.095,1.090,1.116,1.108,1393.000,154000.000
1981-09-23,1.105,1.062,1.105,1.090,2848.000,309000.000
1981-09-24,1.090,1.072,1.100,1.075,1595.000,173000.000
1981-09-25,1.075,1.047,1.077,1.067,2317.000,246000.000
1981-09-28,1.067,1.052,1.113,1.108,2906.000,315000.000
1981-09-29,1.108,1.100,1.129,1.123,2494.000,278000.000
1981-09-30,1.123,1.113,1.126,1.123,746.000,84000.000
1981-10-01,1.123,1.116,1.154,1.154,1493.000,169000.000
1981-10-02,1.154,1.146,1.157,1.149,1234.000,142000.000
1981-10-05,1.157,1.157,1.169,1.157,1802.000,210000.000
1981-10-06,1.157,1.144,1.167,1.144,1005.000,116000.000
1981-10-07,1.146,1.146,1.167,1.162,1608.000,186000.000
1981-10-08,1.162,1.152,1.182,1.182,1287.000,150000.000
1981-10-09,1.180,1.157,1.180,1.162,1198.000,140000.000
1981-10-12,1.159,1.134,1.159,1.139,868.000,100000.000
1981-10-13,1.139,1.134,1.162,1.159,1218.000,140000.000
1981-10-14,1.154,1.136,1.154,1.136,2748.000,315000.000
1981-10-15,1.139,1.139,1.152,1.146,699.000,80000.000
1981-10-16,1.144,1.136,1.144,1.141,964.000,110000.000
1981-10-19,1.141,1.129,1.141,1.129,965.000,110000.000
1981-10-20,1.129,1.121,1.141,1.129,1935.000,219000.000
1981-10-21,1.129,1.129,1.141,1.131,994.000,113000.000
1981-10-22,1.129,1.108,1.129,1.111,1269.000,142000.000
1981-10-23,1.108,1.098,1.108,1.100,1000.000,110000.000
1981-10-26,1.100,1.090,1.108,1.108,1279.000,141000.000
1981-10-27,1.108,1.103,1.113,1.111,1622.000,180000.000
1981-10-28,1.111,1.095,1.113,1.095,1270.000,140000.000
1981-10-29,1.095,1.088,1.100,1.088,833.000,91000.000
1981-10-30,1.088,1.088,1.111,1.111,1632.000,179000.000
1981-11-02,1.126,1.126,1.146,1.139,2817.000,320000.000
1981-11-03,1.139,1.131,1.144,1.141,1723.000,196000.000
1981-11-04,1.144,1.144,1.159,1.157,2529.000,291000.000
1981-11-05,1.157,1.144,1.157,1.146,1396.000,161000.000
1981-11-06,1.146,1.131,1.149,1.131,1218.000,139000.000
1981-11-09,1.131,1.131,1.146,1.139,1977.000,225000.000
1981-11-10,1.139,1.139,1.157,1.146,2066.000,237000.000
1981-11-11,1.146,1.141,1.167,1.162,1587.000,183000.000
1981-11-12,1.162,1.157,1.180,1.169,1848.000,216000.000
1981-11-13,1.169,1.154,1.169,1.157,1019.000,118000.000
1981-11-16,1.152,1.131,1.152,1.134,1372.000,157000.000
1981-11-17,1.134,1.134,1.144,1.144,1627.000,185000.000
1981-11-18,1.144,1.131,1.152,1.134,1379.000,157000.000
1981-11-19,1.134,1.131,1.149,1.146,800.000,91000.000
1981-11-20,1.146,1.144,1.172,1.167,1464.000,170000.000
1981-11-23,1.175,1.175,1.203,1.185,2052.000,244000.000
1981-11-24,1.190,1.190,1.213,1.213,2266.000,272000.000
1981-11-25,1.213,1.213,1.228,1.221,2640.000,322000.000
1981-11-27,1.221,1.218,1.234,1.231,1149.000,141000.000
1981-11-30,1.231,1.223,1.236,1.236,2631.000,324000.000
1981-12-01,1.234,1.221,1.234,1.223,2484.000,305000.000
1981-12-02,1.223,1.208,1.226,1.211,949.000,115000.000
1981-12-03,1.211,1.203,1.226,1.226,2261.000,275000.000
1981-12-04,1.226,1.213,1.228,1.226,2255.000,275000.000
1981-12-07,1.226,1.218,1.234,1.228,2154.000,264000.000
1981-12-08,1.223,1.213,1.223,1.216,1578.000,192000.000
1981-12-09,1.216,1.211,1.221,1.218,2720.000,331000.000
1981-12-10,1.218,1.216,1.231,1.226,2516.000,308000.000
1981-12-11,1.226,1.221,1.228,1.221,1156.000,142000.000
1981-12-14,1.211,1.187,1.211,1.187,2067.000,248000.000
1981-12-15,1.187,1.187,1.205,1.203,1319.000,158000.000
1981-12-16,1.203,1.190,1.205,1.195,1521.000,182000.000
1981-12-17,1.195,1.190,1.200,1.198,1303.000,156000.000
1981-12-18,1.198,1.198,1.208,1.200,1259.000,151000.000
1981-12-21,1.200,1.185,1.205,1.187,1062.000,127000.000
1981-12-22,1.187,1.180,1.198,1.187,1433.000,170000.000
1981-12-23,1.187,1.185,1.195,1.193,1217.000,145000.000
1981-12-24,1.193,1.185,1.193,1.187,1720.000,204000.000
1981-12-28,1.187,1.182,1.190,1.185,672.000,80000.000
1981-12-29,1.185,1.167,1.187,1.172,1243.000,146000.000
1981-12-30,1.172,1.172,1.182,1.175,523.000,62000.000
1981-12-31,1.175,1.172,1.185,1.175,695.000,82000.000
1982-01-04,1.193,1.182,1.200,1.195,1808.000,215000.000
1982-01-05,1.182,1.169,1.193,1.175,2182.000,258000.000
1982-01-06,1.175,1.167,1.180,1.172,1604.000,188000.000
1982-01-07,1.177,1.172,1.182,1.180,1381.000,163000.000
1982-01-08,1.185,1.180,1.190,1.180,976.000,116000.000
1982-01-11,1.175,1.149,1.198,1.157,1705.000,200000.000
1982-01-12,1.159,1.152,1.167,1.152,1949.000,226000.000
1982-01-13,1.146,1.134,1.159,1.141,2160.000,248000.000
1982-01-14,1.139,1.126,1.149,1.136,1891.000,215000.000
