9N1529,HON,HONEYWELL INTL INC,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-18,4.489,4.437,4.531,4.447,303.000,136000.000
1981-06-19,4.447,4.405,4.447,4.405,549.000,243000.000
1981-06-22,4.405,4.384,4.489,4.489,535.000,237000.000
1981-06-23,4.489,4.458,4.688,4.678,847.000,387000.000
1981-06-24,4.668,4.563,4.668,4.615,612.000,282000.000
1981-06-25,4.615,4.563,4.626,4.573,462.000,212000.000
1981-06-26,4.573,4.542,4.594,4.573,386.000,176000.000
1981-06-29,4.573,4.542,4.584,4.573,296.000,135000.000
1981-06-30,4.573,4.521,4.584,4.521,209.000,95000.000
1981-07-01,4.521,4.510,4.563,4.531,374.000,170000.000
1981-07-02,4.521,4.426,4.521,4.447,351.000,157000.000
1981-07-06,4.458,4.458,4.510,4.489,435.000,195000.000
1981-07-07,4.563,4.563,4.951,4.951,2221.000,1056000.000
1981-07-08,4.856,4.699,4.856,4.762,2048.000,978000.000
1981-07-09,4.835,4.835,5.024,4.951,3965.000,1955000.000
1981-07-10,4.909,4.783,4.909,4.846,955.000,463000.000
1981-07-13,4.846,4.762,4.856,4.793,484.000,233000.000
1981-07-14,4.793,4.720,4.793,4.793,835.000,397000.000
1981-07-15,4.783,4.720,4.783,4.762,747.000,355000.000
1981-07-16,4.762,4.678,4.762,4.688,595.000,281000.000
1981-07-17,4.688,4.678,4.752,4.699,439.000,207000.000
1981-07-20,4.647,4.573,4.647,4.594,554.000,255000.000
1981-07-21,4.594,4.489,4.605,4.521,1131.000,514000.000
1981-07-22,4.521,4.384,4.521,4.384,512.000,228000.000
1981-07-23,4.405,4.405,4.500,4.500,386.000,172000.000
1981-07-24,4.500,4.479,4.521,4.489,527.000,237000.000
1981-07-27,4.489,4.458,4.500,4.458,270.000,121000.000
1981-07-28,4.458,4.426,4.510,4.510,1259.000,563000.000
1981-07-29,4.510,4.468,4.552,4.468,501.000,226000.000
1981-07-30,4.468,4.437,4.489,4.479,357.000,159000.000
1981-07-31,4.479,4.479,4.510,4.510,156.000,70000.000
1981-08-03,4.510,4.500,4.531,4.531,667.000,301000.000
1981-08-04,4.540,4.465,4.540,4.487,1038.000,467000.000
1981-08-05,4.487,4.465,4.529,4.529,550.000,247000.000
1981-08-06,4.529,4.529,4.550,4.529,366.000,166000.000
1981-08-07,4.529,4.455,4.540,4.455,393.000,177000.000
1981-08-10,4.455,4.391,4.465,4.412,804.000,356000.000
1981-08-11,4.423,4.423,4.529,4.529,442.000,198000.000
1981-08-12,4.529,4.529,4.593,4.561,1111.000,507000.000
1981-08-13,4.550,4.497,4.550,4.540,470.000,213000.000
1981-08-14,4.540,4.529,4.561,4.540,256.000,116000.000
1981-08-17,4.540,4.529,4.550,4.540,415.000,188000.000
1981-08-18,4.540,4.529,4.614,4.561,596.000,272000.000
1981-08-19,4.540,4.455,4.540,4.476,656.000,295000.000
1981-08-20,4.497,4.497,4.540,4.529,294.000,133000.000
1981-08-21,4.518,4.476,4.518,4.476,247.000,111000.000
1981-08-24,4.476,4.370,4.476,4.381,422.000,187000.000
1981-08-25,4.327,4.253,4.327,4.296,772.000,331000.000
1981-08-26,4.296,4.274,4.317,4.274,254.000,109000.000
1981-08-27,4.274,4.243,4.274,4.264,407.000,173000.000
1981-08-28,4.264,4.232,4.264,4.243,391.000,166000.000
1981-08-31,4.243,4.084,4.253,4.084,338.000,141000.000
1981-09-01,4.084,4.009,4.094,4.052,1507.000,611000.000
1981-09-02,4.052,4.009,4.062,4.041,432.000,174000.000
1981-09-03,4.041,3.829,4.041,3.829,372.000,146000.000
1981-09-04,3.829,3.787,3.850,3.818,318.000,121000.000
1981-09-08,3.797,3.744,3.797,3.776,287.000,108000.000
1981-09-09,3.776,3.776,3.840,3.808,365.000,139000.000
1981-09-10,3.808,3.808,3.850,3.829,988.000,378000.000
1981-09-11,3.829,3.787,3.893,3.850,797.000,306000.000
1981-09-14,3.850,3.776,3.872,3.829,418.000,160000.000
1981-09-15,3.829,3.755,3.840,3.776,348.000,132000.000
1981-09-16,3.755,3.702,3.755,3.734,327.000,122000.000
1981-09-17,3.723,3.521,3.723,3.564,574.000,208000.000
1981-09-18,3.564,3.458,3.585,3.521,503.000,177000.000
1981-09-21,3.521,3.500,3.596,3.596,499.000,177000.000
1981-09-22,3.596,3.543,3.606,3.564,257.000,92000.000
1981-09-23,3.543,3.447,3.543,3.521,489.000,171000.000
1981-09-24,3.521,3.468,3.543,3.468,472.000,165000.000
1981-09-25,3.458,3.309,3.458,3.394,513.000,174000.000
1981-09-28,3.394,3.330,3.553,3.553,647.000,223000.000
1981-09-29,3.553,3.437,3.564,3.479,1047.000,366000.000
1981-09-30,3.479,3.437,3.532,3.532,477.000,166000.000
1981-10-01,3.532,3.437,3.532,3.511,257.000,90000.000
