9N1793,KO,COCA COLA CO THE,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-19,0.933,0.914,0.933,0.923,681.000,63000.000
1981-06-22,0.920,0.898,0.920,0.901,1314.000,119000.000
1981-06-23,0.898,0.889,0.898,0.895,2072.000,185000.000
1981-06-24,0.886,0.876,0.886,0.876,1818.000,160000.000
1981-06-25,0.876,0.864,0.879,0.867,2645.000,231000.000
1981-06-26,0.867,0.860,0.870,0.867,1232.000,107000.000
1981-06-29,0.867,0.867,0.870,0.867,972.000,84000.000
1981-06-30,0.867,0.864,0.873,0.870,1087.000,94000.000
1981-07-01,0.870,0.860,0.870,0.864,3659.000,317000.000
1981-07-02,0.864,0.854,0.864,0.864,696.000,60000.000
1981-07-06,0.864,0.842,0.864,0.851,936.000,80000.000
1981-07-07,0.851,0.836,0.854,0.842,1190.000,101000.000
1981-07-08,0.842,0.820,0.845,0.842,933.000,78000.000
1981-07-09,0.842,0.829,0.845,0.845,663.000,55000.000
1981-07-10,0.845,0.842,0.857,0.851,657.000,56000.000
1981-07-13,0.851,0.851,0.864,0.864,330.000,28000.000
1981-07-14,0.864,0.845,0.867,0.845,960.000,82000.000
1981-07-15,0.845,0.842,0.848,0.845,400.000,34000.000
1981-07-16,0.845,0.845,0.851,0.845,696.000,59000.000
1981-07-17,0.845,0.832,0.848,0.845,410.000,34000.000
1981-07-20,0.845,0.829,0.845,0.832,1135.000,95000.000
1981-07-21,0.832,0.823,0.832,0.826,2740.000,227000.000
1981-07-22,0.826,0.811,0.836,0.814,1433.000,118000.000
1981-07-23,0.814,0.801,0.829,0.823,1396.000,114000.000
1981-07-24,0.823,0.823,0.839,0.839,739.000,61000.000
1981-07-27,0.839,0.836,0.848,0.848,758.000,64000.000
1981-07-28,0.848,0.836,0.851,0.845,1137.000,96000.000
1981-07-29,0.845,0.842,0.848,0.845,515.000,44000.000
1981-07-30,0.845,0.842,0.848,0.845,367.000,31000.000
1981-07-31,0.845,0.845,0.851,0.851,1156.000,98000.000
1981-08-03,0.851,0.842,0.857,0.845,540.000,46000.000
1981-08-04,0.845,0.829,0.845,0.845,560.000,47000.000
1981-08-05,0.845,0.842,0.857,0.857,693.000,59000.000
1981-08-06,0.857,0.851,0.860,0.860,711.000,61000.000
1981-08-07,0.860,0.842,0.860,0.848,1171.000,100000.000
1981-08-10,0.848,0.839,0.851,0.845,379.000,32000.000
1981-08-11,0.848,0.848,0.857,0.851,721.000,61000.000
1981-08-12,0.854,0.854,0.860,0.854,472.000,40000.000
1981-08-13,0.854,0.854,0.860,0.854,365.000,31000.000
1981-08-14,0.854,0.845,0.854,0.851,702.000,60000.000
1981-08-17,0.848,0.842,0.848,0.842,382.000,32000.000
1981-08-18,0.842,0.829,0.842,0.832,1218.000,102000.000
1981-08-19,0.832,0.826,0.836,0.826,932.000,77000.000
1981-08-20,0.826,0.823,0.829,0.823,424.000,35000.000
1981-08-21,0.823,0.823,0.829,0.826,432.000,36000.000
1981-08-24,0.826,0.804,0.826,0.804,629.000,51000.000
1981-08-25,0.801,0.789,0.801,0.798,588.000,47000.000
1981-08-26,0.801,0.801,0.814,0.804,672.000,54000.000
1981-08-27,0.804,0.801,0.814,0.807,388.000,31000.000
1981-08-28,0.807,0.807,0.829,0.823,1057.000,86000.000
1981-08-31,0.823,0.820,0.829,0.820,936.000,77000.000
1981-09-01,0.820,0.804,0.823,0.807,1318.000,107000.000
1981-09-02,0.807,0.798,0.811,0.807,1155.000,93000.000
1981-09-03,0.807,0.789,0.807,0.789,1050.000,84000.000
1981-09-04,0.789,0.782,0.798,0.795,1036.000,82000.000
1981-09-08,0.792,0.785,0.792,0.789,1281.000,101000.000
1981-09-09,0.803,0.778,0.810,0.803,500.000,40000.000
1981-09-10,0.803,0.800,0.813,0.807,760.000,61000.000
1981-09-11,0.807,0.807,0.819,0.816,536.000,44000.000
1981-09-14,0.816,0.813,0.822,0.813,627.000,51000.000
1981-09-15,0.813,0.813,0.826,0.816,424.000,35000.000
1981-09-16,0.816,0.813,0.819,0.816,1012.000,83000.000
1981-09-17,0.816,0.813,0.829,0.822,859.000,71000.000
1981-09-18,0.822,0.813,0.842,0.835,741.000,61000.000
1981-09-21,0.835,0.819,0.838,0.819,1377.000,114000.000
1981-09-22,0.819,0.816,0.822,0.816,822.000,67000.000
1981-09-23,0.816,0.807,0.816,0.807,1235.000,100000.000
1981-09-24,0.807,0.800,0.822,0.816,2636.000,214000.000
1981-09-25,0.807,0.791,0.807,0.803,737.000,59000.000
1981-09-28,0.803,0.791,0.826,0.822,2293.000,185000.000
1981-09-29,0.822,0.819,0.842,0.842,1457.000,121000.000
1981-09-30,0.842,0.835,0.861,0.861,1472.000,125000.000
1981-10-01,0.864,0.864,0.893,0.880,3504.000,308000.000
1981-10-02,0.886,0.886,0.902,0.886,4245.000,380000.000
1981-10-05,0.886,0.886,0.893,0.889,1215.000,108000.000
1981-10-06,0.889,0.886,0.896,0.889,1008.000,90000.000
1981-10-07,0.889,0.889,0.918,0.918,2446.000,221000.000
1981-10-08,0.918,0.909,0.928,0.924,1538.000,141000.000
1981-10-09,0.924,0.912,0.928,0.912,1322.000,122000.000
1981-10-12,0.912,0.905,0.918,0.918,254.000,23000.000
1981-10-13,0.918,0.909,0.921,0.912,1027.000,94000.000
1981-10-14,0.909,0.886,0.909,0.886,551.000,49000.000
1981-10-15,0.886,0.880,0.896,0.889,378.000,34000.000
1981-10-16,0.889,0.877,0.889,0.883,1286.000,114000.000
1981-10-19,0.877,0.864,0.877,0.870,1054.000,92000.000
1981-10-20,0.870,0.864,0.873,0.864,1479.000,128000.000
1981-10-21,0.864,0.848,0.867,0.848,1604.000,138000.000
1981-10-22,0.848,0.842,0.880,0.873,1776.000,153000.000
1981-10-23,0.873,0.867,0.886,0.877,2437.000,214000.000
1981-10-26,0.873,0.867,0.873,0.873,672.000,58000.000
1981-10-27,0.873,0.864,0.899,0.899,1649.000,145000.000
1981-10-28,0.899,0.899,0.931,0.918,2799.000,256000.000
1981-10-29,0.918,0.909,0.928,0.921,1112.000,102000.000
1981-10-30,0.924,0.924,0.940,0.940,843.000,79000.000
1981-11-02,0.940,0.931,0.944,0.931,3774.000,354000.000
1981-11-03,0.931,0.924,0.934,0.931,670.000,62000.000
1981-11-04,0.931,0.905,0.931,0.905,402.000,37000.000
1981-11-05,0.905,0.886,0.912,0.889,1623.000,146000.000
1981-11-06,0.889,0.886,0.899,0.899,1295.000,116000.000
1981-11-09,0.899,0.896,0.915,0.902,287.000,26000.000
1981-11-10,0.902,0.899,0.912,0.905,517.000,47000.000
1981-11-11,0.905,0.899,0.905,0.905,260.000,23000.000
1981-11-12,0.905,0.893,0.918,0.905,783.000,71000.000
1981-11-13,0.902,0.886,0.902,0.889,436.000,39000.000
1981-11-16,0.880,0.864,0.880,0.867,966.000,84000.000
1981-11-17,0.867,0.854,0.867,0.864,1339.000,115000.000
1981-11-18,0.864,0.858,0.873,0.864,960.000,83000.000
1981-11-19,0.870,0.870,0.880,0.877,516.000,45000.000
1981-11-20,0.883,0.883,0.896,0.893,1193.000,106000.000
1981-11-23,0.896,0.896,0.905,0.905,905.000,82000.000
1981-11-24,0.904,0.898,0.904,0.904,1376.000,124000.000
1981-11-25,0.911,0.911,0.924,0.917,1499.000,137000.000
1981-11-27,0.917,0.914,0.927,0.920,449.000,41000.000
1981-11-30,0.920,0.920,0.933,0.924,839.000,78000.000
1981-12-01,0.924,0.920,0.927,0.927,683.000,63000.000
1981-12-02,0.924,0.914,0.924,0.914,772.000,71000.000
1981-12-03,0.914,0.914,0.927,0.927,584.000,54000.000
1981-12-04,0.927,0.927,0.943,0.937,1138.000,106000.000
1981-12-07,0.937,0.930,0.943,0.940,588.000,55000.000
1981-12-08,0.940,0.933,0.943,0.937,1397.000,131000.000
1981-12-09,0.933,0.924,0.933,0.927,735.000,68000.000
1981-12-10,0.927,0.924,0.940,0.927,720.000,67000.000
1981-12-11,0.927,0.920,0.933,0.924,456.000,42000.000
1981-12-14,0.924,0.904,0.927,0.907,1176.000,108000.000
1981-12-15,0.904,0.895,0.904,0.904,1072.000,96000.000
1981-12-16,0.904,0.895,0.904,0.895,348.000,31000.000
1981-12-17,0.895,0.891,0.901,0.891,697.000,62000.000
1981-12-18,0.891,0.888,0.911,0.895,514.000,46000.000
1981-12-21,0.895,0.885,0.898,0.885,801.000,71000.000
1981-12-22,0.885,0.885,0.898,0.891,1487.000,133000.000
1981-12-23,0.891,0.888,0.895,0.895,346.000,31000.000
1981-12-24,0.895,0.888,0.895,0.888,226.000,20000.000
1981-12-28,0.888,0.888,0.898,0.888,348.000,31000.000
1981-12-29,0.888,0.888,0.898,0.891,442.000,39000.000
1981-12-30,0.891,0.888,0.904,0.898,321.000,29000.000
1981-12-31,0.898,0.898,0.904,0.901,363.000,33000.000
1982-01-04,0.895,0.882,0.904,0.898,452.000,40000.000
1982-01-05,0.898,0.888,0.904,0.891,729.000,65000.000
1982-01-06,0.895,0.888,0.901,0.901,577.000,52000.000
1982-01-07,0.920,0.907,0.933,0.927,1892.000,174000.000
1982-01-08,0.943,0.930,0.956,0.933,625.000,59000.000
1982-01-11,0.927,0.920,0.933,0.927,1348.000,125000.000
1982-01-12,0.937,0.924,0.950,0.927,1014.000,95000.000
1982-01-13,0.924,0.914,0.930,0.917,844.000,78000.000
1982-01-14,0.907,0.901,0.914,0.907,1121.000,102000.000
1982-01-15,0.904,0.891,0.917,0.891,628.000,57000.000
1982-01-18,0.891,0.885,0.895,0.888,1562.000,139000.000
1982-01-19,0.836,0.826,0.843,0.830,1999.000,167000.000
1982-01-20,0.807,0.791,0.823,0.794,5989.000,483000.000
1982-01-21,0.804,0.794,0.813,0.813,3866.000,311000.000
1982-01-22,0.810,0.804,0.813,0.810,4482.000,362000.000
1982-01-25,0.804,0.797,0.807,0.800,5116.000,410000.000
1982-01-26,0.804,0.797,0.807,0.807,2356.000,189000.000
1982-01-27,0.807,0.800,0.813,0.813,1625.000,131000.000
1982-01-28,0.830,0.817,0.843,0.830,3099.000,257000.000
1982-01-29,0.836,0.823,0.846,0.846,2739.000,229000.000
1982-02-01,0.836,0.826,0.843,0.826,2818.000,235000.000
1982-02-02,0.830,0.826,0.833,0.830,3045.000,253000.000
1982-02-03,0.826,0.820,0.833,0.820,1314.000,109000.000
1982-02-04,0.820,0.813,0.826,0.826,1764.000,145000.000
1982-02-05,0.833,0.826,0.836,0.833,3092.000,257000.000
1982-02-08,0.830,0.823,0.833,0.826,1164.000,96000.000
1982-02-09,0.826,0.823,0.830,0.823,3363.000,278000.000
1982-02-10,0.830,0.823,0.836,0.836,1225.000,102000.000
1982-02-11,0.833,0.830,0.836,0.836,711.000,59000.000
1982-02-12,0.836,0.833,0.836,0.833,1179.000,98000.000
1982-02-16,0.823,0.813,0.830,0.823,1698.000,140000.000
1982-02-17,0.820,0.813,0.826,0.817,452.000,37000.000
1982-02-18,0.817,0.810,0.823,0.817,1971.000,161000.000
1982-02-19,0.807,0.800,0.810,0.807,1340.000,108000.000
1982-02-22,0.794,0.778,0.810,0.784,1443.000,115000.000
1982-02-23,0.794,0.781,0.804,0.804,2311.000,183000.000
1982-02-24,0.797,0.788,0.804,0.800,1875.000,149000.000
1982-02-25,0.794,0.788,0.800,0.788,1791.000,142000.000
1982-02-26,0.784,0.771,0.797,0.784,1929.000,151000.000
1982-03-01,0.788,0.781,0.794,0.791,1054.000,83000.000
1982-03-02,0.791,0.781,0.797,0.784,2017.000,159000.000
1982-03-03,0.784,0.771,0.794,0.788,2445.000,191000.000
1982-03-04,0.791,0.781,0.797,0.794,6439.000,508000.000
1982-03-05,0.807,0.794,0.820,0.820,3326.000,268000.000
1982-03-08,0.820,0.810,0.830,0.820,3352.000,275000.000
1982-03-09,0.830,0.823,0.836,0.830,3223.000,267000.000
1982-03-10,0.833,0.826,0.836,0.830,1021.000,85000.000
1982-03-11,0.833,0.830,0.836,0.836,1412.000,118000.000
1982-03-12,0.833,0.826,0.836,0.830,1027.000,85000.000
1982-03-15,0.836,0.830,0.840,0.836,1209.000,101000.000
1982-03-16,0.846,0.836,0.853,0.836,2900.000,245000.000
1982-03-17,0.833,0.826,0.840,0.833,2033.000,169000.000
1982-03-18,0.830,0.823,0.836,0.833,1740.000,144000.000
1982-03-19,0.830,0.826,0.833,0.830,1269.000,105000.000
1982-03-22,0.843,0.833,0.853,0.846,2936.000,247000.000
1982-03-23,0.866,0.850,0.879,0.876,3387.000,293000.000
1982-03-24,0.889,0.879,0.899,0.886,3991.000,355000.000
1982-03-25,0.896,0.883,0.906,0.896,2214.000,198000.000
1982-03-26,0.892,0.886,0.896,0.886,1076.000,96000.000
1982-03-29,0.883,0.876,0.889,0.886,563.000,50000.000
1982-03-30,0.886,0.879,0.889,0.886,564.000,50000.000
1982-03-31,0.876,0.866,0.886,0.866,1716.000,150000.000
1982-04-01,0.873,0.866,0.879,0.876,1715.000,150000.000
1982-04-02,0.879,0.873,0.883,0.879,1620.000,142000.000
1982-04-05,0.879,0.873,0.883,0.876,2327.000,204000.000
1982-04-06,0.876,0.873,0.879,0.876,1133.000,99000.000
