9N2072,MMM,3M COMPANY,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-18,7.334,7.193,7.334,7.193,1115.000,810000.000
1981-06-19,7.193,7.177,7.256,7.224,464.000,335000.000
1981-06-22,7.240,7.240,7.318,7.287,705.000,513000.000
1981-06-23,7.287,7.271,7.350,7.350,748.000,547000.000
1981-06-24,7.350,7.224,7.413,7.240,949.000,695000.000
1981-06-25,7.240,7.177,7.287,7.193,720.000,521000.000
1981-06-26,7.193,7.161,7.287,7.240,808.000,584000.000
1981-06-29,7.240,7.240,7.318,7.303,948.000,690000.000
1981-06-30,7.287,7.224,7.287,7.224,498.000,361000.000
1981-07-01,7.224,7.146,7.224,7.193,1149.000,826000.000
1981-07-02,7.193,7.130,7.208,7.146,640.000,459000.000
1981-07-06,7.130,7.067,7.130,7.130,1719.000,1220000.000
1981-07-07,7.130,7.114,7.208,7.161,1120.000,802000.000
1981-07-08,7.161,7.146,7.256,7.146,2063.000,1485000.000
1981-07-09,7.146,7.114,7.177,7.161,1360.000,972000.000
1981-07-10,7.161,7.114,7.177,7.130,666.000,476000.000
1981-07-13,7.130,7.114,7.161,7.130,1247.000,890000.000
1981-07-14,7.114,7.036,7.114,7.051,1013.000,717000.000
1981-07-15,7.051,7.004,7.083,7.067,1245.000,877000.000
1981-07-16,7.067,7.020,7.083,7.067,332.000,234000.000
1981-07-17,7.067,7.036,7.099,7.051,1096.000,775000.000
1981-07-20,7.051,6.847,7.051,6.847,3379.000,2348000.000
1981-07-21,6.847,6.643,6.863,6.706,3482.000,2351000.000
1981-07-22,6.706,6.392,6.722,6.392,9361.000,6138000.000
1981-07-23,6.392,6.329,6.596,6.596,2375.000,1535000.000
1981-07-24,6.596,6.596,6.737,6.690,1361.000,907000.000
1981-07-27,6.690,6.690,6.785,6.769,629.000,424000.000
1981-07-28,6.769,6.690,6.769,6.722,493.000,332000.000
1981-07-29,6.722,6.706,6.816,6.722,1185.000,801000.000
1981-07-30,6.722,6.722,6.816,6.800,625.000,423000.000
1981-07-31,6.800,6.800,6.894,6.816,1439.000,985000.000
1981-08-03,6.816,6.690,6.863,6.706,468.000,317000.000
1981-08-04,6.706,6.674,6.753,6.706,1752.000,1176000.000
1981-08-05,6.706,6.690,6.785,6.690,1371.000,924000.000
1981-08-06,6.690,6.674,6.737,6.690,605.000,406000.000
1981-08-07,6.690,6.690,6.737,6.706,732.000,491000.000
1981-08-10,6.706,6.706,6.800,6.800,701.000,473000.000
1981-08-11,6.800,6.753,6.816,6.785,1039.000,705000.000
1981-08-12,6.785,6.737,6.816,6.737,573.000,388000.000
1981-08-13,6.722,6.612,6.722,6.643,2237.000,1491000.000
1981-08-14,6.627,6.533,6.627,6.612,1171.000,771000.000
1981-08-17,6.660,6.596,6.660,6.612,705.000,467000.000
1981-08-18,6.596,6.500,6.596,6.548,1369.000,896000.000
1981-08-19,6.548,6.500,6.596,6.564,437.000,286000.000
1981-08-20,6.564,6.548,6.612,6.580,588.000,387000.000
1981-08-21,6.548,6.484,6.548,6.532,523.000,341000.000
1981-08-24,6.532,6.437,6.532,6.452,495.000,321000.000
1981-08-25,6.452,6.420,6.564,6.548,866.000,562000.000
1981-08-26,6.548,6.373,6.580,6.437,1741.000,1128000.000
1981-08-27,6.437,6.389,6.484,6.437,727.000,468000.000
1981-08-28,6.437,6.405,6.580,6.548,1105.000,717000.000
1981-08-31,6.548,6.532,6.644,6.548,920.000,606000.000
1981-09-01,6.548,6.468,6.596,6.564,720.000,470000.000
1981-09-02,6.564,6.564,6.612,6.580,1001.000,659000.000
1981-09-03,6.580,6.437,6.580,6.437,1160.000,755000.000
1981-09-04,6.437,6.373,6.468,6.389,628.000,403000.000
1981-09-08,6.389,6.181,6.420,6.229,1825.000,1150000.000
1981-09-09,6.229,6.181,6.309,6.181,1423.000,889000.000
1981-09-10,6.198,6.198,6.261,6.229,1445.000,900000.000
1981-09-11,6.277,6.277,6.357,6.341,1337.000,845000.000
1981-09-14,6.341,6.341,6.405,6.373,603.000,384000.000
1981-09-15,6.373,6.293,6.420,6.293,425.000,270000.000
1981-09-16,6.293,6.293,6.325,6.309,529.000,334000.000
1981-09-17,6.309,6.309,6.405,6.309,853.000,542000.000
1981-09-18,6.309,6.261,6.357,6.309,778.000,491000.000
1981-09-21,6.309,6.293,6.420,6.389,824.000,524000.000
1981-09-22,6.389,6.277,6.420,6.357,892.000,566000.000
1981-09-23,6.341,6.245,6.341,6.309,342.000,215000.000
1981-09-24,6.309,6.245,6.373,6.245,901.000,568000.000
1981-09-25,6.245,6.134,6.245,6.213,1448.000,896000.000
1981-09-28,6.213,6.134,6.325,6.293,818.000,510000.000
1981-09-29,6.373,6.373,6.468,6.420,1413.000,907000.000
1981-09-30,6.420,6.341,6.420,6.373,499.000,318000.000
1981-10-01,6.373,6.341,6.389,6.373,564.000,359000.000
1981-10-02,6.373,6.325,6.405,6.325,1680.000,1069000.000
1981-10-05,6.325,6.293,6.420,6.309,1442.000,917000.000
1981-10-06,6.309,6.213,6.309,6.229,947.000,593000.000
1981-10-07,6.229,6.213,6.293,6.277,406.000,254000.000
1981-10-08,6.293,6.293,6.516,6.484,1857.000,1189000.000
1981-10-09,6.500,6.500,6.787,6.644,1902.000,1264000.000
1981-10-12,6.644,6.628,6.707,6.675,476.000,317000.000
1981-10-13,6.675,6.564,6.675,6.564,817.000,541000.000
1981-10-14,6.564,6.484,6.580,6.484,529.000,346000.000
