9N2531,PG,PROCTER   GAMBLE CO,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-19,4.760,4.706,4.760,4.737,1382.000,654000.000
1981-06-22,4.721,4.630,4.721,4.630,712.000,333000.000
1981-06-23,4.630,4.622,4.706,4.691,615.000,287000.000
1981-06-24,4.691,4.645,4.698,4.668,491.000,229000.000
1981-06-25,4.668,4.660,4.691,4.668,676.000,316000.000
1981-06-26,4.668,4.653,4.668,4.653,260.000,121000.000
1981-06-29,4.653,4.614,4.653,4.630,440.000,204000.000
1981-06-30,4.630,4.630,4.645,4.630,762.000,353000.000
1981-07-01,4.630,4.599,4.630,4.599,559.000,258000.000
1981-07-02,4.599,4.591,4.622,4.591,497.000,229000.000
1981-07-06,4.561,4.530,4.561,4.553,628.000,285000.000
1981-07-07,4.553,4.523,4.569,4.530,414.000,188000.000
1981-07-08,4.530,4.515,4.530,4.530,467.000,211000.000
1981-07-09,4.530,4.523,4.584,4.584,412.000,188000.000
1981-07-10,4.584,4.530,4.584,4.530,165.000,75000.000
1981-07-13,4.538,4.538,4.569,4.553,275.000,125000.000
1981-07-14,4.553,4.530,4.569,4.538,224.000,102000.000
1981-07-15,4.538,4.507,4.538,4.530,557.000,252000.000
1981-07-16,4.530,4.523,4.546,4.538,112.000,51000.000
1981-07-17,4.538,4.538,4.569,4.538,267.000,122000.000
1981-07-20,4.515,4.492,4.515,4.492,762.000,343000.000
1981-07-21,4.492,4.469,4.492,4.469,353.000,158000.000
1981-07-22,4.469,4.462,4.508,4.469,735.000,330000.000
1981-07-23,4.462,4.431,4.462,4.439,575.000,256000.000
1981-07-24,4.446,4.446,4.477,4.462,313.000,140000.000
1981-07-27,4.469,4.469,4.508,4.484,817.000,367000.000
1981-07-28,4.484,4.446,4.484,4.446,516.000,230000.000
1981-07-29,4.446,4.408,4.446,4.423,515.000,228000.000
1981-07-30,4.423,4.423,4.446,4.423,208.000,92000.000
1981-07-31,4.423,4.423,4.454,4.439,389.000,173000.000
1981-08-03,4.439,4.400,4.446,4.400,368.000,163000.000
1981-08-04,4.400,4.362,4.416,4.370,564.000,248000.000
1981-08-05,4.370,4.339,4.385,4.378,753.000,328000.000
1981-08-06,4.378,4.309,4.385,4.309,956.000,416000.000
1981-08-07,4.294,4.156,4.294,4.202,5344.000,2258000.000
1981-08-10,4.202,4.202,4.271,4.263,728.000,308000.000
1981-08-11,4.278,4.278,4.355,4.355,1396.000,603000.000
1981-08-12,4.355,4.355,4.385,4.370,811.000,354000.000
1981-08-13,4.370,4.339,4.370,4.339,498.000,217000.000
1981-08-14,4.339,4.286,4.339,4.286,219.000,94000.000
1981-08-17,4.286,4.271,4.301,4.278,260.000,111000.000
1981-08-18,4.278,4.271,4.294,4.271,500.000,214000.000
1981-08-19,4.271,4.263,4.317,4.301,274.000,118000.000
1981-08-20,4.309,4.309,4.324,4.309,415.000,179000.000
1981-08-21,4.309,4.232,4.309,4.232,507.000,217000.000
1981-08-24,4.232,4.126,4.232,4.148,930.000,389000.000
1981-08-25,4.148,4.118,4.202,4.187,742.000,309000.000
1981-08-26,4.194,4.194,4.217,4.217,351.000,148000.000
1981-08-27,4.217,4.156,4.225,4.225,787.000,330000.000
1981-08-28,4.225,4.194,4.240,4.232,472.000,199000.000
1981-08-31,4.232,4.232,4.248,4.240,571.000,242000.000
1981-09-01,4.240,4.217,4.271,4.240,428.000,182000.000
1981-09-02,4.240,4.240,4.309,4.278,487.000,208000.000
1981-09-03,4.278,4.232,4.301,4.232,699.000,298000.000
1981-09-04,4.232,4.202,4.232,4.217,503.000,212000.000
1981-09-08,4.202,4.156,4.202,4.171,922.000,385000.000
1981-09-09,4.171,4.171,4.209,4.202,780.000,327000.000
1981-09-10,4.202,4.194,4.240,4.202,299.000,126000.000
1981-09-11,4.202,4.194,4.278,4.278,632.000,268000.000
1981-09-14,4.278,4.263,4.309,4.278,568.000,243000.000
1981-09-15,4.278,4.263,4.294,4.263,265.000,113000.000
1981-09-16,4.263,4.225,4.271,4.225,476.000,202000.000
