9N3095,T,AT&T INC.,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-11,28.073,28.011,28.073,28.073,7806.000,21890000.000
1981-06-12,28.135,28.135,28.442,28.442,9664.000,27338000.000
1981-06-15,28.442,28.442,28.812,28.504,8151.000,23334000.000
1981-06-16,28.504,28.504,28.935,28.627,8839.000,25385000.000
1981-06-17,28.627,28.627,28.873,28.750,5516.000,15859000.000
1981-06-18,28.750,28.196,28.812,28.258,4327.000,12334000.000
1981-06-19,28.258,28.196,28.504,28.381,3141.000,8905000.000
1981-06-22,28.381,28.319,28.504,28.319,3035.000,8623000.000
1981-06-23,28.319,28.258,28.504,28.319,2433.000,6905000.000
1981-06-24,28.319,28.011,28.442,28.196,3921.000,11068000.000
1981-06-25,28.196,27.950,28.319,28.135,1822.000,5126000.000
1981-06-26,28.135,28.011,28.196,28.135,2971.000,8350000.000
1981-06-29,28.135,28.011,28.319,28.073,3328.000,9373000.000
1981-06-30,28.073,27.642,28.073,27.704,4785.000,13330000.000
1981-07-01,27.704,27.088,27.704,27.150,5677.000,15553000.000
1981-07-02,27.150,26.842,27.211,27.088,5060.000,13675000.000
1981-07-06,27.088,27.026,27.519,27.088,2955.000,8059000.000
1981-07-07,27.088,26.965,27.396,27.211,4533.000,12321000.000
1981-07-08,27.211,26.903,27.273,27.088,6012.000,16285000.000
1981-07-09,27.088,27.026,27.396,27.273,3861.000,10506000.000
1981-07-10,27.273,27.211,27.519,27.396,2092.000,5725000.000
1981-07-13,27.519,27.519,27.704,27.519,2585.000,7138000.000
1981-07-14,27.519,27.273,27.519,27.457,2354.000,6449000.000
1981-07-15,27.457,27.211,27.580,27.334,3142.000,8608000.000
1981-07-16,27.334,27.211,27.519,27.396,3604.000,9862000.000
1981-07-17,27.396,27.273,27.457,27.334,2588.000,7082000.000
1981-07-20,27.150,26.903,27.150,26.965,4182.000,11302000.000
1981-07-21,26.965,26.903,27.150,26.903,4049.000,10943000.000
1981-07-22,26.903,26.780,27.457,26.780,5469.000,14831000.000
1981-07-23,26.780,26.534,26.903,26.780,3257.000,8702000.000
1981-07-24,26.780,26.780,27.334,27.334,2020.000,5466000.000
1981-07-27,27.334,27.211,27.396,27.211,8149.000,22250000.000
1981-07-28,27.211,27.211,27.396,27.273,1990.000,5433000.000
1981-07-29,27.273,27.088,27.704,27.704,3105.000,8506000.000
1981-07-30,27.642,27.457,27.642,27.642,2576.000,7097000.000
1981-07-31,27.642,27.642,27.888,27.827,2089.000,5800000.000
1981-08-03,27.827,27.519,27.888,27.519,3142.000,8704000.000
1981-08-04,27.519,27.396,27.642,27.642,2921.000,8038000.000
1981-08-05,27.642,27.642,28.196,28.196,5346.000,14926000.000
1981-08-06,28.196,28.196,28.442,28.442,3022.000,8558000.000
1981-08-07,28.442,28.258,28.566,28.566,3172.000,9012000.000
1981-08-10,28.566,28.381,29.489,29.058,7006.000,20272000.000
1981-08-11,29.181,29.181,29.612,29.366,8900.000,26163000.000
1981-08-12,29.366,29.120,29.427,29.304,3596.000,10527000.000
1981-08-13,29.304,29.243,29.366,29.304,3877.000,11361000.000
1981-08-14,29.304,28.935,29.366,28.935,3183.000,9279000.000
1981-08-17,28.812,28.566,28.812,28.566,3340.000,9582000.000
1981-08-18,28.566,28.258,28.689,28.381,4870.000,13866000.000
1981-08-19,28.381,28.135,28.381,28.319,5183.000,14646000.000
1981-08-20,28.319,28.196,28.442,28.196,3539.000,10022000.000
1981-08-21,28.196,28.196,28.319,28.258,5914.000,16712000.000
1981-08-24,28.258,27.827,28.258,27.950,5668.000,15894000.000
1981-08-25,27.212,26.781,27.212,27.212,5413.000,14613000.000
1981-08-26,27.273,27.273,27.458,27.335,4145.000,11343000.000
1981-08-27,27.335,27.150,27.396,27.212,2869.000,7825000.000
1981-08-28,27.212,27.150,27.704,27.396,4580.000,12562000.000
1981-08-31,27.396,27.212,27.827,27.273,4403.000,12117000.000
1981-09-01,27.273,27.150,27.335,27.273,3244.000,8837000.000
1981-09-02,27.273,27.273,27.520,27.396,2303.000,6309000.000
1981-09-03,27.396,27.027,27.458,27.089,4339.000,11821000.000
1981-09-04,27.089,26.842,27.089,26.965,3384.000,9125000.000
1981-09-08,26.965,26.596,27.089,26.842,3438.000,9228000.000
1981-09-09,26.842,26.781,27.273,27.089,4136.000,11178000.000
1981-09-10,27.150,27.150,27.581,27.581,3488.000,9545000.000
1981-09-11,27.581,27.335,27.889,27.889,4164.000,11498000.000
1981-09-14,27.704,27.396,27.704,27.396,3923.000,10808000.000
1981-09-15,27.396,27.273,27.643,27.273,1933.000,5308000.000
1981-09-16,27.273,27.150,27.766,27.766,3709.000,10184000.000
1981-09-17,27.766,27.581,27.951,27.766,4250.000,11801000.000
1981-09-18,27.766,27.520,28.012,27.520,5336.000,14816000.000
1981-09-21,27.520,27.396,28.135,28.012,4886.000,13566000.000
1981-09-22,28.012,27.889,28.258,28.012,6386.000,17928000.000
1981-09-23,27.951,27.704,27.951,27.951,5100.000,14192000.000
1981-09-24,27.951,27.889,28.628,28.074,6621.000,18710000.000
1981-09-25,28.074,27.581,28.135,28.012,5607.000,15620000.000
1981-09-28,28.012,27.581,28.628,28.566,7355.000,20671000.000
1981-09-29,28.566,28.074,28.628,28.320,8499.000,24095000.000
1981-09-30,28.382,28.382,28.566,28.505,8184.000,23303000.000
1981-10-01,28.505,28.382,28.628,28.566,6866.000,19571000.000
1981-10-02,28.566,28.566,29.243,29.243,7058.000,20401000.000
1981-10-05,29.243,28.874,29.490,29.059,6876.000,20065000.000
1981-10-06,28.997,28.505,28.997,28.566,5475.000,15741000.000
1981-10-07,28.812,28.812,29.305,29.182,5458.000,15860000.000
1981-10-08,29.182,29.059,29.367,29.243,6397.000,18687000.000
1981-10-09,29.243,29.059,29.243,29.243,5680.000,16558000.000
1981-10-12,29.243,28.997,29.305,29.059,3557.000,10369000.000
1981-10-13,29.059,28.936,29.182,28.936,2932.000,8520000.000
1981-10-14,28.936,28.689,29.059,28.751,2954.000,8529000.000
1981-10-15,28.751,28.689,29.120,28.997,3529.000,10201000.000
1981-10-16,28.997,28.751,29.059,28.936,2918.000,8434000.000
1981-10-19,28.936,28.812,29.182,28.997,3635.000,10540000.000
1981-10-20,28.997,28.997,29.182,28.997,4972.000,14463000.000
1981-10-21,28.997,28.628,29.059,28.812,3839.000,11073000.000
1981-10-22,28.812,28.628,28.874,28.689,1904.000,5474000.000
1981-10-23,28.689,28.505,28.689,28.505,2237.000,6397000.000
1981-10-26,28.320,28.135,28.320,28.320,2163.000,6106000.000
1981-10-27,28.320,28.320,28.751,28.628,4141.000,11817000.000
1981-10-28,28.628,28.628,28.874,28.689,3097.000,8904000.000
1981-10-29,28.689,28.258,28.751,28.320,2423.000,6907000.000
1981-10-30,28.382,28.382,29.367,29.305,5818.000,16799000.000
1981-11-02,29.305,29.182,29.551,29.182,4113.000,12078000.000
1981-11-03,29.182,29.059,29.243,29.243,5320.000,15508000.000
1981-11-04,29.243,29.059,29.367,29.243,4585.000,13394000.000
1981-11-05,29.243,28.997,29.367,29.059,4354.000,12706000.000
1981-11-06,29.059,28.874,29.182,29.182,3203.000,9298000.000
1981-11-09,29.182,29.120,29.982,29.798,6636.000,19610000.000
1981-11-10,29.798,29.243,29.859,29.243,4212.000,12447000.000
1981-11-11,29.243,29.243,29.736,29.736,3058.000,9018000.000
1981-11-12,29.736,29.613,29.921,29.674,4374.000,13020000.000
1981-11-13,29.674,29.428,29.736,29.674,3107.000,9191000.000
1981-11-16,29.674,29.428,29.859,29.736,3938.000,11674000.000
1981-11-17,29.736,29.674,30.044,30.044,5020.000,14989000.000
1981-11-18,30.044,29.921,30.229,29.982,4825.000,14511000.000
1981-11-19,29.982,29.736,30.105,29.859,3741.000,11193000.000
1981-11-20,29.859,29.859,30.290,30.229,4388.000,13197000.000
1981-11-23,29.614,29.059,29.614,29.059,7687.000,22551000.000
1981-11-24,29.059,29.059,29.552,29.552,3666.000,10743000.000
1981-11-25,29.552,29.429,29.675,29.552,3430.000,10136000.000
1981-11-27,29.552,29.552,29.737,29.552,1070.000,3172000.000
1981-11-30,29.552,29.244,29.614,29.244,2671.000,7860000.000
1981-12-01,29.244,28.875,29.244,28.875,3426.000,9956000.000
1981-12-02,28.875,28.628,28.875,28.628,4015.000,11544000.000
