9N3507,WMT,WAL MART STORES,Daily
Date,Open,Low,High,Close,Volume,Amount
1981-06-19,0.268,0.257,0.268,0.257,624.000,16000.000
1981-06-22,0.257,0.255,0.257,0.257,91.000,2000.000
1981-06-23,0.257,0.255,0.257,0.257,68.000,2000.000
1981-06-24,0.257,0.256,0.259,0.259,373.000,10000.000
1981-06-25,0.258,0.257,0.258,0.258,234.000,6000.000
1981-06-26,0.260,0.260,0.265,0.264,770.000,20000.000
1981-06-29,0.264,0.263,0.266,0.264,320.000,8000.000
1981-06-30,0.264,0.264,0.267,0.264,138.000,4000.000
1981-07-01,0.264,0.264,0.267,0.267,408.000,11000.000
1981-07-02,0.267,0.265,0.267,0.267,33.000,1000.000
1981-07-06,0.265,0.255,0.265,0.255,164.000,4000.000
1981-07-07,0.255,0.252,0.257,0.257,384.000,10000.000
1981-07-08,0.257,0.257,0.260,0.257,181.000,5000.000
1981-07-09,0.255,0.250,0.255,0.253,1077.000,27000.000
1981-07-10,0.253,0.253,0.256,0.253,399.000,10000.000
1981-07-13,0.253,0.251,0.253,0.252,207.000,5000.000
1981-07-14,0.250,0.241,0.250,0.244,302.000,7000.000
1981-07-15,0.244,0.239,0.248,0.239,218.000,5000.000
1981-07-16,0.243,0.243,0.244,0.244,558.000,14000.000
1981-07-17,0.244,0.244,0.246,0.245,218.000,5000.000
1981-07-20,0.245,0.243,0.248,0.246,52.000,1000.000
1981-07-21,0.244,0.241,0.244,0.241,42.000,1000.000
1981-07-22,0.241,0.241,0.243,0.241,56.000,1000.000
1981-07-23,0.241,0.241,0.246,0.244,287.000,7000.000
1981-07-24,0.244,0.240,0.246,0.246,172.000,4000.000
1981-07-27,0.246,0.244,0.248,0.248,135.000,3000.000
1981-07-28,0.248,0.248,0.250,0.250,104.000,3000.000
1981-07-29,0.251,0.251,0.251,0.251,238.000,6000.000
1981-07-30,0.251,0.244,0.251,0.251,182.000,5000.000
1981-07-31,0.251,0.251,0.257,0.257,171.000,4000.000
1981-08-03,0.257,0.257,0.262,0.262,285.000,7000.000
1981-08-04,0.262,0.259,0.264,0.263,176.000,5000.000
1981-08-05,0.262,0.260,0.262,0.261,128.000,3000.000
1981-08-06,0.261,0.260,0.262,0.262,222.000,6000.000
1981-08-07,0.262,0.257,0.264,0.258,161.000,4000.000
1981-08-10,0.258,0.258,0.265,0.264,1156.000,30000.000
1981-08-11,0.264,0.264,0.267,0.267,161.000,4000.000
1981-08-12,0.269,0.269,0.269,0.269,127.000,3000.000
1981-08-13,0.269,0.269,0.269,0.269,216.000,6000.000
1981-08-14,0.270,0.270,0.276,0.275,223.000,6000.000
1981-08-17,0.273,0.269,0.273,0.269,318.000,9000.000
1981-08-18,0.269,0.265,0.270,0.269,340.000,9000.000
1981-08-19,0.269,0.264,0.270,0.270,126.000,3000.000
1981-08-20,0.270,0.270,0.274,0.274,128.000,3000.000
1981-08-21,0.274,0.269,0.275,0.269,378.000,10000.000
1981-08-24,0.269,0.255,0.270,0.255,269.000,7000.000
1981-08-25,0.255,0.250,0.257,0.252,210.000,5000.000
1981-08-26,0.250,0.244,0.250,0.244,53.000,1000.000
1981-08-27,0.244,0.244,0.249,0.248,111.000,3000.000
1981-08-28,0.248,0.246,0.250,0.248,41.000,1000.000
1981-08-31,0.248,0.247,0.249,0.248,27.000,1000.000
1981-09-01,0.246,0.244,0.246,0.246,47.000,1000.000
1981-09-02,0.246,0.243,0.248,0.247,279.000,7000.000
1981-09-03,0.245,0.238,0.245,0.240,392.000,9000.000
1981-09-04,0.238,0.234,0.238,0.234,266.000,6000.000
1981-09-08,0.232,0.229,0.232,0.229,235.000,5000.000
1981-09-09,0.229,0.228,0.236,0.234,254.000,6000.000
1981-09-10,0.234,0.232,0.239,0.239,51.000,1000.000
1981-09-11,0.239,0.237,0.245,0.241,100.000,2000.000
1981-09-14,0.241,0.238,0.243,0.241,450.000,11000.000
1981-09-15,0.241,0.240,0.248,0.248,417.000,10000.000
1981-09-16,0.248,0.244,0.250,0.245,861.000,21000.000
1981-09-17,0.245,0.243,0.245,0.243,60.000,1000.000
1981-09-18,0.243,0.243,0.248,0.246,47.000,1000.000
1981-09-21,0.246,0.239,0.246,0.240,204.000,5000.000
1981-09-22,0.240,0.240,0.248,0.248,104.000,3000.000
1981-09-23,0.246,0.240,0.246,0.243,269.000,7000.000
1981-09-24,0.243,0.243,0.246,0.244,347.000,8000.000
1981-09-25,0.243,0.234,0.243,0.237,176.000,4000.000
1981-09-28,0.237,0.235,0.241,0.239,59.000,1000.000
1981-09-29,0.239,0.239,0.255,0.255,467.000,12000.000
1981-09-30,0.255,0.252,0.262,0.262,319.000,8000.000
1981-10-01,0.262,0.261,0.264,0.264,136.000,4000.000
1981-10-02,0.264,0.263,0.270,0.270,103.000,3000.000
1981-10-05,0.273,0.273,0.281,0.278,105.000,3000.000
1981-10-06,0.278,0.276,0.280,0.280,258.000,7000.000
1981-10-07,0.280,0.274,0.280,0.276,1458.000,40000.000
1981-10-08,0.276,0.274,0.279,0.279,1473.000,41000.000
1981-10-09,0.279,0.278,0.283,0.281,214.000,6000.000
1981-10-12,0.281,0.279,0.281,0.279,83.000,2000.000
1981-10-13,0.278,0.272,0.278,0.274,143.000,4000.000
1981-10-14,0.274,0.272,0.277,0.277,300.000,8000.000
1981-10-15,0.275,0.272,0.275,0.272,199.000,5000.000
1981-10-16,0.272,0.272,0.274,0.272,90.000,2000.000
1981-10-19,0.272,0.268,0.272,0.272,133.000,4000.000
1981-10-20,0.272,0.271,0.279,0.279,581.000,16000.000
1981-10-21,0.279,0.274,0.280,0.274,288.000,8000.000
1981-10-22,0.274,0.272,0.277,0.272,653.000,18000.000
1981-10-23,0.272,0.269,0.274,0.271,90.000,2000.000
1981-10-26,0.271,0.269,0.272,0.271,134.000,4000.000
1981-10-27,0.271,0.271,0.278,0.278,106.000,3000.000
1981-10-28,0.278,0.274,0.278,0.278,201.000,6000.000
1981-10-29,0.278,0.278,0.279,0.278,255.000,7000.000
1981-10-30,0.278,0.278,0.280,0.279,29.000,1000.000
1981-11-02,0.280,0.280,0.306,0.301,189.000,6000.000
1981-11-03,0.300,0.296,0.300,0.300,127.000,4000.000
1981-11-04,0.300,0.298,0.308,0.303,835.000,25000.000
1981-11-05,0.303,0.297,0.308,0.300,132.000,4000.000
1981-11-06,0.300,0.299,0.302,0.302,111.000,3000.000
1981-11-09,0.301,0.299,0.301,0.299,98.000,3000.000
1981-11-10,0.299,0.296,0.299,0.296,71.000,2000.000
1981-11-11,0.297,0.297,0.297,0.297,189.000,6000.000
1981-11-12,0.297,0.295,0.300,0.300,397.000,12000.000
1981-11-13,0.300,0.295,0.300,0.295,190.000,6000.000
1981-11-16,0.294,0.292,0.294,0.292,118.000,3000.000
1981-11-17,0.292,0.292,0.293,0.293,63.000,2000.000
1981-11-18,0.293,0.291,0.293,0.292,44.000,1000.000
1981-11-19,0.292,0.289,0.292,0.291,224.000,7000.000
1981-11-20,0.291,0.290,0.295,0.295,184.000,5000.000
1981-11-23,0.297,0.297,0.306,0.299,76.000,2000.000
1981-11-24,0.299,0.297,0.305,0.299,153.000,5000.000
1981-11-25,0.299,0.297,0.303,0.303,70.000,2000.000
1981-11-27,0.303,0.300,0.305,0.303,54.000,2000.000
1981-11-30,0.303,0.302,0.308,0.308,148.000,5000.000
1981-12-01,0.308,0.305,0.308,0.306,364.000,11000.000
1981-12-02,0.306,0.301,0.306,0.306,151.000,5000.000
1981-12-03,0.305,0.303,0.305,0.303,239.000,7000.000
1981-12-04,0.302,0.297,0.302,0.299,117.000,4000.000
1981-12-07,0.298,0.295,0.298,0.295,35.000,1000.000
1981-12-08,0.295,0.293,0.295,0.293,636.000,19000.000
1981-12-09,0.293,0.293,0.298,0.298,32.000,1000.000
1981-12-10,0.298,0.297,0.300,0.300,167.000,5000.000
1981-12-11,0.300,0.300,0.303,0.303,109.000,3000.000
1981-12-14,0.303,0.299,0.304,0.299,229.000,7000.000
1981-12-15,0.299,0.295,0.300,0.300,76.000,2000.000
1981-12-16,0.300,0.297,0.300,0.299,189.000,6000.000
1981-12-17,0.297,0.295,0.297,0.295,20.000,1000.000
1981-12-18,0.296,0.296,0.299,0.298,93.000,3000.000
1981-12-21,0.298,0.297,0.300,0.299,85.000,3000.000
1981-12-22,0.299,0.296,0.300,0.300,113.000,3000.000
1981-12-23,0.299,0.296,0.299,0.297,46.000,1000.000
1981-12-24,0.297,0.297,0.299,0.299,26.000,1000.000
1981-12-28,0.300,0.300,0.303,0.300,60.000,2000.000
1981-12-29,0.300,0.297,0.300,0.299,47.000,1000.000
1981-12-30,0.299,0.295,0.301,0.301,123.000,4000.000
1981-12-31,0.299,0.294,0.299,0.299,66.000,2000.000
1982-01-04,0.299,0.299,0.300,0.299,327.000,10000.000
1982-01-05,0.295,0.290,0.299,0.290,185.000,5000.000
1982-01-06,0.281,0.278,0.285,0.278,173.000,5000.000
1982-01-07,0.284,0.279,0.287,0.279,357.000,10000.000
1982-01-08,0.285,0.282,0.287,0.286,255.000,7000.000
1982-01-11,0.285,0.282,0.286,0.282,380.000,11000.000
1982-01-12,0.278,0.275,0.279,0.278,227.000,6000.000
1982-01-13,0.275,0.272,0.278,0.272,344.000,9000.000
1982-01-14,0.271,0.271,0.272,0.271,67.000,2000.000
1982-01-15,0.277,0.274,0.279,0.274,300.000,8000.000
1982-01-18,0.275,0.272,0.277,0.277,107.000,3000.000
1982-01-19,0.278,0.277,0.280,0.278,322.000,9000.000
1982-01-20,0.281,0.278,0.283,0.281,113.000,3000.000
1982-01-21,0.284,0.281,0.286,0.284,477.000,14000.000
1982-01-22,0.283,0.279,0.285,0.281,541.000,15000.000
1982-01-25,0.278,0.276,0.278,0.276,249.000,7000.000
1982-01-26,0.275,0.274,0.276,0.276,76.000,2000.000
1982-01-27,0.276,0.274,0.277,0.276,38.000,1000.000
1982-01-28,0.281,0.277,0.285,0.285,288.000,8000.000
1982-01-29,0.293,0.288,0.298,0.298,306.000,9000.000
1982-02-01,0.304,0.294,0.313,0.309,265.000,8000.000
1982-02-02,0.308,0.306,0.309,0.307,476.000,15000.000
1982-02-03,0.305,0.302,0.307,0.303,152.000,5000.000
1982-02-04,0.306,0.304,0.309,0.306,708.000,22000.000
1982-02-05,0.306,0.304,0.309,0.309,581.000,18000.000
1982-02-08,0.304,0.300,0.307,0.300,95.000,3000.000
1982-02-09,0.294,0.290,0.299,0.294,186.000,5000.000
1982-02-10,0.292,0.290,0.294,0.291,129.000,4000.000
1982-02-11,0.295,0.291,0.299,0.292,333.000,10000.000
1982-02-12,0.295,0.293,0.296,0.296,250.000,7000.000
1982-02-16,0.294,0.292,0.295,0.293,173.000,5000.000
1982-02-17,0.295,0.292,0.298,0.298,215.000,6000.000
1982-02-18,0.296,0.295,0.297,0.296,99.000,3000.000
1982-02-19,0.297,0.295,0.298,0.298,138.000,4000.000
1982-02-22,0.299,0.297,0.302,0.300,133.000,4000.000
1982-02-23,0.295,0.293,0.297,0.295,289.000,9000.000
1982-02-24,0.293,0.292,0.295,0.292,299.000,9000.000
1982-02-25,0.292,0.291,0.294,0.294,98.000,3000.000
1982-02-26,0.292,0.291,0.294,0.292,52.000,2000.000
1982-03-01,0.290,0.285,0.293,0.292,356.000,10000.000
1982-03-02,0.293,0.290,0.296,0.296,696.000,20000.000
1982-03-03,0.292,0.288,0.295,0.295,429.000,13000.000
1982-03-04,0.292,0.290,0.293,0.290,565.000,16000.000
1982-03-05,0.290,0.285,0.291,0.288,178.000,5000.000
1982-03-08,0.286,0.281,0.291,0.283,138.000,4000.000
1982-03-09,0.285,0.282,0.286,0.286,387.000,11000.000
1982-03-10,0.290,0.288,0.292,0.289,1371.000,40000.000
1982-03-11,0.291,0.288,0.293,0.288,2016.000,59000.000
1982-03-12,0.284,0.279,0.288,0.282,314.000,9000.000
1982-03-15,0.281,0.279,0.282,0.280,213.000,6000.000
1982-03-16,0.282,0.281,0.283,0.283,303.000,9000.000
1982-03-17,0.285,0.282,0.288,0.287,238.000,7000.000
1982-03-18,0.287,0.286,0.288,0.288,190.000,5000.000
1982-03-19,0.291,0.289,0.292,0.290,154.000,4000.000
1982-03-22,0.293,0.291,0.295,0.295,494.000,14000.000
1982-03-23,0.303,0.298,0.308,0.302,645.000,20000.000
1982-03-24,0.306,0.303,0.309,0.304,543.000,17000.000
1982-03-25,0.305,0.303,0.305,0.305,140.000,4000.000
1982-03-26,0.304,0.302,0.305,0.304,95.000,3000.000
1982-03-29,0.305,0.303,0.308,0.306,68.000,2000.000
1982-03-30,0.312,0.305,0.317,0.317,675.000,21000.000
1982-03-31,0.322,0.315,0.328,0.322,467.000,15000.000
1982-04-01,0.326,0.321,0.330,0.330,554.000,18000.000
1982-04-02,0.330,0.326,0.334,0.332,345.000,11000.000
1982-04-05,0.327,0.324,0.331,0.324,462.000,15000.000
1982-04-06,0.319,0.315,0.322,0.315,377.000,12000.000
1982-04-07,0.319,0.316,0.323,0.323,145.000,5000.000
1982-04-08,0.328,0.324,0.332,0.332,1481.000,49000.000
1982-04-12,0.336,0.333,0.339,0.338,557.000,19000.000
1982-04-13,0.339,0.338,0.339,0.339,102.000,3000.000
1982-04-14,0.340,0.338,0.342,0.342,314.000,11000.000
1982-04-15,0.345,0.341,0.349,0.348,249.000,9000.000
1982-04-16,0.349,0.347,0.349,0.349,420.000,15000.000
1982-04-19,0.350,0.349,0.351,0.349,303.000,11000.000
1982-04-20,0.351,0.347,0.355,0.349,271.000,10000.000
1982-04-21,0.352,0.350,0.353,0.350,148.000,5000.000
1982-04-22,0.357,0.352,0.363,0.359,289.000,10000.000
